url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/azure-local/assurance/azure-stack-fedramp-guidance?view=azloc-2608,FedRAMP guidance,FedRAMP guidance for Azure Local - Azure Local,Align Azure Local with FedRAMP requirements,Learn about FedRAMP compliance using Azure Local.,Applies to: Hyperconverged deployments of Azure Local This article explains the relationship between Azure Local and FedRAMP and how organizations can stay compliant with FedRAMP with Azure Local solutions.,2026-04-22T22:07:00.000Z,concept-article,security,0.6,True,"Explains Azure Local’s relationship to FedRAMP and how to stay compliant, which typically includes specific boundary, control, and configuration guidance.",unchanged
https://learn.microsoft.com/en-us/azure/azure-local/assurance/azure-stack-hipaa-guidance?view=azloc-2608,HIPAA guidance,HIPAA guidance for Azure Local - Azure Local,Plan HIPAA compliance with Azure Local,Learn about HIPAA compliance using Azure Local.,Applies to: Hyperconverged deployments of Azure Local This article provides guidance on how organizations can most efficiently navigate HIPAA compliance for solutions built with Azure Local.,2026-04-22T22:07:00.000Z,concept-article,security,0.6,True,"Provides product-specific guidance for HIPAA compliance, likely including required configurations and security responsibilities for Azure Local solutions.",unchanged
https://learn.microsoft.com/en-us/azure/azure-local/assurance/azure-stack-iso27001-guidance?view=azloc-2608,ISO/IEC 27001 guidance,ISO 27001 guidance for Azure Local - Azure Local,Map Azure Local to ISO 27001 controls,Learn about ISO 27001 compliance using Azure Local.,"Applies to: Hyperconverged deployments of Azure Local This article outlines how Azure Local helps organizations meet the security control requirements of ISO/IEC 27001:2022, both in cloud and on premises. Learn more about Azure Local and other security standards atAzure Local and security standards.",2026-04-22T22:07:00.000Z,concept-article,security,0.65,True,"Guidance on how Azure Local meets ISO/IEC 27001:2022 control requirements; likely includes control-by-control mappings and product-specific security configurations, which are detailed security/compliance settings.",unchanged
https://learn.microsoft.com/en-us/azure/azure-local/assurance/azure-stack-pci-dss-guidance?view=azloc-2608,PCI DSS guidance,PCI DSS guidance for Azure Local - Azure Local,Use Azure Local to meet PCI DSS,Learn about PCI DSS compliance using Azure Local.,"Applies to: Hyperconverged deployments of Azure Local This article explains how Microsoft Azure Local security features can help organizations in the payment card industry achieve the security control requirements of PCI DSS, both in the cloud and in their on-premises environments.",2026-04-22T22:07:00.000Z,concept-article,security,0.65,True,Explains how Azure Local security features satisfy PCI DSS controls; typically includes specific security configurations and mappings unique to this product.,unchanged
https://learn.microsoft.com/en-us/azure/azure-local/assurance/azure-stack-security-standards?view=azloc-2608,Azure Local and security standards,Azure Local and security standards - Azure Local,,"Learn about Azure Local, security standards, and security assurance.","Applies to: Hyperconverged deployments of Azure Local This article provides information about security standards related to Azure Local. The resources detailed in this article, including certifications and evaluation reports, could be used as sources to help you in your compliance planning. Each section in this article provides information on Azure Local and a particular security standard, together with any completed certifications.",2026-04-22T22:07:00.000Z,concept-article,,0.3,False,Describes security standards and certifications at a high level; compliance/assurance overview without specific configuration or role details.,unchanged
https://learn.microsoft.com/en-us/azure/azure-local/concepts/azure-hybrid-benefit?view=azloc-2608,Azure Hybrid Benefit,Azure Hybrid Benefit for Azure Local - Azure Local,Use Azure Hybrid Benefit with Azure Local deployments,Learn about Azure Hybrid Benefit for Azure Local.,"Applies to: Azure Local 2311.2 and later This article describes Azure Hybrid Benefit and how to use it for Azure Local. Azure Hybrid Benefitis a program that helps you reduce the costs of running workloads in the cloud. By using Azure Hybrid Benefit for Azure Local, you can maximize the value of your on-premises licenses and modernize your existing infrastructure to Azure Local at no extra cost.",2026-06-26T17:04:00.000Z,how-to,decision-making,0.6,True,"Describes how to use Azure Hybrid Benefit specifically for Azure Local, likely including licensing decision guidance and scenarios for cost optimization that are product-specific.",unchanged
https://learn.microsoft.com/en-us/azure/azure-local/concepts/billing?view=azloc-2608,Billing and payment,Azure Local billing and payment - Azure Local,Understand billing and payment for Azure Local,How billing and payment works in Azure Local.,"Applies to: Azure Local 2311.2 and later Azure Local is an Azure service that appears on your Azure subscription bill just like any other Azure service. It's priced per core on your on-premises servers. For current pricing, seeAzure Local pricing. The Azure Commerce billing platform centrally handles currencies and discounts, and you get one unified, itemized bill at the end of the month. Azure Local doesn't require a traditional on-premises software license, although guest virtual machines (VMs",2026-06-26T17:04:00.000Z,overview,decision-making,0.6,True,"Explains per-core pricing, billing platform behavior, and licensing considerations for guest VMs; provides product-specific cost and billing details useful for capacity and cost planning.",unchanged
https://learn.microsoft.com/en-us/azure/azure-local/concepts/compare-vm-management-capabilities?view=azloc-2608,Compare VM management capabilities,Compare Management Capabilities of VMs on Azure Local - Azure Local,Compare Azure Local VM types and management capabilities,Learn about the kinds of virtual machines (VMs) that can run on Azure Local and compare their management capabilities.,Applies to: Hyperconverged deployments of Azure Local This article describes the types of virtual machines (VMs) available on Azure Local. It also compares their management capabilities in Azure.,2026-04-22T22:07:00.000Z,product-comparison,decision-making,0.7,True,Explicit comparison of VM types and their management capabilities; likely includes decision tables guiding which VM type to choose.,unchanged
https://learn.microsoft.com/en-us/azure/azure-local/concepts/compare-windows-server?view=azloc-2608,Compare Azure Local to Windows Server,Compare Azure Local to Windows Server - Key Differences and Benefits - Azure Local,Decide between Azure Local and Windows Server,"Learn the key differences between Azure Local and Windows Server to choose the best solution for your organization. Compare features, benefits, and scenarios.","Applies to: Azure Local 2311.2 and later; Windows Server 2025 This article compares Azure Local and Windows Server, and highlights key differences between the two products. It helps you learn when to use each product, and how they can work together. Azure Local and Windows Server share many similarities, such as letting you run virtual machines and container-based workloads. But they're designed for different scenarios and use cases. Azure Local is a cloud-connected hyperconverged solution that ",2026-04-22T22:07:00.000Z,product-comparison,decision-making,0.8,True,Comparison article focused on when to use Azure Local vs Windows Server and how they work together; provides product-specific scenario-based selection guidance.,unchanged
https://learn.microsoft.com/en-us/azure/azure-local/concepts/datacenter-firewall-overview?view=azloc-2608,Datacenter Firewall overview,Overview of Datacenter Firewall in Azure Local and Windows Server - Azure Local,,Use this article to learn about Datacenter Firewall in Azure Local and Windows Server.,"Applies to: Azure Local 2311.2 and later; Windows Server 2022, Windows Server 2019, Windows Server 2016 Datacenter Firewall is a network layer, 5-tuple (protocol, source and destination port numbers, source and destination IP addresses), stateful, multitenant Software Defined Networking (SDN) firewall. The Datacenter Firewall protects east-west and north-south traffic flows across the network layer of virtual networks and traditional VLAN networks.",2026-04-22T22:07:00.000Z,overview,,0.25,False,"Datacenter Firewall overview; describes what it is and traffic types, but no evidence of detailed rule configuration or numeric limits in the summary.",unchanged
https://learn.microsoft.com/en-us/azure/azure-local/concepts/external-storage-support?view=azloc-2608,External storage support,External storage support for Azure Local - Azure Local,Configure external SAN storage for Azure Local,"Learn how Azure Local supports external SAN integration, enabling high-performance storage for VMs, AKS clusters, and AVD instances without re-architecture.","This article explains external storage support for Azure Local, its benefits, supported configurations, and other essential information.",2026-09-01T17:07:00.000Z,concept-article,configuration,0.7,True,"The page describes supported external storage configurations for Azure Local, including product-specific integration details and constraints for VMs, AKS clusters, and AVD instances. While it’s conceptual in parts, it contains Azure Local–specific configuration guidance and supported patterns that go beyond generic knowledge, fitting best under configuration.",updated
https://learn.microsoft.com/en-us/azure/azure-local/concepts/firewall-requirements?view=azloc-2608,Firewall requirements,Firewall requirements for Azure Local - Azure Local,Configure firewall rules for Azure Local clusters,This article provides guidance on firewall requirements for the Azure Stack HCI operating system.,Applies to: Hyperconverged deployments of Azure Local This article provides guidance on how to configure firewalls for the Azure Stack HCI operating system. It includes firewall requirements for outbound endpoints and internal rules and ports. The article also provides information on how to use Azure service tags with Microsoft Defender firewall. This article also describes how to optionally use a highly locked-down firewall configuration to block all traffic to all destinations except those inc,2026-06-25T17:03:00.000Z,how-to,security,0.9,True,"Lists outbound endpoints, internal ports, and use of Azure service tags; includes specific firewall configuration requirements and optional locked-down patterns.",unchanged
https://learn.microsoft.com/en-us/azure/azure-local/concepts/gateway-overview?view=azloc-2608,RAS Gateway overview,RAS Gateway for Software Defined Networking managed by on-premises tools - Azure Local,,Learn about Remote Access Service (RAS) Gateway for Software Defined Networking managed by on-premises tools in Azure Local and Windows Server.,"Applies to: Azure Local 2311.2 and later; Windows Server 2022, Windows Server 2019, Windows Server 2016 This article provides an overview of Remote Access Service (RAS) Gateway for Software Defined Networking (SDN) in Azure Local and Windows Server. RAS Gateway is a software-based Border Gateway Protocol (BGP) capable router designed for cloud service providers (CSPs) and enterprises that host multitenant virtual networks using Hyper-V Network Virtualization (HNV). You can use RAS Gateway to rou",2026-04-22T22:07:00.000Z,overview,,0.25,False,"RAS Gateway overview; summary suggests high-level explanation of purpose and use cases, not detailed configuration or limits.",unchanged
https://learn.microsoft.com/en-us/azure/azure-local/concepts/host-network-requirements-disaggregated?view=azloc-2608,Host network requirements (disaggregated),Host Network Requirements for Azure Local Disaggregated Deployments - Azure Local,Configure host networking for disaggregated Azure Local,Learn the host network requirements for Azure Local disaggregated deployments.,"Applies to: Azure Local 2311.2 and later This topic discusses host networking considerations and requirements for Azure Local disaggregated architectures. For information on disaggregated architectures and the physical connections between machines, seePhysical network requirements Azure Local disaggregated deployments.",2026-04-22T22:28:00.000Z,how-to,configuration,0.68,True,"Host network requirements article; likely details NIC roles, VLANs, IP schemes, and other specific configuration parameters for Azure Local disaggregated hosts.",unchanged
https://learn.microsoft.com/en-us/azure/azure-local/concepts/host-network-requirements?view=azloc-2608,Host network requirements,Host network requirements for Azure Local - Azure Local,Configure host networking for Azure Local clusters,Learn the host network requirements for Azure Local,"Applies to: Hyperconverged deployments of Azure Local This topic discusses host networking considerations and requirements for Azure Local. For information on datacenter architectures and the physical connections between machines, seePhysical network requirements. For information on how to simplify host networking using Network ATC, seeSimplify host networking with Network ATC.",2026-06-25T17:03:00.000Z,how-to,configuration,0.8,True,"Host network requirements and considerations, including use of Network ATC; contains product-specific network config patterns and constraints.",unchanged
https://learn.microsoft.com/en-us/azure/azure-local/concepts/monitoring-overview?view=azloc-2608,Monitoring overview,Overview of Azure Local monitoring - Azure Local,,This article provides an overview of the Azure Local monitoring solution.,"Applies to: Hyperconverged deployments of Azure Local This article provides an overview of monitoring in hyperconvered deployments of Azure Local. Monitoring Azure Local involves the regular collection and analysis of data from all components of your system to promptly identify and address any potential issues. Routine monitoring is crucial for maintaining the health and functionality of your Azure Local system. To understand the current performance patterns, identify performance anomalies, and ",2026-05-04T17:07:00.000Z,concept-article,,0.3,False,Monitoring overview; focuses on concepts and importance of monitoring rather than specific metrics tables or configs.,unchanged
https://learn.microsoft.com/en-us/azure/azure-local/concepts/network-atc-overview?view=azloc-2608,Network ATC overview,Network ATC overview - Azure Local,Apply Network ATC best practices in Azure Local,This article introduces Network ATC for Azure Local and Windows Server.,"Applies to: Hyperconverged deployments of Azure Local Deployment and operation of Azure Local networking can be a complex and error-prone process. Due to the configuration flexibility provided with the host networking stack, there are many moving parts that can be easily misconfigured or overlooked. Staying up to date with the latest best practices is also a challenge as improvements are continuously made to the underlying technologies. Additionally, configuration consistency across Azure Local ",2026-06-25T17:03:00.000Z,overview,best-practices,0.65,True,"Network ATC overview emphasizes staying up to date with best practices and configuration consistency; for this product, it likely includes concrete host networking patterns and recommendations.",unchanged
https://learn.microsoft.com/en-us/azure/azure-local/concepts/network-controller-overview?view=azloc-2608,Network Controller overview,Overview of Network Controller in Azure Local and Windows Server - Azure Local,,Use this article to learn about Network Controller for Software Defined Networking managed by on-premises tools in Azure Local and Windows Server.,"Applies to: Azure Local 2311.2 and later; Windows Server 2022, Windows Server 2019, Windows Server 2016 Network Controller is the cornerstone of Software Defined Networking (SDN) management. It's a highly scalable server role that provides a centralized, programmable point of automation to manage, configure, monitor, and troubleshoot virtual network infrastructure. Using Network Controller, you can automate the configuration and management of network infrastructure instead of performing manual c",2026-04-22T22:07:00.000Z,overview,,0.25,False,Network Controller overview; primarily conceptual description of role and capabilities without clear indication of config tables or numeric thresholds.,unchanged
https://learn.microsoft.com/en-us/azure/azure-local/concepts/observability?view=azloc-2608,Azure Local observability,Azure Local observability - Azure Local,,Learn about observability in Azure Local.,Applies to: Hyperconverged deployments of Azure Local This article describes observability in Azure Local and the data sources through which it is achieved.,2026-04-22T22:07:00.000Z,how-to,,0.3,False,Observability overview describing data sources; largely conceptual without detailed configuration tables or limits.,unchanged
https://learn.microsoft.com/en-us/azure/azure-local/concepts/physical-network-requirements-disaggregated?view=azloc-2608,Physical network requirements (disaggregated),Physical Network Requirements for Azure Local Disaggregated Deployments - Azure Local,Physical network requirements for disaggregated Azure Local,"Learn about physical network requirements for Azure Local disaggregated deployments, including network switches, to ensure optimal performance.","Applies to: Hyperconverged deployments of Azure Local This article discusses physical (fabric) network considerations and requirements for Azure Local disaggregated architectures, particularly for network switches. Note Requirements for future Azure Local versions may change.",2026-06-25T17:03:00.000Z,concept-article,limits-quotas,0.64,True,"Physical network requirements usually specify switch capabilities, port counts, bandwidth, and topology constraints—numeric limits and supported ranges for Azure Local fabrics.",unchanged
https://learn.microsoft.com/en-us/azure/azure-local/concepts/physical-network-requirements?view=azloc-2608,Physical network requirements,Physical network requirements for Azure Local - Azure Local,Meet physical network requirements for Azure Local,"Learn about physical network requirements for Azure Local, including network switches, to ensure optimal performance.","Applies to: Hyperconverged deployments of Azure Local This article discusses physical (fabric) network considerations and requirements for Azure Local, particularly for network switches. Note Requirements for future Azure Local versions may change.",2026-06-25T17:03:00.000Z,concept-article,configuration,0.8,True,"Describes physical network and switch requirements; likely includes port counts, speeds, and topology constraints specific to Azure Local deployments.",unchanged
https://learn.microsoft.com/en-us/azure/azure-local/concepts/plan-network-controller-deployment?view=azloc-2608,Plan Network Controller,"Plan to deploy Network Controller on Azure Local, version 23H2 - Azure Local",Plan Network Controller deployment on Azure Local,This article covers how to plan to deploy Network Controller on Azure Local via Windows Admin Center on a set of virtual machines (VMs).,Applies to: Hyperconverged deployments of Azure Local This article describes how to plan to deploy Network Controller on Azure Local via Windows Admin Center on a set of virtual machines (VMs). Planning to deploy Network Controller via Windows Admin Center requires a set of VMs running the Azure Stack HCI operating system. Network Controller is a highly available and scalable server role that requires a minimum of three VMs to provide high availability on your network. Note We recommend that you,2026-04-22T22:07:00.000Z,install-set-up-deploy,configuration,0.7,True,"Planning article with concrete requirements (minimum three VMs, OS type, HA constraints) and likely specific sizing and configuration parameters for Network Controller clusters.",unchanged
https://learn.microsoft.com/en-us/azure/azure-local/concepts/plan-software-defined-networking-infrastructure-23h2?view=azloc-2608,Plan SDN infrastructure,"Plan infrastructure for Software Defined Networking managed by on-premises tools in Azure Local, version 23H2 - Azure Local",Plan SDN infrastructure for Azure Local 23H2,"This topic provides information on how to plan a Software Defined Network (SDN) infrastructure deployment, managed by on-premises tools, for Azure Local, version 23H2.","Applies to: Azure Local 2311.2 and later; Windows Server 2022, Windows Server 2019, Windows Server 2016 This article describes how to plan an infrastucture deployment for Software Defined Networking (SDN) managed by on-premises tools, including hardware and software prerequisites. It outlines planning requirements for both physical and logical network configuration, routing, gateways, network hardware, and more. This article also includes considerations on extending an SDN infrastructure and usi",2026-04-22T22:07:00.000Z,concept-article,architecture-patterns,0.7,True,"Covers hardware/software prerequisites, routing, gateways, and extension scenarios; likely includes product-specific design guidance and constraints for SDN infrastructure layout.",unchanged
https://learn.microsoft.com/en-us/azure/azure-local/concepts/private-path-network-overview?view=azloc-2608,Review Azure Private Path,Overview of private path network architecture for Azure Local - Azure Local,Understand private path network architecture for Azure Local,Learn about private path network architecture for Azure Local.,Applies to: Hyperconverged deployments of Azure Local This article provides an overview of Azure Local private path network architecture that uses Azure Arc gateway and Azure Firewall explicit proxy.,2026-08-27T17:06:00.000Z,overview,architecture-patterns,0.75,True,Explains private path architecture using Arc gateway and Azure Firewall explicit proxy; product-specific network architecture pattern.,unchanged
https://learn.microsoft.com/en-us/azure/azure-local/concepts/rack-aware-cluster-add-server?view=azloc-2608,Add and repair nodes,Add or repair a node to a rack aware cluster on Azure Local - Azure Local,Add or repair nodes in rack aware clusters,Learn how to add or repair a node to a rack aware cluster on Azure Local.,This article explains how to add or repair servers (nodes) for your Azure Local rack aware cluster.,2026-05-01T17:09:00.000Z,how-to,configuration,0.7,True,Explains product-specific steps and constraints for adding or repairing nodes in Azure Local rack aware clusters.,unchanged
https://learn.microsoft.com/en-us/azure/azure-local/concepts/rack-aware-cluster-aks-nodes?view=azloc-2608,Spread AKS nodes,Spread Azure Kubernetes Service (AKS) nodes in rack aware cluster - Azure Local,Deploy AKS with rack aware support on Azure Local,Learn how to deploy AKS clusters with rack aware cluster support to ensure fault tolerance and evenly distribute nodes across Azure Local zones.,This article explains how to deploy Azure Kubernetes Service (AKS) clusters with rack aware cluster support. You'll learn how to ensure fault tolerance and evenly distribute nodes across Azure Local zones for improved reliability.,2026-01-22T23:03:00.000Z,concept-article,configuration,0.7,True,Explains how to configure AKS clusters to distribute nodes across Azure Local zones; includes product-specific deployment and configuration patterns.,unchanged
https://learn.microsoft.com/en-us/azure/azure-local/concepts/rack-aware-cluster-overview?view=azloc-2608,What's a rack aware cluster?,Overview of Azure Local rack aware clustering - Azure Local,Understand Azure Local rack aware clustering,Use this article to learn about Azure Local rack aware clustering.,This article gives a high-level overview of the Azure Local rack aware clustering feature including its benefits and use cases. The article also details the supported configurations and deployment requirements for rack aware clusters. This article applies only to new deployments of Azure Local.,2026-04-22T22:07:00.000Z,overview,deployment,0.62,True,"Overview includes supported configurations and deployment requirements for rack aware clusters, which are specific to Azure Local deployments.",unchanged
https://learn.microsoft.com/en-us/azure/azure-local/concepts/rack-aware-cluster-provision-vm-local-availability-zone?view=azloc-2608,Provision and place VMs,Provision VMs in local availability zone for Azure Local - Azure Local,Provision VMs in Azure Local availability zones,Learn about how to provision VMs in local availability zone for Azure Local.,"This article explains how to create Azure Local virtual machines (VMs) in a local availability zone to reduce latency, improve performance, ensure redundancy, and meet compliance requirements. Important Updating placement configuration of existing virtual machines (VMs) is not supported.",2026-05-01T17:09:00.000Z,how-to,configuration,0.7,True,"Details how to configure VM placement in local availability zones and notes unsupported operations (e.g., updating placement), which are product-specific constraints.",unchanged
https://learn.microsoft.com/en-us/azure/azure-local/concepts/rack-aware-cluster-reference-architecture?view=azloc-2608,Network reference patterns,Azure Local rack aware cluster network reference patterns - Azure Local,Apply rack aware cluster network reference patterns,Learn about the network design and configuration of an Azure Local rack aware cluster,"This article contains information about the network design and configuration of an Azure Local rack aware cluster. This configuration involves a single cluster where nodes are placed in different physical locations within a building. The primary intent is to support factory environments where hardware must be isolated in different rooms due to regulatory requirements, safety protocols, or operational constraints. This isolation provides fault domain separation while maintaining cluster functiona",2026-05-01T17:09:00.000Z,concept-article,architecture-patterns,0.78,True,Describes network design and configuration patterns for rack aware clusters in specific factory/room isolation scenarios—product-specific architecture patterns with trade-offs.,unchanged
