url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/aks/aksarc/ad-sso,Use Active Directory single sign-on,Use Active Directory single sign-on for secure connection to Kubernetes API server in AKS on Windows Server - AKS enabled by Azure Arc,Configure AD single sign-on to AKS Arc API server,Use Active Directory Authentication to securely connect to the API server with SSO credentials,Applies to: AKS on Windows Server You can create a secure connection to your Kubernetes API server in AKS on Windows Server using Active Directory (AD) single sign-on (SSO) credentials.,2026-01-21T08:00:00.000Z,how-to,security,0.75,True,Active Directory SSO to Kubernetes API server; involves auth configuration parameters and identity setup specific to AKS on Windows Server.,unchanged
https://learn.microsoft.com/en-us/azure/aks/aksarc/adapt-apps-mixed-os-clusters,Adapt apps for mixed-OS Kubernetes clusters,Adapt applications for use in mixed-OS Kubernetes clusters - AKS enabled by Azure Arc,,Learn how to use node selectors or taints and tolerations on Azure Kubernetes Service to ensure applications in mixed OS Kubernetes clusters running on AKS on Windows Server are scheduled on the corre,"Applies to: AKS on Windows Server AKS on Windows Server enables you to run Kubernetes clusters with both Linux and Windows nodes, but you must make small edits to your apps for use in these mixed-OS clusters. This how-to guide describes how to ensure your application gets scheduled on the right host OS using either node selectors or taints and tolerations. This article assumes a basic understanding of Kubernetes concepts. For more information, seeKubernetes core concepts for AKS on Windows Serve",2026-08-05T17:04:00.000Z,how-to,,0.3,False,Covers using node selectors and taints/tolerations in mixed-OS clusters; this is largely standard Kubernetes scheduling behavior without clear product-specific parameters or limits.,unchanged
https://learn.microsoft.com/en-us/azure/aks/aksarc/add-ons,"Add-ons, extensions, and integrations",Add-ons and extensions available for AKS on Windows Server - AKS enabled by Azure Arc,,Learn about what add-ons and integrations are supported in AKS on Windows Server.,"Azure Kubernetes Service (AKS) on Windows Server provides augmented functionality for your Kubernetes cluster, mainly through extensions that are supported by Microsoft. There are also many integrations offered by open-source projects and third-party organizations. It's important to note that these integrations, which are not supported by AKS, are not included in theAKS support policy.",2026-07-30T22:08:00.000Z,how-to,,0.3,False,"Describes what add-ons and integrations are supported and notes support policy; this is more of a capability/overview list without detailed configuration parameters, limits, or troubleshooting mappings.",unchanged
https://learn.microsoft.com/en-us/azure/aks/aksarc/aks-arc-diagnostic-checker,Use diagnostic checker,Use diagnostic checker to identify common causes for failures (preview) - AKS enabled by Azure Arc,Run AKS Arc diagnostic checker for cluster failures,Learn how to diagnose common causes for failures in AKS Arc.,"It can be difficult to identify environment-related issues, such as networking configuration, that can result in an AKS cluster creation failure. The diagnostic checker is a PowerShell tool that can help you identify AKS cluster creation failures due to potential issues in the environment. Note You can only use the diagnostic checker tool if an AKS cluster was created, but is in a failed state. You can't use the tool if you don't see an AKS cluster on the Azure portal. If the AKS cluster creatio",2025-06-27T08:00:00.000Z,troubleshooting,troubleshooting,0.78,True,"Tool-based troubleshooting for cluster creation failures with specific checks, outputs, and remediation steps unique to AKS Arc.",unchanged
https://learn.microsoft.com/en-us/azure/aks/aksarc/aks-arc-image-not-ready,Kubernetes version image not ready,Troubleshoot AKS on Azure Local issues when Kubernetes version image isn't ready - AKS enabled by Azure Arc,Resolve AKS Arc Kubernetes image not ready issues,Learn how to mitigate cluster and node pool issues when a Kubernetes version reports image not ready on AKS enabled by Azure Arc on Azure Local.,This article describes how to mitigate cluster and node pool issues when a Kubernetes version reports image not ready on AKS enabled by Azure Arc on Azure Local.,2026-07-14T17:04:00.000Z,troubleshooting,troubleshooting,0.86,True,"The page focuses on a specific failure mode ('Kubernetes version image not ready') for AKS enabled by Azure Arc on Azure Local and provides symptom → cause → mitigation guidance. It likely includes product-specific commands, checks, and remediation steps unique to AKS Arc and Azure Local environments, which qualify as expert troubleshooting knowledge beyond generic debugging advice.",unchanged
https://learn.microsoft.com/en-us/azure/aks/aksarc/aks-arc-known-issues,Known issues overview,Troubleshoot known issues in AKS Hybrid and Edge - AKS enabled by Azure Arc,Work around known AKS Hybrid and Edge issues,Learn about known issues and workarounds in AKS Hybrid and Edge.,"This article identifies known issues and their workarounds in AKS. These release notes are continuously updated, and as issues that require a workaround are discovered, they're added here. If you encounter an issue that isn't listed here, pleaseopen a support request.",2026-08-05T17:04:00.000Z,how-to,troubleshooting,0.86,True,"A catalog of known issues and workarounds for AKS Hybrid and Edge. Contains multiple concrete problems, their causes, and mitigation steps that are specific to particular versions and configurations, which an LLM wouldn’t know from training.",unchanged
https://learn.microsoft.com/en-us/azure/aks/aksarc/aks-arc-local-requirements,System requirements for AKS on Azure Local,System requirements for AKS on Azure Local - AKS enabled by Azure Arc,Meet system and storage requirements for AKS on Azure Local,Learn about system storage requirements for Azure Kubernetes Service (AKS) for Azure Local.,"With Azure Kubernetes Service (AKS) Arc on Azure Local, you can deploy and manage Kubernetes clusters on your own infrastructure with integrated Azure Arc control. Cluster creation and
lifecycle management are supported via familiar Azure tools such as the portal, Azure CLI, and Resource Manager templates. These clusters are automatically onboarded to Azure Arc, enabling
centralized governance and secure access through Microsoft Entra ID.",2026-08-05T17:04:00.000Z,concept-article,configuration,0.7,True,"A system requirements page generally lists specific hardware, storage, and platform prerequisites (disk sizes, CPU/memory minimums, supported OS/versions). These are product-specific configuration/requirement values that qualify as expert knowledge and align best with the configuration category.",unchanged
https://learn.microsoft.com/en-us/azure/aks/aksarc/aks-arc-use-node-taints,Taints,Manage node taints for an AKS cluster - AKS enabled by Azure Arc,Configure node taints for AKS Arc clusters,Learn how to manage node taints in AKS on Azure Local,Applies to: AKS on Azure Local This article describes how to use node taints in an AKS cluster.,2024-06-05T22:00:00.000Z,how-to,configuration,0.61,True,Shows how to manage node taints in AKS on Azure Local with concrete commands and taint syntax in the AKS Arc context.,unchanged
https://learn.microsoft.com/en-us/azure/aks/aksarc/aks-bare-metal-connect-to-cluster,Connect to your cluster,Connect to an AKS on bare metal Cluster (preview) - AKS enabled by Azure Arc,Connect to AKS on bare metal via Arc proxy,Learn how to connect to your Azure Kubernetes Service on bare metal cluster using the Azure Arc proxy and kubectl.,"Important Azure Kubernetes Service on bare metal is currently in preview. See theSupplemental Terms of Use for Microsoft Azure Previewsfor legal terms that apply to Azure features that are in beta, preview, or otherwise not yet released into general availability. Azure Kubernetes Service on bare metal previews are partially covered by customer support on a best-effort basis. This article shows you how to connect to your AKS on bare metal cluster to runkubectlcommands. After you deploy your clust",2026-06-04T22:04:00.000Z,how-to,integrations,0.65,True,"Describes connecting to AKS on bare metal using Azure Arc proxy and kubectl, which likely includes specific connection commands, endpoint URLs, and configuration flags unique to this integration path. This is a product-specific integration/coding pattern rather than a generic tutorial.",unchanged
https://learn.microsoft.com/en-us/azure/aks/aksarc/aks-bare-metal-create-cluster-arm-template,Create a cluster - ARM template,Create an AKS on bare metal cluster using ARM template (preview) - AKS enabled by Azure Arc,Configure AKS on bare metal cluster via ARM template,Learn how to deploy an Azure Kubernetes Service (AKS) cluster on bare metal using an ARM template.,"Important Azure Kubernetes Service on bare metal is currently in preview. See theSupplemental Terms of Use for Microsoft Azure Previewsfor legal terms that apply to Azure features that are in beta, preview, or otherwise not yet released into general availability. Azure Kubernetes Service on bare metal previews are partially covered by customer support on a best-effort basis. This article shows you how to create an Azure Kubernetes Service (AKS) cluster on bare metal using an Azure Resource Manag",2026-06-11T17:12:00.000Z,how-to,configuration,0.7,True,"ARM template-based cluster creation typically documents specific resource properties, parameter names, allowed values, and sometimes defaults for AKS on bare metal. These are product-specific configuration details that qualify as expert knowledge beyond generic ARM usage.",unchanged
https://learn.microsoft.com/en-us/azure/aks/aksarc/aks-bare-metal-create-cluster-bicep,Create a cluster - Bicep,Create an AKS on bare metal cluster using Bicep (preview) - AKS enabled by Azure Arc,Define AKS on bare metal clusters using Bicep,Learn how to deploy an Azure Kubernetes Service (AKS) cluster on bare metal using a Bicep template.,"Important Azure Kubernetes Service on bare metal is currently in preview. See theSupplemental Terms of Use for Microsoft Azure Previewsfor legal terms that apply to Azure features that are in beta, preview, or otherwise not yet released into general availability. Azure Kubernetes Service on bare metal previews are partially covered by customer support on a best-effort basis. This article shows you how to create an Azure Kubernetes Service (AKS) cluster on bare metal using a Bicep template.",2026-06-19T22:04:00.000Z,how-to,configuration,0.7,True,"A Bicep-based cluster creation article typically includes resource definitions, parameter names, allowed values, and sometimes defaults for AKS on bare metal, which are product-specific configuration details. This aligns with the configuration sub-skill, as it likely documents specific template parameters and their usage rather than just conceptual guidance.",unchanged
https://learn.microsoft.com/en-us/azure/aks/aksarc/aks-bare-metal-create-cluster-portal,Create a cluster - Azure portal,Create an AKS on bare metal cluster using the Azure portal (preview) - AKS enabled by Azure Arc,,Learn how to deploy an Azure Kubernetes Service (AKS) cluster on bare metal using the Azure portal.,"Important Azure Kubernetes Service on bare metal is currently in preview. See theSupplemental Terms of Use for Microsoft Azure Previewsfor legal terms that apply to Azure features that are in beta, preview, or otherwise not yet released into general availability. Azure Kubernetes Service on bare metal previews are partially covered by customer support on a best-effort basis. This article shows you how to create an Azure Kubernetes Service (AKS) cluster on bare metal using the Azure portal.",2026-06-19T22:04:00.000Z,how-to,,0.3,False,"From the summary, this is a step-by-step portal-based creation guide for AKS on bare metal. It does not indicate presence of configuration parameter tables, limits, error-code mappings, or decision matrices; it appears to be a procedural tutorial rather than reference-style expert knowledge.",unchanged
