url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/azure-video-indexer/accounts-overview,Account types,Azure AI Video Indexer accounts,,"Learn about the different types of Azure AI Video Indexer accounts, including trial accounts, paid ARM-based accounts, and deprecated classic accounts.","Azure AI Video Indexer provides different types of accounts to suit various user needs, including trial accounts for testing and paid accounts for production use.",2026-07-13T08:00:00.000Z,concept-article,,0.2,False,"Accounts overview describing trial vs paid vs classic; likely conceptual and policy-level without numeric limits, decision matrices, or detailed configuration.",unchanged
https://learn.microsoft.com/en-us/azure/azure-video-indexer/arc/,Azure AI Video Indexer enabled by Azure Arc,Azure AI Video Indexer enabled by Azure Arc documentation,,Azure AI Video Indexer enabled by Azure Arc is an AI solution that enables you to extract insights from your videos at the edge using Azure Arc-enabled infrastructure.,Azure AI Video Indexer enabled by Azure Arc is an AI solution that enables you to extract insights from your videos at the edge using Azure Arc-enabled infrastructure.,2026-06-16T17:09:00Z,landing-page,,0.2,False,"The page description indicates a high-level overview of Azure AI Video Indexer enabled by Azure Arc, without evidence of numeric limits, configuration tables, error-code-based troubleshooting, or decision matrices. It appears to be conceptual/introductory documentation rather than detailed expert guidance.",unchanged
https://learn.microsoft.com/en-us/azure/azure-video-indexer/arc/agents-overview,AI agents for detection,AI Agents for Real-Time Video Analysis in Azure AI Video Indexer,Apply AI agents for real-time video insights,"Discover how agentic intelligence uses specialized AI agents to analyze live video streams, offering insights for retail, customer service, security, and more.","Azure AI Video Indexer (VI) uses specialized AI agents to deliver targeted, real-time insights from live video streams. These agents are modular, task-focused components that automatically analyze video for specific events, conditions, or behaviors such as safety hazards, customer experience problems, or operational anomalies. This article explains the available agents, activating and managing them by using the API, and best practices for integrating agentic intelligence into your video analysis",2026-04-28T17:22:00.000Z,concept-article,best-practices,0.6,True,"Article explains available agents, how to activate/manage them via API, and best practices for integrating agentic intelligence. This is product-specific guidance on using agents effectively, likely including concrete recommendations and gotchas unique to Video Indexer.",unchanged
https://learn.microsoft.com/en-us/azure/azure-video-indexer/arc/azure-video-indexer-enabled-by-arc-overview,What is VI enabled by Azure Arc?,What is Azure AI Video Indexer enabled by Arc?,,"Azure AI Video Indexer enabled by Arc performs video and audio analysis on edge devices, providing a hybrid solution for indexing content.","Azure AI Video Indexer enabled by Arc is an Azure Arc extension-enabled service that runs video and audio analysis and generative AI on edge devices. The solution runs on Azure Arc-enabled Kubernetes, supports many video formats, and assumes that one Video Indexer resource maps to one extension. It transcribes spoken content in more than 35 source languages and translates it into English. For a full list of supported languages, seeSupported languages per scenario. If you're new toAzure AI Video ",2026-07-14T06:02:00.000Z,overview,,0.2,False,"High-level overview of Azure AI Video Indexer enabled by Arc; no specific limits, configuration tables, error codes, or product-specific numeric thresholds.",unchanged
https://learn.microsoft.com/en-us/azure/azure-video-indexer/arc/azure-video-indexer-enabled-by-arc-quickstart,Start on Azure Arc,Try Azure AI Video Indexer enabled by Arc,,This article walks you through the steps required to enable Video Indexer as an Arc extension on your current infrastructure.,"Azure AI Video Indexer enabled by Arcis an Azure Arc extension enabled service that runs video and audio analysis andgenerative AIon edge devices. The solution runs onAzure Arc enabled Kubernetes, supports many video formats, and assumes that one Video Indexer resource maps to one extension. It transcribes spoken content in more than 35 source languages and translates them to English. For a full list of supported languages, seeSupported languages per scenario. This article walks you through the ",2025-10-06T08:00:00.000Z,quickstart,,0.2,False,"Quickstart/tutorial for enabling the Arc extension; typically step-by-step setup without detailed configuration matrices, limits, or specialized troubleshooting content.",unchanged
https://learn.microsoft.com/en-us/azure/azure-video-indexer/arc/azure-video-indexer-enabled-by-arc-troubleshooting,Troubleshooting guide,Troubleshoot Azure AI Video Indexer enabled by Arc,Diagnose Azure Video Indexer Arc connectivity and streaming issues,"Troubleshoot common issues with Azure AI Video Indexer enabled by Arc, including connectivity, streaming, and encoding problems.",Use the following information to troubleshoot issues with Azure AI Video Indexer enabled by Arc.,2025-11-18T16:09:00.000Z,troubleshooting-general,troubleshooting,0.75,True,"Explicitly a troubleshooting article for Azure AI Video Indexer enabled by Arc. Such pages typically list concrete error messages, causes, and resolutions for connectivity, streaming, and encoding, which are product-specific diagnostic details not generally known from training.",unchanged
https://learn.microsoft.com/en-us/azure/azure-video-indexer/arc/cost-management,Cost management,Cost management for Azure AI Video Indexer enabled by Arc,Plan and estimate costs for Video Indexer Arc,Learn about the hybrid billing model for Azure AI Video Indexer enabled by Arc and estimate your total cost of ownership before deploying.,"Azure AI Video Indexer enabled by Arc uses a hybrid billing model: the extension itself is free, but you pay for the infrastructure and Azure services that host and support it. Understanding this cost structure is essential for planning your total cost of ownership before deploying at the edge. This article breaks down the free and paid components of your deployment so you can estimate costs accurately. Check theAzure AI Video Indexer pricing pagefor the latest cloud service pricing, which doesn",2026-07-23T22:12:00.000Z,concept-article,decision-making,0.65,True,"Cost management article describing hybrid billing model and how to estimate total cost of ownership. While summary doesn’t show exact prices, the page likely contains breakdowns of cost components and guidance for planning deployments, which is product-specific decision-making content.",unchanged
https://learn.microsoft.com/en-us/azure/azure-video-indexer/arc/live-add-remove-camera,Add or remove cameras,Add or Remove Cameras for Use with the Azure AI Video Indexer Extension for Real-Time Analysis - Preview,,"Learn how to create, update, or delete cameras for use with the VI extension for real-time analysis.","The Azure AI Video Indexer extension for real-time analysis lets you connect cameras for live video insights. This guide explains how to connect and remove cameras using the extension. Important Before you begin, you must already have the Azure AI Video Indexer extension for real-time analysis deployed in your Azure environment. If you didn't deploy it, see theManage Azure AI Video Indexer extensions for real-time analysisarticle for instructions on creating and managing the extension. Video Ind",2026-04-28T17:22:00.000Z,how-to,,0.3,False,Procedural guide for adding/removing cameras; summary indicates basic usage instructions rather than detailed configuration parameter tables or limits.,unchanged
https://learn.microsoft.com/en-us/azure/azure-video-indexer/arc/live-ai-insights-catalog,Overview,Live AI insights  in Azure AI Video Indexer,Choose and apply live AI insights to cameras,"Learn how AI insights work for live stream video, how they appear in the AI insights, and when to use built-in and custom insights.","Live AI insights detect people, vehicles, or custom objects and situations in live camera streams. They run in your Azure Arc edge environment so you can act on detections right away. Unlike uploaded file analysis, real-time AI insights process a live stream and return detections continuously, not a completed index after file processing. This article focuses onLive video stream - enabled by Arc, which shows the real-time insights you can apply to cameras.",2026-04-28T17:22:00.000Z,concept-article,decision-making,0.6,True,"Explains how AI insights work for live streams and when to use built-in vs custom insights. This is product-specific guidance helping users decide which insight types to apply in different scenarios, fitting decision-making around feature selection.",unchanged
https://learn.microsoft.com/en-us/azure/azure-video-indexer/arc/live-analysis,Overview,Azure AI Video Indexer real-time analysis overview - Preview,,"Overview of real-time analysis capabilities in Azure AI Video Indexer, including real-time video indexing and insights.","Azure AI Video Indexer enabled by Arc (VI), as part of an adaptive cloud approach, introduces real-time video analysis. It enables you to extract real-time insights from your live video footage, allowing immediate detection and action at the edge. VI real-time video analysis offers out-of-the-box insights and the ability to define custom AI insights to identify specific objects or states that are tailored for your specific needs. You can view real-time insights directly on top of your video stre",2026-04-28T17:22:00.000Z,concept-article,,0.2,False,"Overview of real-time analysis capabilities; appears conceptual and feature-focused without numeric limits, decision matrices, or detailed configuration parameters.",unchanged
