url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/azure-functions/functions-bindings-cache,Using Azure Functions to create a write-behind cache,Using Azure Functions for Azure Cache for Redis,Integrate Azure Functions with Azure Redis services using bindings,Learn how to use Azure Functions Azure Cache for Redis,"This article describes how to use either Azure Managed Redis or Azure Cache for Redis with Azure Functions to create optimized serverless and event-driven architectures. Azure Functions provides an event-driven programming model where triggers and bindings are key features. With Azure Functions, you can easily build event-driven serverless applications. Azure Redis services (Azure Managed Redis and Azure Cache for Redis) provide a set of building blocks and best practices for building distribute",2025-08-18T22:33:00.000Z,reference,integrations,0.7,True,Describes using Azure Functions triggers/bindings with Azure Managed Redis/Azure Cache for Redis; such docs include binding configuration parameters and connection settings unique to this integration.,unchanged
https://learn.microsoft.com/en-us/azure/redis/architecture,Azure Managed Redis architecture,Azure Managed Redis Architecture - Azure Managed Redis,Understand Azure Managed Redis internal architecture,Learn how Azure Managed Redis is architected,"Azure Managed Redis runs on theRedis Enterprisestack, which provides significant advantages over the community edition of Redis. The following information provides greater detail about how Azure Managed Redis is architected, including information that can be useful to power users.",2026-08-18T17:12:00.000Z,article,architecture-patterns,0.65,True,Architecture article contains product-specific design details and patterns not generally known from generic Redis knowledge.,updated
https://learn.microsoft.com/en-us/azure/redis/aspnet,ASP.NET app,Create an ASP.NET web app with an Azure Managed Redis cache - Azure Managed Redis,Use Azure Managed Redis in ASP.NET Core Web APIs,"In this quickstart, you learn how to create an ASP.NET Core web app with an Azure Managed Redis cache.","This sample shows how to connect an ASP.NET Core Web API to Azure Managed Redis by using Microsoft Entra ID authentication  with theDefaultAzureCredentialflow. The application avoids traditional connection string-based authentication in favor of token-based, Microsoft Entra ID access, which aligns with modern security best practices. The application is a minimal ASP.NET Core 8.0 Web API that:",2026-08-18T17:12:00.000Z,quickstart,integrations,0.7,True,Contains concrete code patterns and auth configuration for ASP.NET Core with Azure Managed Redis and DefaultAzureCredential.,updated
https://learn.microsoft.com/en-us/azure/redis/aspnet-core-output-cache-provider,Use ASP.NET core output cache,ASP.NET Core output cache provider for Azure Cache for Redis - Azure Managed Redis,Configure ASP.NET Core output caching with Azure Redis,Use the Redis Output Cache Provider to cache ASP.NET Core page output out of process by using Azure Cache for Redis.,"This article explains how to configure Redis output caching middleware in an ASP.NET Core app. The output caching middleware enables caching of HTTP responses. The benefits of using output caching include: The benefits of using Azure Cache for Redis as your output cache include: You can use the output caching middleware in all types of ASP.NET Core apps: minimal API, web API with controllers, Model-View-Controller (MVC), and Razor Pages. For a detailed walkthrough of output caching syntax and fe",2026-08-18T17:12:00.000Z,tutorial,integrations,0.8,True,"This article explains configuration of Redis output caching middleware, including specific ASP.NET Core options and Azure Cache for Redis settings, which are concrete integration and coding patterns.",updated
https://learn.microsoft.com/en-us/azure/redis/best-practices-client-libraries,Client libraries best practices,Best practices using client libraries with Azure Managed Redis - Azure Managed Redis,Use client libraries effectively with Azure Managed Redis,Learn about client libraries for Azure Managed Redis.,"This article helps you choose and use the best client libraries for Azure Managed Redis. You learn which libraries to use for your programming language, how to handle clustering policies, and avoid common connection issues. Azure Managed Redis is based on the popular in-memory data store, Redis. Redis clients for many programming languages can access Azure Managed Redis. Each client library has its own API that makes calls to Redis server using Redis commands, but the client libraries are built ",2026-08-18T17:12:00.000Z,article,best-practices,0.8,True,"Client library best-practices article covers clustering policies, connection handling, and common issues specific to this service.",updated
https://learn.microsoft.com/en-us/azure/redis/best-practices-connection,Connection resilience best practices,Best practices for connection resilience for Azure Managed Redis - Azure Managed Redis,Design resilient connections to Azure Managed Redis,Learn how to make your Azure Managed Redis connections resilient.,"In this article, we discuss how to make resilient connections to your cache.",2026-08-18T17:12:00.000Z,best-practice,best-practices,0.8,True,"Connection resilience best-practices will contain concrete retry strategies, timeouts, and client configuration patterns.",updated
https://learn.microsoft.com/en-us/azure/redis/best-practices-development,Development best practice,Best practices for development for Azure Managed Redis - Azure Managed Redis,Implement development best practices for Azure Managed Redis,Learn how to develop code for Azure Managed Redis.,This article discusses how to develop code for Azure Managed Redis.,2026-08-18T17:12:00.000Z,best-practice,best-practices,0.7,True,Explicit best-practices article for development; likely includes concrete recommendations and patterns unique to Azure Managed Redis.,updated
https://learn.microsoft.com/en-us/azure/redis/best-practices-flash-optimized,Best practices for the Flash Optimized tier,Best practices for the Flash Optimized tier - Azure Managed Redis,Apply Flash Optimized tier best practices in Azure Managed Redis,"Learn about the Flash Optimized tier in Azure Managed Redis, including SKU sizes, features, best practices, and common issues.","The Flash Optimized tier in Azure Managed Redis enables cost-effective scaling for very large datasets by automatically moving less-frequently accessed data from memory (RAM) to fast NVMe flash storage. Hot data remains in RAM for low-latency access, while colder data resides on NVMe and is transferred to RAM when accessed, at a lower cost per GB than purely in-memory tiers.",2026-08-18T17:12:00.000Z,concept-article,best-practices,0.8,True,"Explicitly described as best practices; likely includes SKU sizes, configuration recommendations, and common issues for this tier.",updated
https://learn.microsoft.com/en-us/azure/redis/best-practices-kubernetes,Kubernetes-hosted client applications best practices,Best practices for hosting a Kubernetes client application for Azure Managed Redis - Azure Managed Redis,Host Kubernetes client apps for Azure Managed Redis,Learn how to host a Kubernetes client application that uses Azure Managed Redis.,,2026-08-18T17:12:00.000Z,best-practice,best-practices,0.7,True,"Kubernetes hosting best-practices will contain deployment patterns, configuration, and connectivity guidance specific to Azure Managed Redis.",updated
https://learn.microsoft.com/en-us/azure/redis/best-practices-memory-management,Memory management best practice,Best practices for memory management for Azure Managed Redis - Azure Managed Redis,Manage Azure Managed Redis memory efficiently,Learn how to manage your Azure Managed Redis memory effectively with Azure Managed Redis.,"In this article, we discuss effective memory management of an Azure Managed Redis cache.",2026-08-18T17:12:00.000Z,best-practice,best-practices,0.75,True,"Memory management best-practices will include product-specific behaviors, configuration options, and edge cases.",updated
https://learn.microsoft.com/en-us/azure/redis/best-practices-performance,Performance testing best practice,Best practices for performance testing for Azure Managed Redis - Azure Managed Redis,Benchmark Azure Managed Redis performance with memtier,Learn how to test the performance of Azure Managed Redis.,"Testing the performance of a Redis instance can be a complicated task. The performance of a Redis instance can vary based on parameters such as the number of clients, the size of data values, and whether pipelining is being used. There also can be a tradeoff between optimizing throughput or latency. Fortunately, several tools exist to make benchmarking Redis easier. Two of the most popular tools areredis-benchmarkandmemtier-benchmark. This article focuses on memtier_benchmark, often calledmemtie",2026-08-18T17:12:00.000Z,how-to,best-practices,0.75,True,"Performance testing article includes detailed tool usage, parameters, and patterns tailored to Azure Managed Redis.",updated
https://learn.microsoft.com/en-us/azure/redis/best-practices-scale,Scaling best practices,Best practices for scaling for Azure Managed Redis - Azure Managed Redis,Apply scaling best practices for Azure Managed Redis,Learn how to scale your Azure Managed Redis.,"In this article, we discuss concepts of when and why to scale your Azure Managed Redis cache.",2026-08-18T17:12:00.000Z,best-practice,best-practices,0.75,True,Best-practices article on scaling will provide scenario-based guidance and product-specific recommendations.,updated
https://learn.microsoft.com/en-us/azure/redis/best-practices-server-load,Server load management best practice,Best practices for Using and Monitoring the Server Load for Azure Managed Redis - Azure Managed Redis,Monitor and manage Azure Managed Redis server load,Learn how to use and monitor your server load for Azure Managed Redis.,"In this article, we discuss how to use and monitor the load of an Azure Managed Redis cache.",2026-08-18T17:12:00.000Z,best-practice,best-practices,0.75,True,"Server load best-practices include specific metrics, thresholds, and monitoring patterns unique to this service.",updated
https://learn.microsoft.com/en-us/azure/redis/configure,Configure in Azure portal,How to configure Azure Managed Redis - Azure Managed Redis,Configure Azure Managed Redis instance settings,Understand the default Redis configuration for Azure Managed Redis and learn how to configure your Azure Managed Redis instances.,This article describes the configurations available for your Azure Managed Redis instances.,2026-08-18T17:12:00.000Z,how-to,configuration,0.85,True,"A configuration reference article for Redis will enumerate specific configuration parameters, defaults, and allowed values for Azure Managed Redis, which are detailed product-specific settings not generally known.",updated
https://learn.microsoft.com/en-us/azure/redis/configure-access-permissions,Custom data access permissions,Configure custom data access permissions in Azure Managed Redis - Azure Managed Redis,Configure custom Redis ACL-based data access in Azure Managed Redis,Learn how to assign per-user Redis ACL permissions using custom access strings on access policy assignments in Azure Managed Redis.,"By default, each user or service principal you add to your Azure Managed Redis instance gets full access to all commands and keys. Starting with API version2026-05-01-preview, you can assign custom Redis ACL permissions to individual users by specifying anaccess stringon the access policy assignment. Custom access strings (preview) let you control which commands a user can execute and which keys they can access. This control enables fine-grained, per-user data access control for your Redis insta",2026-08-18T17:12:00.000Z,how-to,security,0.85,True,"Describes access strings, ACL permissions, and API version details for fine-grained data access control.",updated
https://learn.microsoft.com/en-us/azure/redis/development-faq,Development FAQs,Azure Managed Redis development FAQs - Azure Managed Redis,Follow development guidance for Azure Managed Redis,Learn the answers to common questions that help you develop for Azure Managed Redis.,This article provides answers to common questions about how to develop for Azure Managed Redis.,2026-08-18T17:12:00.000Z,faq,best-practices,0.6,True,"Development FAQ likely includes product-specific coding patterns, constraints, and gotchas beyond generic Redis usage.",updated
