url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/external-attack-surface-management/asn-asset-filters,ASN asset filters,ASN Asset Filters - Defender ASN domain asset filters,Filter ASN assets in Defender EASM inventory,"This article outlines the filter functionality available in Microsoft Defender External Attack Surface Management for ASN assets specifically, including operators and applicable field values.","This article lists the available filters for Autonomous System Number (ASN) assets in Microsoft Defender External Attack Surface Management. Each filter entry describes the filter's purpose, expected value format, and supported operators. Use these filters to refine your Defender EASM inventory searches and locate a specific ASN or group of ASNs.",2026-08-10T22:36:00.000Z,how-to,configuration,0.75,True,"Lists ASN asset filters with purpose, expected value format, and supported operators. This is a structured catalog of configuration parameters for filtering ASNs, fitting the configuration sub-skill.",unchanged
https://learn.microsoft.com/en-us/azure/external-attack-surface-management/contact-asset-filters,Contact asset filters,Contact Asset Filters - Defender EASM contact asset filters,Use contact asset filters in Defender EASM,"This article outlines the filter functionality available in Microsoft Defender External Attack Surface Management for contact assets specifically, including operators and applicable field values.",The following filters specifically apply to contact assets. Use the contact-asset filters when searching for a specific contact.,2026-08-10T22:36:00.000Z,how-to,configuration,0.7,True,"Lists filters specific to contact assets, including their expected values and operators. This is a configuration reference for query/filter parameters unique to Defender EASM.",unchanged
https://learn.microsoft.com/en-us/azure/external-attack-surface-management/data-connections,Leverage data connections,Configure Defender EASM data connections for Log Analytics and Azure Data Explorer,Configure Defender EASM data exports to analytics,Learn how to use Defender EASM data connections to export asset data and attack surface insights to Log Analytics or Azure Data Explorer for analysis and investigation.,This article discusses the data connections feature in Microsoft Defender External Attack Surface Management (Defender EASM).,2026-08-10T22:36:00.000Z,how-to,configuration,0.65,True,"Data connections from Defender EASM to Log Analytics and Azure Data Explorer typically involve product-specific connection settings, parameter names, and configuration options (for workspaces, tables, schemas). This fits configuration because it likely documents concrete connection parameters and options unique to this integration.",unchanged
https://learn.microsoft.com/en-us/azure/external-attack-surface-management/deploying-the-defender-easm-azure-resource,Deploy the Defender EASM Azure resource,Create a Defender EASM Azure Resource,,This article explains how to create a Microsoft Defender External Attack Surface Management (Defender EASM) Azure resource by using the Azure portal.,"This article explains how to create a Microsoft Defender External Attack Surface Management (Defender EASM) Azure resource by using the Azure portal. Users can begin their usage of Defender EASM with a 30-day free trial. Once the trial is nearing expiration, you will be notified via banners and push notifications. Creating the Defender EASM Azure resource involves two steps:",2026-05-18T17:39:00.000Z,quickstart,,0.4,False,"Explains how to create a Defender EASM Azure resource via portal and mentions trial notifications; appears as a step-by-step creation guide without deployment matrices, limits, or detailed configuration tables.",unchanged
https://learn.microsoft.com/en-us/azure/external-attack-surface-management/discovering-your-attack-surface,Discover your attack surface,Discover Your Attack Surface,,"Microsoft has preemptively configured the attack surfaces of many organizations, mapping their initial attack surface by discovering infrastructure that’s connected to known assets.",,2026-05-18T17:39:00.000Z,tutorial,,0.25,False,Describes preemptive configuration of attack surfaces by Microsoft; summary suggests a conceptual/marketing-style description rather than detailed technical configuration or limits.,unchanged
https://learn.microsoft.com/en-us/azure/external-attack-surface-management/domain-asset-filters,Domain asset filters,Domain Asset Filters - Defender EASM domain asset filters,Configure Defender EASM domain asset filters,"This article outlines the filter functionality available in Microsoft Defender External Attack Surface Management for domain assets specifically, including operators and applicable field values.","This article lists the filters that specifically apply to domain assets in Microsoft Defender External Attack Surface Management. Use these filters to refine your inventory searches and locate a specific subset of domain assets. Each filter entry describes the filter's purpose, provides example values, and lists the applicable operators. Some filters offer predefined values from a drop-down list, while others require you to manually enter a value.",2026-07-02T08:00:00.000Z,how-to,configuration,0.75,True,"Lists domain-specific filter names, purposes, example values, and supported operators. These are concrete, product-specific parameters and options, matching the configuration sub-skill definition.",unchanged
https://learn.microsoft.com/en-us/azure/external-attack-surface-management/easm-copilot,Microsoft Security Copilot and Defender EASM,Microsoft Security Copilot in Defender EASM,,Learn how to use Microsoft Security Copilot to get information about your Microsoft Defender External Attack Surface Management (Defender EASM) data.,"Microsoft Defender External Attack Surface Management (Defender EASM) continuously discovers and maps your digital attack surface to provide an external view of your online infrastructure. This visibility helps security and IT teams identify unknowns, prioritize risk, eliminate threats, and extend vulnerability and exposure control beyond the firewall. Attack surface insights are generated by analyzing vulnerability and infrastructure data to showcase the key areas of concern for your organizati",2026-08-19T22:43:00.000Z,integration,,0.2,False,"Appears to be a conceptual/usage overview of Microsoft Security Copilot with Defender EASM data, without specific limits, configuration tables, error-code-based troubleshooting, or detailed security/decision matrices that meet the expert-knowledge criteria.",updated
https://learn.microsoft.com/en-us/azure/external-attack-surface-management/host-asset-filters,Host asset filters,Host asset inventory filters in Microsoft Defender EASM - Defender EASM host asset filters,Apply host asset filters in Defender EASM,"This article outlines the filter functionality available in Microsoft Defender External Attack Surface Management for host assets specifically, including operators and applicable field values.","This article is a reference for the inventory filters that apply specifically to host assets in Microsoft Defender External Attack Surface Management (Defender EASM). Use these filters to narrow your inventory results when searching for a specific subset of host assets. The article covers two categories of filters: defined value filters that offer predefined drop-down options, and free form filters that accept manually entered values.",2026-07-02T08:00:00.000Z,how-to,configuration,0.75,True,"Provides a reference of host asset filters, including defined-value and freeform filters with their applicable operators and fields. These are specific configuration parameters for querying inventory.",unchanged
https://learn.microsoft.com/en-us/azure/external-attack-surface-management/inventory-filters,Inventory filters overview,Inventory Filters Overview - Defender EASM inventory filters overview,Use Defender EASM inventory filters effectively,This article outlines the filter functionality available in Defender EASM to help you find specific subsets of inventory assets based on selected parameters.,This article outlines the filter functionality available in Microsoft Defender External Attack Surface Management (Defender EASM). Filtering helps you find specific subsets of inventory assets based on selected parameters. This article outlines each filter and operator and provides guidance on input options that yield the best results. It also explains how to save queries for easy accessibility to the filtered results.,2026-08-10T22:36:00.000Z,how-to,configuration,0.7,True,"Reference for all inventory filters and operators, including allowed values and input formats. This is a configuration-like catalog of filter parameters and operators, which are product-specific and not generally known from training.",unchanged
https://learn.microsoft.com/en-us/azure/external-attack-surface-management/ip-address-asset-filters,IP address asset filters,IP Address Asset Filters - Defender EASM IP address asset filters,Configure IP address filters in Defender EASM,"This article outlines the filter functionality available in Microsoft Defender External Attack Surface Management for IP address assets specifically, including operators and applicable field values.","This article provides a comprehensive reference for all filters that apply specifically to IP address assets in Microsoft Defender External Attack Surface Management. Use these filters when searching your inventory for a specific subset of IP addresses based on criteria such as port status, geolocation, web components, banners, and CVE scores. This article organizes the available filters into two categories:Defined value filters, which provide predefined options, andFreeform filters, which accep",2026-07-02T08:00:00.000Z,how-to,configuration,0.8,True,"Comprehensive reference for IP address asset filters, including criteria like port status, geolocation, banners, CVE scores, and separation into defined-value vs freeform filters. These are detailed, product-specific configuration parameters and constraints.",unchanged
