url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/cdn/cdn-create-a-storage-account-with-cdn,Integrate with Azure CDN,Quickstart: Integrate an Azure Storage account with Azure Content Delivery Network,Integrate Azure Storage with Azure CDN for blob delivery,"In this quickstart, learn how to use the Azure content delivery network to deliver high-bandwidth content by caching blobs from Azure Storage.","Important Azure CDN Standard from Microsoft (classic) will be retired onSeptember 30, 2027. To avoid any service disruption, it's important that youmigrate your Azure CDN Standard from Microsoft (classic) profilesto Azure Front Door Standard or Premium tier by September 30, 2027. For more information, seeAzure CDN Standard from Microsoft (classic) retirement. Azure CDN from Edgio was retired onJanuary 15, 2025. For more information, seeAzure CDN from Edgio retirement FAQ. In this quickstart, you",2026-02-28T08:00:00.000Z,quickstart,deployment,0.65,True,Quickstart for CDN integration; likely includes SKU-specific notes and endpoint configuration details that affect deployment of content delivery.,new
https://learn.microsoft.com/en-us/azure/storage/blobs/access-tiers-best-practices,Best practices,Best practices for using blob access tiers - Azure Storage,Best practices for choosing and managing blob access tiers,Learn about best practice guidelines that help you use access tiers to optimize performance and reduce costs.,"This article provides best practice guidelines that help you use access tiers to optimize performance and reduce costs. To learn more about access tiers, seeAccess tiers for blob data.",2025-11-18T17:01:00.000Z,concept-article,best-practices,0.65,True,"Explicit best-practices article; likely includes concrete tier-selection patterns, lifecycle rules, and product-specific gotchas around rehydration and costs.",new
https://learn.microsoft.com/en-us/azure/storage/blobs/access-tiers-online-manage,Change a blob's access tier,Set a blob's access tier - Azure Storage,,"Learn how to specify a blob's access tier when you upload it, or how to change the access tier for an existing blob.","You can set a blob's access tier in any of the following ways: By setting the account default access tier setting for the storage account. Blobs in the account inherit this access tier unless you explicitly override the setting for an individual blob. By explicitly setting a blob's tier on upload. You can create a blob in the hot, cool, cold, or archive tier. By changing an existing blob's tier with a Set Blob Tier operation. Typically, you would use this operation to move from a hotter tier to ",2025-11-18T17:01:00.000Z,how-to,,0.4,False,How-to for setting a blob’s access tier; likely procedural without comprehensive configuration tables or numeric ranges beyond what’s in general docs.,new
https://learn.microsoft.com/en-us/azure/storage/blobs/access-tiers-overview,Access tiers,Access tiers for blob data - Azure Storage,,"Azure storage offers different access tiers so that you can store your blob data in the most cost-effective manner based on how it's being used. Learn about the hot, cool, cold, and archive access tie","Data stored in the cloud grows at an exponential pace. To manage costs for your expanding storage needs, it can be helpful to organize your data based on how frequently it will be accessed and how long it will be retained. Azure storage offers different access tiers so that you can store your blob data in the most cost-effective manner based on how it's being used. Azure Storage access tiers include: Azure storage capacity limits are set at the account level, rather than according to access tier",2025-12-02T08:00:00.000Z,concept-article,,0.3,False,"Conceptual overview of access tiers (hot, cool, cold, archive) and general guidance; no detailed numeric thresholds or configuration tables indicated.",new
https://learn.microsoft.com/en-us/azure/storage/blobs/access-tiers-smart,Smart tiering,Optimize Azure Blob Storage costs with smart tier (preview),Optimize Blob Storage costs using smart tiering,"Optimize your Azure Blob Storage costs with smart tier, automatically moving data between access tiers based on usage patterns.","Important Smart tier is currently in PREVIEW.
See theSupplemental Terms of Use for Microsoft Azure Previewsfor legal terms that apply to Azure features that are in beta, preview, or otherwise not yet released into general availability. Smart tier automatically moves your data between the hot, cool, and cold access tiers based on usage patterns, optimizing your costs for these access tiers without setting up supplementary rulesets or policies. Smart tier is ideal for storing data on standard onli",2025-11-18T17:01:00.000Z,how-to,decision-making,0.65,True,"Describes smart tier behavior and when it’s ideal vs manual tiering, with product-specific rules about automatic movement between hot/cool/cold that drive cost decisions.",new
https://learn.microsoft.com/en-us/azure/storage/blobs/anonymous-read-access-configure,Configure anonymous access,Configure anonymous read access for containers and blobs - Azure Storage,Configure anonymous read access for Blob containers,Learn how to allow or disallow anonymous access to blob data for the storage account. Set the container's anonymous access setting to make containers and blobs available for anonymous access.,"Azure Storage supports optional anonymous read access for containers and blobs. By default, anonymous access to your data is never permitted. Unless you explicitly enable anonymous access, all requests to a container and its blobs must be authorized. When you configure a container's access level setting to permit anonymous access, clients can read data in that container without authorizing the request. Warning When a container is configured for anonymous access, any client can read data in that ",2025-03-04T08:00:00.000Z,how-to,security,0.8,True,"Details account and container-level settings that control anonymous access, including access level options; product-specific security configuration.",new
https://learn.microsoft.com/en-us/azure/storage/blobs/anonymous-read-access-overview,Overview,Overview of remediating anonymous read access for blob data - Azure Storage,Remediate anonymous read access to Azure Blob data,Learn how to remediate anonymous read access to blob data for both Azure Resource Manager and classic storage accounts.,"Azure Storage supports optional anonymous read access for containers and blobs. By default, anonymous access to your data is never permitted. Unless you explicitly enable anonymous access, all requests to a container and its blobs must be authorized. We recommend that you disable anonymous access for all of your storage accounts. This article provides an overview of how to remediate anonymous access for your storage accounts. Warning Anonymous access presents a security risk. We recommend that y",2025-03-17T22:05:00.000Z,how-to,security,0.7,True,Gives concrete remediation steps and configuration paths for disabling anonymous blob access across account types; product-specific security hardening guidance.,new
https://learn.microsoft.com/en-us/azure/storage/blobs/anonymous-read-access-prevent,Remediate anonymous access,Remediate anonymous read access to blob data (Azure Resource Manager deployments) - Azure Storage,Prevent anonymous read access for ARM-based Blob accounts,Learn how to analyze current anonymous requests against a storage account and how to prevent anonymous access for the entire storage account or for an individual container.,"Azure Blob Storage supports optional anonymous read access to containers and blobs. However, anonymous access may present a security risk. We recommend that you disable anonymous access for optimal security. Disallowing anonymous access helps to prevent data breaches caused by undesired anonymous access. By default, anonymous access to your blob data is always prohibited. The default configuration for an Azure Resource Manager storage account prohibits users from configuring anonymous access to ",2025-03-04T08:00:00.000Z,how-to,security,0.82,True,Explains how to analyze anonymous requests and configure account/container settings to block them; includes specific security configuration behaviors for ARM accounts.,new
https://learn.microsoft.com/en-us/azure/storage/blobs/archive-blob,Archive blobs,Archive a blob - Azure Storage,Archive tier usage rules and minimum retention period,"Learn how to create a blob in the archive tier, or move an existing blob to the archive tier.","The archive tier is an offline tier for storing blob data that is rarely accessed. The archive tier offers the lowest storage costs, but higher data retrieval costs and latency compared to the online tiers (hot and cool). Data must remain in the archive tier for at least 180 days or be subject to an early deletion charge. For more information about the archive tier, seeArchive access tier. While a blob is in the archive tier, it can't be read or modified. To read or download a blob in the archiv",2023-11-28T08:00:00.000Z,how-to,limits-quotas,0.7,True,"Includes a concrete 180-day minimum retention requirement and early deletion charge condition, which is a specific policy limit for archive blobs.",new
https://learn.microsoft.com/en-us/azure/storage/blobs/archive-cost-estimation,Estimate the cost to archive data,Estimate the cost of archiving data (Azure Blob Storage) - Azure Storage,Calculate archive tier storage and retrieval costs,Learn how to calculate the cost of storing and maintaining data in the archive storage tier.,"The archive tier is an offline tier for storing data that is rarely accessed. The archive access tier has the lowest storage cost. However, this tier has higher data retrieval costs with a higher latency as compared to the hot, cool, and cold tiers. This article explains how to calculate the cost of using archive storage and then presents a few example scenarios.",2025-05-19T17:08:00.000Z,how-to,decision-making,0.7,True,"Explains how to compute archive tier costs with concrete formulas and sample numbers, helping choose archive vs other tiers based on quantified trade-offs.",new
