url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/durable-task/common/choose-orchestration-framework,Choose your hosting model,Choose Your Durable Task Hosting Model: Azure Functions or Self-Hosted - Durable Task,Choose Durable Functions vs Durable Task SDK hosting,"Learn how to choose between Durable Functions and the standalone Durable Task SDKs based on your hosting platform. Compare features, storage backends, and scaling options to find the right hosting mod","This article helps you decide between the two Durable Task hosting models —Durable Functions(Azure Functions) and thestandalone Durable Task SDKs(self-hosted) — based on your hosting platform, scaling needs, and operational requirements. Tip Already know your hosting platform?Jump to theplatform lookup tablefor a quick answer. As described inWhat is Durable Task?, Durable Task supports two hosting models: Both hosting models provide the same core durable execution capabilities (orchestrations, a",2026-05-06T06:11:00.000Z,concept-article,decision-making,0.7,True,"Explicitly described as a comparison/choice article between hosting models, likely includes feature comparison tables, storage backend options, and guidance for different scenarios—fits decision-making criteria.",unchanged
https://learn.microsoft.com/en-us/azure/durable-task/common/durable-orchestration-versioning,Orchestration versioning,Orchestration Versioning: Safe Deployments for Durable Orchestrations,Use orchestration versioning for safe Durable deployments,Learn how to use orchestration versioning for safe deployments with Durable Functions and Durable Task SDKs. Prevent nondeterminism errors and maintain backward compatibility during updates.,"Deploying changes to orchestrator logic is a key consideration when working with durable orchestration systems. If an orchestration is interrupted and later resumed (for instance, during a host update), the runtime replays the events of the orchestration, ensuring all previous steps execute successfully before taking the next step. If the orchestration code changed between deployments, the steps it takes might no longer be the same. In that case, the system throws a nondeterminism error instead ",2026-05-01T08:00:00.000Z,concept-article,deployment,0.6,True,"Addresses deployment of orchestrator code changes, nondeterminism errors, and backward compatibility; provides product-specific guidance on versioning strategies for safe deployments, fitting deployment-focused decision and pattern guidance.",unchanged
https://learn.microsoft.com/en-us/azure/durable-task/common/durable-task-code-constraints,Orchestrator code constraints,Durable orchestrator code constraints,Follow orchestrator code constraints in Durable Functions,Orchestration replay and code constraints for Azure Durable Functions and Durable Task SDKs.,"Important Support will end for the in-process model on November 10, 2026. We highly recommend that youmigrate your apps to the isolated worker modelfor full support. Build stateful apps with Durable Functions. It's an extension ofAzure Functions. Use anorchestrator functionto coordinate other Durable Functions in your function app. Orchestrator functions are stateful, reliable, and they're built to run for a long time. Build stateful, fault-tolerant workflows with the Durable Task SDKs in .NET, ",2026-08-24T08:00:00.000Z,reference,best-practices,0.78,True,"This page documents product-specific constraints and DO/DON'T guidance for Durable orchestrator functions (such as restrictions on I/O, random number generation, and non-deterministic operations due to orchestration replay). These are nuanced, implementation-specific behaviors and edge cases that go beyond generic programming knowledge and are critical for correctly using Azure Durable Functions and Durable Task SDKs.",unchanged
https://learn.microsoft.com/en-us/azure/durable-task/common/durable-task-custom-orchestration-status,Custom orchestration status,Custom Orchestration Status: Configure and Query,Configure and query custom orchestration status limits,"Learn how to set, query, and display custom orchestration status values to track progress and share metadata with external clients in your workflows.","Custom orchestration status lets you attach arbitrary JSON metadata to a running orchestration instance so that external clients can query it at any time. Use custom status when you need to: Warning The custom status payload is limited to 16 KB of UTF-16 JSON text. If you need a larger payload, use external storage and store a reference (such as a blob URL) in the custom status instead. Important Support will end for the in-process model on November 10, 2026. We highly recommend that youmigrate ",2026-08-05T17:12:00.000Z,how-to,limits-quotas,0.8,True,"Explicitly states a 16 KB UTF-16 JSON text limit for custom status payloads and suggests alternative patterns when exceeding it; this is a precise numeric limit unique to the product, matching limits-quotas.",unchanged
https://learn.microsoft.com/en-us/azure/durable-task/common/durable-task-entities,Durable entities,Durable Entities Overview - Azure Functions,,"Discover what durable entities are and how to use them to manage stateful, distributed workloads in Durable Functions and Durable Task SDKs. Get started with examples and best practices.","Important Support will end for the in-process model on November 10, 2026. We highly recommend that youmigrate your apps to the isolated worker modelfor full support. Entity functions define operations that read and update small pieces of state, calleddurable entities. Like orchestrator functions, entity functions use a special trigger type called theentity trigger. Unlike orchestrator functions, entity functions manage entity state explicitly instead of representing state through control flow.
E",2026-07-24T17:11:00.000Z,overview,,0.3,False,"Durable entities overview and basic usage; summary lacks specific configuration parameters, limits, or troubleshooting mappings.",unchanged
https://learn.microsoft.com/en-us/azure/durable-task/common/durable-task-error-handling,Error handling and retries,Handle Errors and Retries in Durable Functions,Configure error handling and retries in Durable Functions,"Learn how to handle errors, configure automatic retries, and set timeouts in Durable Functions and Durable Task SDKs. Explore retry policies, custom retry handlers, and compensation patterns to build ","Important Support will end for the in-process model on November 10, 2026. We highly recommend that youmigrate your apps to the isolated worker modelfor full support. You implement Durable Functions orchestrations in code, so use your language's built-in error handling features. Error handling and compensation don't require new concepts, but a few orchestration behaviors are worth knowing about. Note Version 4 of the Node.js programming model for Azure Functions is generally available. The v4 mod",2026-07-24T18:54:00.000Z,how-to,best-practices,0.75,True,"Focuses on handling errors, automatic retries, timeouts, retry policies, and compensation patterns specific to Durable Functions/Durable Task; these are concrete product-specific recommendations and behaviors, matching best-practices.",unchanged
https://learn.microsoft.com/en-us/azure/durable-task/common/durable-task-eternal-orchestrations,Eternal orchestrations,Eternal Orchestrations in Durable Task,Implement eternal orchestrations with continue-as-new,Learn how to implement eternal orchestrations in Durable Task Framework to run infinite loops without performance issues. Discover how to use continue-as-new to reset orchestration history.,"Important Support will end for the in-process model on November 10, 2026. We highly recommend that youmigrate your apps to the isolated worker modelfor full support. Eternal orchestrationsare orchestrator functions that run indefinitely by periodically resetting their own history using thecontinue-as-newAPI. They're useful for aggregators, periodic background jobs, and anyDurable Functionsscenario that requires an infinite loop without unbounded history growth. Withoutcontinue-as-new, an orchest",2026-08-05T17:12:00.000Z,concept-article,best-practices,0.65,True,"Explains how to safely run infinite-loop orchestrations using continue-as-new to avoid unbounded history growth; this is a product-specific pattern and gotcha with concrete guidance, matching best-practices.",unchanged
https://learn.microsoft.com/en-us/azure/durable-task/common/durable-task-external-events,External events,Handle External Events in Durable Orchestrations,Handle external events in Durable orchestrations,"Learn how to handle external events in durable orchestrations. Discover how to wait for, send, and process external events like human approvals using the Durable Task framework.","External events allow running orchestrations to receive signals from external sources — such as human approvals, webhook callbacks, or other systems. This article shows you how to wait for, send, and handle external events in your durable orchestrations. Tip Looking to send events to an orchestration?Jump toSend events. Important Support will end for the in-process model on November 10, 2026. We highly recommend that youmigrate your apps to the isolated worker modelfor full support. Orchestrator",2026-05-04T08:00:00.000Z,how-to,best-practices,0.6,True,"Provides detailed guidance on waiting for, sending, and processing external events in orchestrations; these are product-specific patterns and APIs for event handling, aligning with best-practices/integrations, with emphasis on orchestration behavior.",unchanged
https://learn.microsoft.com/en-us/azure/durable-task/common/durable-task-fan-in-fan-out,Fan-out/fan-in,Fan-Out/Fan-In Pattern Scenarios in Durable Functions,Implement fan-out/fan-in pattern in Durable Functions,Learn how to implement the fan-out/fan-in pattern in Durable Functions and Durable Task SDKs to run multiple tasks in parallel and aggregate results. Try it now.,"Important Support will end for the in-process model on November 10, 2026. We highly recommend that youmigrate your apps to the isolated worker modelfor full support. Use thefan-out/fan-inpattern to run multiple functions in parallel and then aggregate the results. This pattern is a common approach for parallel processing in Azure serverless workflows. In this tutorial, you implement the fan-out/fan-in pattern withDurable Functionsto back up an app's site content to Azure Storage.",2026-04-22T17:34:00.000Z,tutorial,architecture-patterns,0.65,True,Covers a product-specific implementation of the fan-out/fan-in pattern for parallel processing and aggregation in Durable Functions; this is an architecture/design pattern applied with concrete guidance.,unchanged
https://learn.microsoft.com/en-us/azure/durable-task/common/durable-task-hubs,Task hubs,What Are Task Hubs in Durable Task? - Azure,Configure and manage Durable Task hubs storage,"Discover what a task hub is in Durable Functions and Durable Task SDKs, how it stores orchestration state, and how to configure and manage task hubs for your applications.","Atask hubis a representation of the current state of the application in storage, including all the pending work. While an application runs, the task hub continually stores the progress of orchestration, activity, and entity functions. This approach ensures that the application can resume processing where it left off if it restarts after being temporarily stopped or interrupted. A task hub also enables applications to scale the compute workers dynamically. This article explains what a task hub st",2026-04-23T22:13:00.000Z,concept-article,configuration,0.65,True,"Described as explaining what a task hub stores and how to configure and manage task hubs; likely includes storage configuration options and settings specific to Durable Task, matching configuration criteria.",unchanged
