url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/documentdb/ai-frameworks,Overview,Integrations for AI apps - Azure DocumentDB,,"Integrate Azure DocumentDB with AI agent and LLM orchestration frameworks like LangChain, LangGraph, LlamaIndex, Haystack, Semantic Kernel, and CosmosAIGraph.","Azure DocumentDB integrates with the leading large language model (LLM) orchestration frameworks. Use these integrations to store agent state, embed and retrieve private data, and ground generative AI responses against the same MongoDB-compatible cluster that backs your application data — without introducing a separate vector store. The following integrations have a how-to in this section:",2026-05-08T12:04:00.000Z,how-to,,0.4,False,Integration overview listing supported AI frameworks; summary does not show concrete SDK parameter tables or config constraints.,unchanged
https://learn.microsoft.com/en-us/azure/documentdb/autoscale,Autoscale,Autoscale on Azure DocumentDB - Azure DocumentDB,Apply autoscale behavior for Azure DocumentDB workloads,Autoscale on Azure DocumentDB.,"Managing databases with fluctuating workloads can be complex and costly, especially when unpredictable traffic spikes require overprovisioning resources. To address this
challenge, Azure DocumentDB introduces Autoscale for its clusters. Autoscale is designed to handle variable workloads by dynamically adjusting capacity
in real-time, scaling up or down based on application demands. Unlike other managed MongoDB solutions, which often experience delays of several hours when scaling up and more tha",2026-04-27T13:06:00.000Z,concept-article,architecture-patterns,0.6,True,"Autoscale feature description will include product-specific scaling behavior, timing, and constraints compared to other MongoDB solutions.",unchanged
https://learn.microsoft.com/en-us/azure/documentdb/availability-disaster-recovery-under-hood,High availability and disaster recovery - Behind the scenes,Availability and disaster recovery (DR) under the hood - Azure DocumentDB,Understand HA and DR internals for Azure DocumentDB,Learn about Azure DocumentDB availability and disaster recovery internals.,"This article delves into the internals ofhigh availability (HA)andcross-region disaster recovery (DR)for Azure DocumentDB, outlining the design and capabilities of these features. It provides insights for effective in-region and cross-region strategy planning to ensure reliability and business continuity.",2026-06-02T18:53:00.000Z,concept-article,architecture-patterns,0.7,True,"Describes internal design of HA and cross-region DR, which is product-specific architecture guidance for planning reliability strategies.",unchanged
https://learn.microsoft.com/en-us/azure/documentdb/azure-mongo-first-party,First-party MongoDB service,Why Mission-Critical MongoDB Workloads Run on Azure First-Party Services - Azure DocumentDB,Choose Azure first-party services for MongoDB workloads,Learn why mission-critical workloads rely on first-party database services.,"For regulated industries, large enterprises, and mission-critical workloads, choosing the right cloud service matters. Azure developed, services—operated, secured, and supported by Microsoft—offer a fundamentally different level of control, compliance, and integration than third-party vendor-managed offerings and ISV integrations. This distinction is essential when evaluating managed MongoDB services on Azure. All first-party Azure services can be found on in theAzure products page.",2026-04-27T13:06:00.000Z,product-comparison,decision-making,0.7,True,"Explains trade-offs between first-party and third-party managed MongoDB services on Azure, with compliance and control considerations for mission-critical workloads.",unchanged
https://learn.microsoft.com/en-us/azure/documentdb/background-indexing,Background indexing,Background indexing - Azure DocumentDB,Use background indexing safely in Azure DocumentDB,Background indexing to enable nonblocking operation during index creation,"Background indexing is a technique that enables a database system to perform indexing operations on a collection without blocking other queries or updates. Azure DocumentDB accepts the background indexing request and asynchronously performs it in background. When using smaller tiers or workloads with high I/O, predefine indexes on empty collections and avoid relying on background indexing. Important Create unique indexes on an empty collection because unique indexes build in the foreground and b",2026-04-27T13:06:00.000Z,how-to,best-practices,0.75,True,"Contains specific guidance and gotchas: avoid background indexing on smaller tiers or high I/O workloads, create unique indexes on empty collections because they build in foreground; product-specific behavior and recommendations.",unchanged
https://learn.microsoft.com/en-us/azure/documentdb/build-rag-applications,LangChain on Azure,Use LangChain on Azure with Azure DocumentDB - Azure DocumentDB,Use LangChain Azure AI vector store with DocumentDB,"Build retrieval-augmented LangChain apps on Azure DocumentDB by using the langchain-azure-ai vector store, DiskANN/HNSW/IVF indexes, and MMR search.","Thelangchain-azure-aipackage is the Microsoft-maintained set of LangChain integrations for Azure. It includesAzureCosmosDBMongoVCoreVectorSearch, aVectorStoreimplementation that targets the MongoDB-compatible wire protocol exposed by Azure DocumentDB. Use it to embed documents, persist them and their vectors, build DiskANN, HNSW, or IVF indexes, and serve retrieval as a LangChain tool or chain step. This how-to walks through wiring the integration to your cluster, building a vector index, adding",2026-05-08T12:04:00.000Z,how-to,integrations,0.75,True,"Covers langchain-azure-ai VectorStore targeting DocumentDB’s Mongo wire protocol, DiskANN/HNSW/IVF index usage, and MMR search; likely includes product-specific config options and code patterns.",unchanged
https://learn.microsoft.com/en-us/azure/documentdb/build-rag-pipelines,Haystack,Use Haystack with Azure DocumentDB - Azure DocumentDB,Integrate Haystack RAG pipelines with Azure DocumentDB,"Build retrieval-augmented Haystack 2.x pipelines on Azure DocumentDB by using a custom cosmosSearch retriever component, DiskANN indexing, and an OpenAI generator.","Haystackis an open-source framework from deepset for building production LLM applications as composable pipelines of small@componentclasses — embedders, retrievers, prompt builders, generators, and answer builders. This how-to shows how to run Haystack 2.x against Azure DocumentDB by writing a small custom retriever that runscosmosSearchand plugging it into a standard RAG pipeline.",2026-05-08T12:04:00.000Z,how-to,integrations,0.7,True,"How-to for a custom cosmosSearch retriever, DiskANN indexing, and OpenAI generator; likely includes specific retriever parameters and query patterns unique to DocumentDB.",unchanged
https://learn.microsoft.com/en-us/azure/documentdb/cassandra-how-to-schema-conversion-vs-code,Schema conversion using Visual Studio Code extension,Convert a Cassandra schema to Azure DocumentDB using the Schema Migrator extension - Azure DocumentDB,Convert Cassandra schemas to Azure DocumentDB with VS Code,"Use the Azure DocumentDB Schema Migrator extension in Visual Studio Code to convert Apache Cassandra schemas, SOLR indexes, and query patterns to Azure DocumentDB.","In this guide, you use theAzure DocumentDB Schema Migratorextension in Visual Studio Code to convert an Apache Cassandra schema to Azure DocumentDB. The extension uses AI to analyze your Cassandra schema files, including SOLR search configurations and query patterns, and generates an Azure DocumentDB data model with collection definitions, shard key recommendations, indexes, and translated queries. The extension supports two AI providers: GitHub Copilot (through your existing Copilot subscriptio",2026-06-17T22:15:00.000Z,how-to,integrations,0.8,True,"Schema Migrator extension guide will include tool-specific parameters, supported inputs, and generated outputs, which are product-specific integration details.",unchanged
https://learn.microsoft.com/en-us/azure/documentdb/cassandra-migration-benefits,Migration benefits,Benefits of migrating from Cassandra to Azure DocumentDB - Azure DocumentDB,,"Learn the key benefits of migrating from Apache Cassandra to Azure DocumentDB, including reduced operational complexity, lower TCO, richer query capabilities, and built-in advanced search.","Migrating from Apache Cassandra to Azure DocumentDB reduces operational overhead, lowers licensing costs, and unlocks a richer set of database capabilities. This article summarizes the key benefits across infrastructure management, query flexibility, advanced search, scalability, and total cost of ownership (TCO).",2026-06-17T22:15:00.000Z,concept-article,,0.4,False,Benefits article is largely marketing/comparative without clear indication of detailed technical criteria or configuration specifics.,unchanged
https://learn.microsoft.com/en-us/azure/documentdb/change-streams,Change streams,Change streams - Azure DocumentDB,Configure and use change streams in Azure DocumentDB,Learn how to configure and use change streams to track the real-time changes made on targeted collections or databases.,"Change streams are a real-time stream of database changes that flows from your database to your application. This feature enables you to build reactive applications by subscribing to database changes, eliminating the need for continuous polling to detect changes. Note Change stream support for multishard clusters is currently in preview. To enable this feature on your cluster,create a support request.",2026-06-04T17:12:00.000Z,concept-article,configuration,0.6,True,Explains change streams behavior and preview limitations for multishard clusters; likely includes specific options and constraints unique to DocumentDB change streams.,unchanged
