url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/route-server/about-dual-homed-network,Dual-homed network,About dual-homed networks with Azure Route Server,Implement dual-homed networks with Azure Route Server,Learn how to use Azure Route Server in a dual-homed network architecture where you can connect a spoke virtual network to more than one hub virtual network.,"A dual-homed network architecture allows spoke virtual networks to connect to multiple hub virtual networks, providing redundancy and improved availability for your network infrastructure. This design pattern is particularly useful when you need multiple paths for connectivity, whether for high availability, load distribution, or different types of network connections. In traditional hub-and-spoke architectures, spoke virtual networks are connected to a single hub virtual network that contains s",2025-09-17T22:11:00.000Z,concept-article,architecture-patterns,0.7,True,"Describes a dual-homed hub-and-spoke architecture pattern specific to Route Server, including when to use multiple hubs for redundancy and availability.",new
https://learn.microsoft.com/en-us/azure/route-server/anycast,IP anycast,Anycast routing with Azure Route Server - Azure Route Server,Implement anycast routing with Azure Route Server,Learn how to implement anycast routing to advertise the same route from different regions using Azure Route Server for improved application availability and performance.,"Anycast routing enables you to advertise the same IP address from multiple Azure regions, providing improved application availability, performance, and resilience. With Azure Route Server, you can implement anycast routing to automatically direct traffic to the closest or most optimal application instance based on routing metrics. This article explains how to implement anycast routing with Azure Route Server for multi-region application deployments over private networks.",2025-09-17T22:11:00.000Z,concept-article,architecture-patterns,0.7,True,"Describes how to implement anycast routing over private networks using Route Server, including multi-region patterns and routing behavior—service-specific architecture guidance.",new
https://learn.microsoft.com/en-us/azure/route-server/configure-route-server,Configure and manage Route Server,Configure and manage Azure Route Server,Configure and manage Azure Route Server settings,"Learn how to configure and manage Azure Route Server using the Azure portal, Azure PowerShell, or Azure CLI.","This article shows you how to configure and manage Azure Route Server using the Azure portal, Azure PowerShell, or Azure CLI. You learn how to add and remove Border Gateway Protocol (BGP) peers, configure route exchange with virtual network gateways, and manage routing preferences.",2025-09-17T22:11:00.000Z,how-to,configuration,0.7,True,"Shows how to configure and manage Route Server, including adding/removing BGP peers and routing preferences; likely includes specific setting names and options across portal, PowerShell, and CLI.",new
https://learn.microsoft.com/en-us/azure/route-server/expressroute-vpn-support,Azure Route Server support for ExpressRoute and Azure VPN,Azure Route Server support for ExpressRoute and Azure VPN - Azure Route Server,Integrate Route Server with ExpressRoute and VPN gateways,"Learn how Azure Route Server enables route exchange between network virtual appliances, Azure ExpressRoute gateways, and Azure VPN gateways to create integrated hybrid network topologies.","Azure Route Server seamlessly integrates with Azure ExpressRoute and Azure VPN gateways, enabling dynamic route exchange between these gateways and network virtual appliances (NVAs). This integration allows you to create sophisticated hybrid network topologies where on-premises networks connected through different connectivity methods can communicate with each other and with NVAs in Azure. This article explains how Azure Route Server works with ExpressRoute and VPN gateways, the configuration re",2025-09-17T22:11:00.000Z,concept-article,architecture-patterns,0.6,True,Explains how Route Server works with ExpressRoute and VPN gateways to build hybrid topologies; focuses on service-specific integration patterns and configuration requirements.,new
https://learn.microsoft.com/en-us/azure/route-server/hub-routing-preference,Routing preference,Routing preference with Azure Route Server - Azure Route Server,Configure routing preference in Azure Route Server,Learn how to configure routing preference in Azure Route Server to control route selection when multiple paths are available to the same destination.,"When Azure Route Server receives multiple routes to the same destination from different sources, it uses routing preference settings to determine which path to prefer. This feature gives you control over traffic flow in hybrid network scenarios where you have multiple connectivity options such as ExpressRoute, VPN gateways, and network virtual appliances (NVAs). This article explains how routing preference works, the available configuration options, and best practices for implementing route sele",2025-09-17T22:11:00.000Z,concept-article,best-practices,0.6,True,Explains how routing preference works and includes best practices for implementation; this is product-specific guidance on how to configure and use routing preference correctly.,new
https://learn.microsoft.com/en-us/azure/route-server/monitor-route-server,Monitor Route Server,Monitor Azure Route Server with Azure Monitor,Monitor Azure Route Server with Azure Monitor metrics,"Learn how to monitor Azure Route Server performance and health using Azure Monitor metrics, including Border Gateway Protocol (BGP) peer status and route counts.","Azure Route Server provides comprehensive monitoring capabilities through Azure Monitor, enabling you to track performance, monitor BGP peer connectivity, and analyze route propagation. This article shows you how to access and interpret Route Server metrics to maintain optimal network performance. Azure Monitor provides centralized monitoring for all Azure services, including real-time metrics, alerting capabilities, and diagnostic insights for your Route Server deployment. Note Classic metrics ",2025-11-18T17:01:00.000Z,how-to,configuration,0.65,True,Explains how to access and interpret Route Server metrics such as BGP peer status and route counts; monitoring configuration and metric names are product-specific configuration knowledge.,new
https://learn.microsoft.com/en-us/azure/route-server/multiregion,Multi-region design,Multi-region networking with Azure Route Server,Design multi-region network architectures with Route Server,Learn how to design multi-region network architectures using Azure Route Server for high availability and disaster recovery scenarios.,"Modern applications often require deployment across multiple Azure regions to meet high availability, disaster recovery, and performance requirements. Azure Route Server enables sophisticated multi-region network architectures that provide dynamic routing capabilities while maintaining centralized network control through network virtual appliances (NVAs). This article explains how to design and implement multi-region topologies using Azure Route Server, including integration with ExpressRoute an",2025-09-17T22:11:00.000Z,concept-article,architecture-patterns,0.7,True,"Covers multi-region topologies, high availability, and DR patterns using Route Server, including integration with ExpressRoute and NVAs—product-specific architectural guidance.",new
https://learn.microsoft.com/en-us/azure/route-server/next-hop-ip,Next hop IP support,Next hop IP support in Azure Route Server,Design NVA architectures with Route Server next hop IP,Learn how Azure Route Server's next hop IP support enables Border Gateway Protocol (BGP) peering with network virtual appliances deployed behind Azure internal load balancers for improved availability,"Azure Route Server's next hop IP support enables you to establish BGP peering with network virtual appliances (NVAs) deployed behind Azure internal load balancers. This capability enhances network availability through active-passive configurations and improves performance with active-active load balancing scenarios. This article explains how next hop IP support works, its benefits, and the architectural patterns you can implement for resilient network designs.",2025-09-17T22:11:00.000Z,concept-article,architecture-patterns,0.65,True,Describes how next hop IP support enables specific active-passive and active-active patterns behind internal load balancers; focuses on product-specific architectural patterns and when to use them.,new
https://learn.microsoft.com/en-us/azure/route-server/overview,What is Azure Route Server?,What is Azure Route Server?,,Learn how Azure Route Server simplifies dynamic routing between network virtual appliances and Azure virtual networks using BGP protocol for automated route management.,"Azure Route Server is a fully managed Azure service that simplifies dynamic routing between network virtual appliances (NVAs) and Azure virtual networks. It enables automatic route exchange through Border Gateway Protocol (BGP) between NVAs and the Azure Software Defined Network (SDN), eliminating the need for manual route table configuration and maintenance. With Azure Route Server, you can deploy sophisticated network topologies that automatically adapt to changes, support multiple NVAs for hi",2025-09-18T22:19:00.000Z,overview,,0.2,False,"High-level service overview of Azure Route Server without detailed limits, configuration tables, or decision matrices.",new
https://learn.microsoft.com/en-us/azure/route-server/path-selection,Path selection,Path selection with Azure Route Server,Configure path selection and routing preferences in Route Server,Learn how Azure Route Server enables path selection and routing preference configuration for network virtual appliances to optimize performance or cost for hybrid connectivity.,"Azure Route Server enables sophisticated path selection capabilities for network virtual appliances (NVAs) in hybrid connectivity scenarios. By configuring routing preferences, you can optimize traffic flows between Azure virtual networks and on-premises networks based on your specific requirements for performance, cost, or resilience. This article explains how path selection works with Azure Route Server and how to configure routing preferences to meet your business needs.",2025-09-18T22:19:00.000Z,concept-article,architecture-patterns,0.6,True,"Focuses on how Route Server performs path selection and how to configure routing preferences for performance, cost, or resilience—service-specific routing behavior and decision logic.",new
