url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/aks/aksarc/ad-sso,Use Active Directory single sign-on,Use Active Directory single sign-on for secure connection to Kubernetes API server in AKS on Windows Server - AKS enabled by Azure Arc,Configure AD single sign-on to secure AKS Arc API server access,Use Active Directory Authentication to securely connect to the API server with SSO credentials,Applies to: AKS on Windows Server You can create a secure connection to your Kubernetes API server in AKS on Windows Server using Active Directory (AD) single sign-on (SSO) credentials.,2026-01-21T08:00:00.000Z,how-to,security,0.75,True,Describes using Active Directory SSO to connect to the Kubernetes API server; likely includes specific authentication configuration parameters and flows unique to this product.,new
https://learn.microsoft.com/en-us/azure/aks/aksarc/adapt-apps-mixed-os-clusters,Adapt apps for mixed-OS Kubernetes clusters,Adapt applications for use in mixed-OS Kubernetes clusters - AKS enabled by Azure Arc,Configure scheduling for mixed-OS AKS Arc clusters,Learn how to use node selectors or taints and tolerations on Azure Kubernetes Service to ensure applications in mixed OS Kubernetes clusters running on AKS on Windows Server are scheduled on the corre,"Applies to: AKS on Windows Server AKS on Windows Server enables you to run Kubernetes clusters with both Linux and Windows nodes, but you must make small edits to your apps for use in these mixed-OS clusters. This how-to guide describes how to ensure your application gets scheduled on the right host OS using either node selectors or taints and tolerations. This article assumes a basic understanding of Kubernetes concepts. For more information, seeKubernetes core concepts for AKS on Windows Serve",2024-06-27T08:00:00.000Z,how-to,configuration,0.7,True,"Shows concrete use of node selectors and taints/tolerations for AKS on Windows Server mixed-OS clusters, with product-specific YAML patterns and gotchas.",new
https://learn.microsoft.com/en-us/azure/aks/aksarc/add-ons,"Add-ons, extensions, and integrations",Add-ons and extensions available for AKS on Windows Server - AKS enabled by Azure Arc,Select supported add-ons and extensions for AKS on Windows Server,Learn about what add-ons and integrations are supported in AKS on Windows Server.,"Azure Kubernetes Service (AKS) on Windows Server provides augmented functionality for your Kubernetes cluster, mainly through extensions that are supported by Microsoft. There are also many integrations offered by open-source projects and third-party organizations. It's important to note that these integrations, which are not supported by AKS Arc, are not included in theAKS Arc support policy.",2025-04-08T22:02:00.000Z,how-to,decision-making,0.6,True,"Explains which add-ons/integrations are supported vs third-party and how that relates to the AKS Arc support policy, informing decisions about which integrations to use.",new
https://learn.microsoft.com/en-us/azure/aks/aksarc/aks-arc-diagnostic-checker,Use diagnostic checker,Use diagnostic checker to identify common causes for failures (preview) - AKS enabled by Azure Arc,Run AKS Arc diagnostic checker for cluster creation failures,Learn how to diagnose common causes for failures in AKS Arc.,"It can be difficult to identify environment-related issues, such as networking configuration, that can result in an AKS cluster creation failure. The diagnostic checker is a PowerShell tool that can help you identify AKS cluster creation failures due to potential issues in the environment. Note You can only use the diagnostic checker tool if an AKS cluster was created, but is in a failed state. You can't use the tool if you don't see an AKS cluster on the Azure portal. If the AKS cluster creatio",2025-06-27T08:00:00.000Z,troubleshooting,troubleshooting,0.8,True,"Explains a tool that analyzes failed cluster creations, including environment checks and specific failure causes with recommended mitigations.",new
https://learn.microsoft.com/en-us/azure/aks/aksarc/aks-arc-known-issues,Known issues overview,Troubleshoot known issues in AKS enabled by Azure Arc - AKS enabled by Azure Arc,Work around known issues in AKS enabled by Azure Arc,Learn about known issues and workarounds in AKS enabled by Arc.,"This article identifies known issues and their workarounds in AKS Arc. These release notes are continuously updated, and as issues that require a workaround are discovered, they're added here. If you encounter an issue that isn't listed here, pleaseopen a support request.",2025-12-17T00:31:00.000Z,how-to,troubleshooting,0.8,True,"Lists known issues and workarounds, effectively mapping specific symptoms/bugs to mitigations, which is troubleshooting-focused expert knowledge.",new
https://learn.microsoft.com/en-us/azure/aks/aksarc/aks-arc-local-requirements,System requirements for AKS on Azure Local,System requirements for AKS on Azure Local - AKS enabled by Azure Arc,Meet system and storage requirements for AKS Local,Learn about system storage requirements for Azure Kubernetes Service (AKS) for Azure Local.,"With Azure Kubernetes Service (AKS) Arc on Azure Local, you can deploy and manage Kubernetes clusters on your own infrastructure with integrated Azure Arc control. Cluster creation and
lifecycle management are supported via familiar Azure tools such as the portal, Azure CLI, and Resource Manager templates. These clusters are automatically onboarded to Azure Arc, enabling
centralized governance and secure access through Microsoft Entra ID.",2025-12-09T18:14:00.000Z,concept-article,configuration,0.75,True,"System and storage requirements page typically lists specific CPU, memory, disk, and other configuration prerequisites unique to AKS on Azure Local.",new
https://learn.microsoft.com/en-us/azure/aks/aksarc/aks-arc-use-node-taints,Taints,Manage node taints for an AKS cluster - AKS enabled by Azure Arc,Manage Kubernetes node taints in AKS on Azure Local,Learn how to manage node taints in AKS on Azure Local,Applies to: AKS on Azure Local This article describes how to use node taints in an AKS cluster.,2024-06-05T22:00:00.000Z,how-to,configuration,0.6,True,"Provides AKS Arc–specific commands and usage patterns for node taints, which are concrete configuration steps rather than conceptual guidance.",new
https://learn.microsoft.com/en-us/azure/aks/aksarc/aks-create-clusters-api,REST API,Create Kubernetes clusters using REST APIs - AKS enabled by Azure Arc,Provision AKS Arc clusters using REST APIs,Learn how to create Kubernetes clusters in Azure Local using REST API for the Hybrid Container Service.,"Applies to: AKS on Azure Local This article describes how to create Kubernetes clusters on Azure Local using the REST API. The Azure resource type forAKS Arc provisioned clustersis""Microsoft.HybridContainerService/provisionedClusterInstances"". This resource is an extension of theconnected clustersresource type,""Microsoft.Kubernetes/connectedClusters"". Due to this dependency, you must first create a connected cluster resource before creating an AKS Arc resource.",2025-06-19T22:01:00.000Z,how-to,integrations,0.6,True,"Describes REST API resource types (Microsoft.HybridContainerService/provisionedClusterInstances, Microsoft.Kubernetes/connectedClusters) and their dependency; includes product-specific API integration details.",new
https://learn.microsoft.com/en-us/azure/aks/aksarc/aks-create-clusters-cli,Azure CLI,Create Kubernetes clusters using Azure CLI - AKS enabled by Azure Arc,,Learn how to create Kubernetes clusters in Azure Local using Azure CLI.,Applies to: AKS on Azure Local This article describes how to create Kubernetes clusters in Azure Local using Azure CLI. The workflow is as follows:,2025-10-09T08:00:00.000Z,how-to,,0.3,False,How-to tutorial for creating clusters via Azure CLI; likely step-by-step commands without comprehensive config matrices.,new
https://learn.microsoft.com/en-us/azure/aks/aksarc/aks-create-clusters-portal,Azure portal,Create Kubernetes Clusters by Using the Azure Portal - AKS enabled by Azure Arc,,Create Kubernetes clusters by using the Azure portal.,Applies to: AKS on Azure Local This article describes how to create Kubernetes clusters in Azure Local by using the Azure portal. You need to:,2026-02-04T23:07:00.000Z,how-to,,0.25,False,"Portal-based cluster creation walkthrough; mostly UI steps, not a catalog of configuration options with ranges.",new
https://learn.microsoft.com/en-us/azure/aks/aksarc/aks-edge-concept-clusters-nodes,Clusters and nodes,AKS Edge Essentials clusters and nodes - AKS enabled by Azure Arc,,Learn about clusters and nodes running on AKS Edge Essentials.,"This article describes how to create AKS Edge Essentials cluster deployments, nodes, and virtual machines.",2025-07-07T17:11:00.000Z,concept-article,,0.35,False,"Conceptual description of clusters, nodes, and VMs in AKS Edge Essentials; likely architecture/behavior overview rather than detailed config tables or limits.",new
https://learn.microsoft.com/en-us/azure/aks/aksarc/aks-edge-concept-networking,Networking,AKS Edge Essentials networking - AKS enabled by Azure Arc,Configure networking for AKS Edge Essentials clusters,Basic networking concepts for AKS Edge Essentials,"This article describes how to configure the networking between the Windows host OS and the Linux and Windows nodes' virtual machines. For more information about AKS Edge Essentials architecture, see theAKS Edge Essentials overview. Tip The following guide describes different networking concepts and configurations available in AKS Edge Essentials. If you use a single machine cluster, the installer and deployment mechanism handle all the necessary networking configuration. No extra steps or config",2025-03-10T08:00:00.000Z,concept-article,configuration,0.7,True,"Networking article for a specific product usually includes concrete network modes, IP ranges, interface names, and required settings, which are product-specific configuration details.",new
https://learn.microsoft.com/en-us/azure/aks/aksarc/aks-edge-deployment-config-json,Deployment JSON configuration parameters,AKS Edge Essentials deployment configuration JSON parameters - AKS enabled by Azure Arc,Use aksedge-config.json deployment parameters,Description of deployment configuration JSON parameters in AKS Edge Essentials.,This page describes the AKS Edge Essentials deployment schema used in theaksedge-config.json. You can find the complete JSON schema file atC:\Program Files\AksEdge\aksedge-dcschema.json.,2025-03-10T08:00:00.000Z,concept-article,configuration,0.95,True,"Explicitly documents the deployment JSON schema, including parameter names, allowed values, and defaults. This is core configuration reference content.",new
https://learn.microsoft.com/en-us/azure/aks/aksarc/aks-edge-gpu,Use GPU acceleration,GPU acceleration for AKS Edge Essentials (preview) - AKS enabled by Azure Arc,Enable GPU acceleration in AKS Edge Essentials,Learn how to expose a GPU to the virtual machine's Linux module.,"Important GPU acceleration for AKS Edge Essentials is currently in PREVIEW.
See theSupplemental Terms of Use for Microsoft Azure Previewsfor legal terms that apply to Azure features that are in beta, preview, or otherwise not yet released into general availability. GPUs are a popular choice for artificial intelligence computations, because they offer parallel processing capabilities and can often execute vision-based inferencing faster than CPUs. To better support artificial intelligence and mac",2025-01-15T23:01:00.000Z,how-to,configuration,0.7,True,"GPU support article typically includes driver versions, VM configuration flags, and resource settings specific to AKS Edge Essentials, which are configuration details.",new
