url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/sre-agent/ado-connector,Azure DevOps connector,Azure DevOps connector in Azure SRE Agent,Set up Azure DevOps connector for Azure SRE Agent,"Connect Azure DevOps for source code analysis, work item management, and wiki knowledge with OAuth or managed identity authentication.","Connect Azure DevOps so your agent can search your code, create work items, and index your wiki as a knowledge source. Tip Quick overview",2026-03-27T15:55:00.000Z,conceptual,integrations,0.65,True,"Describes connecting Azure DevOps using OAuth or managed identity; likely documents specific connector settings, permissions, and parameter requirements for this integration.",new
https://learn.microsoft.com/en-us/azure/sre-agent/agent-hooks,Agent hooks,Agent Hooks in Azure SRE Agent,,Intercept and control agent behavior with custom scripts or LLM-based validation that runs before or after specific agent actions.,"Hooks are custom checkpoints that intercept and control agent behavior at key moments. Use hooks to enforce quality gates on agent responses, audit and control tool usage, block dangerous operations by enforcing policies, and prevent early task completion by validating agent output.",2026-03-27T15:55:00.000Z,concept-article,,0.4,False,"Explains hooks conceptually (pre/post actions, validation, blocking operations); no indication of specific error codes, config tables, or quantified best practices.",updated
https://learn.microsoft.com/en-us/azure/sre-agent/agent-identity,Agent identity,Agent identity in Azure SRE Agent,Understand Azure SRE Agent managed identities,Learn how Azure SRE Agent uses managed identities to authenticate to Azure resources and external connectors.,"When you create an agent, Azure automatically provisions identity resources. This article explains what gets created, why two identities exist, and how connectors use them. For information about how your agent gets permissions on Azure resources (RBAC roles, permission levels, on-behalf-of flow), seeAgent permissions.",2026-03-27T15:55:00.000Z,conceptual,security,0.65,True,Describes the two identities created for the agent and how connectors use them; identity resource types and their usage patterns are product-specific security configuration details.,new
https://learn.microsoft.com/en-us/azure/sre-agent/agent-playground,Agent playground,Agent Playground in Azure SRE Agent,,Test and refine your agent configurations in real time before deploying changes with the split-screen editor and AI-powered evaluation.,"Test custom agent behavior in real time before deploying changes. Edit instructions, tools, and handoffs with instant feedback in a split-screen layout. Evaluate agent quality with AI-powered scoring and quick fixes.",2026-03-27T15:55:00.000Z,feature-guide,,0.35,False,"Agent Playground description focuses on testing and evaluation UX; summary does not indicate detailed configuration parameters, limits, or troubleshooting mappings.",updated
https://learn.microsoft.com/en-us/azure/sre-agent/agent-reasoning,Agent reasoning,Agent Reasoning in Azure SRE Agent,,"Learn how your agent processes requests, selects tools, classifies actions, and explains its thinking.","Your agent reasons through problems rather than following scripts. Because it builds Deep Context about your codebase, past incidents, and infrastructure, it reasons aboutyoursystems, not generic ones. It gathers evidence, selects the right tools, classifies actions by risk, and explains its thinking, all visible in the chat interface.",2026-03-27T15:55:00.000Z,concept-article,,0.25,False,Describes agent reasoning and visibility in chat; conceptual behavior explanation rather than concrete configuration or error handling.,updated
https://learn.microsoft.com/en-us/azure/sre-agent/anthropic-sub-processor,Anthropic subprocessor,Anthropic as a subprocessor in Azure SRE Agent,Use Anthropic as a subprocessor in SRE Agent,"Learn how Anthropic operates as a Microsoft subprocessor in Azure SRE Agent, including model selection, and data residency controls.","Azure SRE Agent supports multiple AI model providers for investigations, incident response, and operational automation. Anthropic is one of the available providers and operates as a Microsoft subprocessor. Anthropic operates under Microsoft's oversight with contractual safeguards and technical and organizational measures in place. The MicrosoftProduct TermsandMicrosoft Data Protection Addendum (DPA)apply when you use Anthropic models through Azure SRE Agent. For more information about subprocess",2026-03-24T22:22:00.000Z,concept-article,security,0.7,True,"Covers Anthropic as a subprocessor, model selection, and data residency controls; this is product-specific security/compliance behavior and configuration around model provider choice and data handling.",new
https://learn.microsoft.com/en-us/azure/sre-agent/audit-agent-actions,Audit agent actions,Audit Agent Actions in Azure SRE Agent,Query Azure SRE Agent telemetry in Application Insights,"Query your agent's actions, tool calls, and incident outcomes using Application Insights telemetry and KQL.","Your agent logs every action, including tool calls, model invocations, incident handling, and approval decisions, to your Application Insights resource. To see exactly what your agent did, when, and why, query thecustomEventstable by using Kusto Query Language (KQL). Access logs directly fromMonitor>Logsin the agent portal.",2026-03-27T15:55:00.000Z,reference,troubleshooting,0.65,True,"Describes querying customEvents in Application Insights with KQL to inspect agent actions. Likely includes specific table names, fields, and KQL patterns unique to SRE Agent telemetry, which are product-specific diagnostic details.",updated
https://learn.microsoft.com/en-us/azure/sre-agent/automate-incidents,Automate incident response,Tutorial: Automate Incident Response in Azure SRE Agent,,"Connect Azure Monitor, create response plans, and let your agent investigate and resolve incidents autonomously from detection to fix.","Estimated time: 10 minutes Connect your incident platform and let your agent handle alerts automatically. The system handles alerts from detection to diagnosis to fix, all without you typing a single message.",2026-03-27T15:55:00.000Z,tutorial,,0.3,False,"Tutorial for automating incident response; summary suggests workflow steps, not detailed error codes, limits, or config tables.",new
https://learn.microsoft.com/en-us/azure/sre-agent/automate-workflows,Automate workflows,Automate workflows in Azure SRE Agent,,"Schedule recurring health checks, connect notification tools, and build automated workflows with connectors and subagents.","Estimated time: 10 minutes Your team probably has recurring tasks, such as checking service health every morning, reviewing overnight alerts, verifying certificate expirations, or posting weekly capacity reports. In this tutorial, you connect your tools, build a subagent, and schedule a task that runs automatically.",2026-03-27T15:55:00.000Z,tutorial,,0.3,False,Tutorial for automating workflows and scheduling tasks; likely procedural without product-specific configuration matrices.,new
https://learn.microsoft.com/en-us/azure/sre-agent/azure-devops-connector,Set up Azure DevOps connector,Tutorial: Set Up an Azure DevOps Connector in Azure SRE Agent,Configure Azure DevOps connector for Azure SRE Agent,"Connect your agent to Azure DevOps for repository access, work item management, and wiki documentation using OAuth or PAT authentication.","In this tutorial, you connect your agent to Azure DevOps so it can access repositories, wikis, and documentation during investigations. Choose OAuth for automatic token management or PAT for service account scenarios. When you finish this tutorial, your agent has authenticated access to an Azure DevOps organization and can read repositories, create work items, and correlate code changes with incidents. Estimated time: 5 minutes In this tutorial, you: Note Your agent references your Azure DevOps ",2026-03-27T15:55:00.000Z,tutorial,integrations,0.7,True,"Azure DevOps connector tutorial mentions OAuth vs PAT; full content likely includes specific scopes, endpoints, and configuration parameters unique to this integration.",updated
https://learn.microsoft.com/en-us/azure/sre-agent/azure-devops-wiki-knowledge,Azure DevOps Wiki knowledge,Azure DevOps Wiki Knowledge in Azure SRE Agent,Connect Azure DevOps wikis as knowledge sources for SRE Agent,"Connect your Azure DevOps wikis as knowledge sources so your agent references runbooks, procedures, and documentation during investigations.","Connect your Azure DevOps wikis so your agent references your team's runbooks and procedures during investigations. Wiki content is indexed and searchable, and your agent finds the right page automatically. The connector supports both managed identity and personal access token (PAT) authentication.",2026-03-10T04:29:00.000Z,conceptual,integrations,0.7,True,Explains connecting Azure DevOps wikis with support for managed identity and PAT; this is a concrete integration with authentication configuration details.,unchanged
https://learn.microsoft.com/en-us/azure/sre-agent/billing,Billing,Billing for Azure SRE Agent Preview,Understand billing and cost model for Azure SRE Agent,Learn how different agent actions are billed in Azure SRE Agent.,"Azure SRE Agent works on your behalf in two ways. As soon as you create the agent, it begins monitoring your resources. During this time, the agent examines system data and learns about your resource's behavior. This continuous attention ensures that the agent is ready to respond to problems regardless of the scale or complexity of what you deploy on Azure. This type of action is calledalways-on flow. The agent works differently from continuous monitoring when the agent works on tasks on its own",2025-09-22T22:32:00.000Z,concept-article,decision-making,0.65,True,Explains billing for always-on flow vs task-based actions; likely includes usage dimensions and cost behaviors that inform capacity and cost planning decisions.,unchanged
https://learn.microsoft.com/en-us/azure/sre-agent/chat-from-your-tools,Chat from your tools,Chat from Your Tools in Azure SRE Agent,Use Azure SRE Agent from Microsoft Teams,Interact with your agent directly in Microsoft Teams without leaving your current workflow.,"Chat with your agent directly in Microsoft Teams. Send direct messages for private investigations, or@mention your agent in channels so your whole team sees the analysis. Every channel connects to the same agent with the same reasoning, memory, and tool access.",2026-03-10T04:29:00.000Z,conceptual,integrations,0.6,True,Describes chatting with the agent directly in Teams; likely includes product-specific configuration or usage patterns for this integration.,unchanged
https://learn.microsoft.com/en-us/azure/sre-agent/code-interpreter,Code interpreter,Run code with code interpreter in Azure SRE Agent,Use SRE Agent code interpreter for Python and shell,"Learn how to use code interpreter to execute Python code, run shell commands, and generate reports in an isolated sandbox environment.","The SRE Agent code interpreter enables you to execute Python code and shell commands in a secure, isolated sandbox environment. Use Code Interpreter to analyze data, create visualizations, generate PDF reports, and automate file operations without leaving your SRE Agent conversation. In this article, you learn how to:",2026-01-27T18:10:00.000Z,how-to,configuration,0.65,True,"Describes executing Python and shell commands in a sandbox; likely includes product-specific capabilities, constraints, and parameters for the interpreter environment.",unchanged
https://learn.microsoft.com/en-us/azure/sre-agent/complete-setup,Complete setup,Complete setup for Azure SRE Agent,,Finish connecting data sources you skipped during onboarding. See what's missing and configure each source from the setup page.,"If you skip any data sources during onboarding, you can add them later. The agent shows you what's missing and provides a direct path to configure each source.",2026-03-27T15:55:00.000Z,how-to,,0.2,False,Explains completing setup and connecting data sources at a conceptual level; no evidence of detailed configuration matrices.,new
https://learn.microsoft.com/en-us/azure/sre-agent/connect-devops-wiki,Connect Azure DevOps Wiki,Tutorial: Connect an Azure DevOps Wiki to Azure SRE Agent,Connect Azure DevOps wiki as SRE Agent knowledge source,Connect an Azure DevOps wiki to your Azure SRE Agent so the agent can reference team runbooks and procedures during investigations.,"In this tutorial, you connect an Azure DevOps wiki as a knowledge source for your Azure SRE Agent. After you complete these steps, your agent can search your team's wiki for runbooks and procedures when it answers questions during investigations. In this tutorial, you learn how to: Estimated time: 10 minutes",2026-03-10T04:29:00.000Z,tutorial,integrations,0.75,True,"Connecting a DevOps wiki as a knowledge source involves specific connector settings, permissions, and indexing behavior unique to this integration.",unchanged
https://learn.microsoft.com/en-us/azure/sre-agent/connect-knowledge,Connect knowledge,Connect knowledge in Azure SRE Agent,,"Give your agent access to runbooks, documentation, source code, and web resources to improve incident investigation accuracy.","Your agent comes with built-in Azure observability, but every team has unique context: runbooks, architecture docs, internal wikis, and code repositories. By using the knowledge base, you can manage all these knowledge sources in one place so your agent can reference them during investigations. Tip Key takeaways",2026-03-27T15:55:00.000Z,conceptual,,0.35,False,"Explains connecting knowledge sources; summary suggests conceptual guidance, not detailed configuration parameter tables or limits.",new
https://learn.microsoft.com/en-us/azure/sre-agent/connect-pagerduty,Connect to PagerDuty,Tutorial: Connect to PagerDuty in Azure SRE Agent,Configure PagerDuty integration for Azure SRE Agent,Integrate your agent with PagerDuty to diagnose and respond to incidents automatically.,"In this tutorial, you connect your PagerDuty account to Azure SRE Agent so the agent can receive, investigate, and respond to incidents automatically.",2026-03-10T04:29:00.000Z,tutorial,integrations,0.7,True,"Product-specific integration tutorial for connecting PagerDuty so the agent can receive and respond to incidents. Likely includes connector settings, authentication details, and required configuration parameters unique to this integration.",unchanged
https://learn.microsoft.com/en-us/azure/sre-agent/connect-servicenow,Connect to ServiceNow,Tutorial: Connect to ServiceNow in Azure SRE Agent,Connect ServiceNow to Azure SRE Agent securely,Configure ServiceNow as your incident platform using basic authentication or OAuth 2.0 for automated incident management.,"In this tutorial, you connect your ServiceNow instance to Azure SRE Agent so the agent can receive, investigate, and update incidents automatically. You can choose between OAuth 2.0 (recommended for production) or basic authentication. Tip What you accomplish in this tutorial: Estimated time: 15 minutes",2026-03-10T04:29:00.000Z,tutorial,integrations,0.8,True,"Describes configuring ServiceNow as an incident platform using basic auth or OAuth 2.0. This typically includes endpoint URLs, auth parameters, and configuration options specific to this product integration.",unchanged
https://learn.microsoft.com/en-us/azure/sre-agent/connectors,Connectors,Connectors in Azure SRE Agent,,"Extend your agent's capabilities to external data sources, collaboration tools, and custom APIs using connectors.","Your agent comes with built-in access to Azure services. It can query Azure Monitor, Application Insights, Log Analytics, and Azure Resource Graph out of the box. Connectors extend that reach to external systems: your Kusto clusters, source code repositories, collaboration tools, and custom APIs. Note Connectors vs. incident platforms Connectorsgive your agent access to data and actions, such as querying logs, sending notifications, and reading code.Incident platformsare a separate concept: they",2026-03-27T15:55:00.000Z,concept-article,,0.4,False,Conceptual explanation of connectors and built-in access; summary does not indicate detailed connector configuration parameters or limits.,updated
https://learn.microsoft.com/en-us/azure/sre-agent/create-and-set-up,Create and set up,Create and set up Azure SRE Agent,,"Deploy an Azure SRE Agent using the onboarding wizard, connect your GitHub repository, and grant Azure resource access.","Estimated time: 10 minutes Deploy an Azure SRE Agent, connect your code repository, and grant the agent access to your Azure resources.",2026-03-27T15:55:00.000Z,tutorial,,0.3,False,Onboarding wizard and basic setup tutorial; likely step-by-step UI guidance without detailed configuration tables or expert-only parameters.,new
https://learn.microsoft.com/en-us/azure/sre-agent/create-http-trigger,Create an HTTP trigger,Tutorial: Create an HTTP trigger in Azure SRE Agent,,Set up an HTTP trigger in Azure SRE Agent that runs a compliance check when called from a CI/CD pipeline or any HTTP client.,"In this tutorial, you create an HTTP trigger that runs a compliance check on a container app. You test it from the portal and the command line, and then integrate it into a CI/CD pipeline. Estimated time: 10 minutes In this tutorial, you:",2026-03-27T17:43:00.000Z,tutorial,,0.35,False,"HTTP trigger tutorial; while it may show an example, the summary does not indicate comprehensive configuration matrices or limits beyond a standard how-to.",new
https://learn.microsoft.com/en-us/azure/sre-agent/create-kusto-tool,Create a Kusto tool,Tutorial: Create a Kusto Tool in Azure SRE Agent,Create and configure Kusto tools in Azure SRE Agent,Build a reusable Kusto query tool for your Azure SRE Agent using the portal UI to run deterministic KQL queries.,"In this tutorial, you create a parameterized Kusto tool that runs exact KQL queries with deterministic, repeatable results. When users ask questions like ""show me errors from the last seven days,"" the agent substitutes the parameter and runs your exact query against your Azure Data Explorer database. In this tutorial, you learn how to: Estimated time: 15 minutes",2026-03-27T15:55:00.000Z,tutorial,configuration,0.65,True,"Kusto tool creation tutorial likely includes parameter definitions, query templates, and configuration options for deterministic KQL execution, which are product-specific configuration details.",updated
https://learn.microsoft.com/en-us/azure/sre-agent/create-manage-hooks-ui,Create and manage hooks in the portal,Tutorial: Create and manage hooks in Azure SRE Agent,Create and manage governance hooks in SRE Agent portal,Create governance hooks in the Azure SRE Agent portal to validate agent responses and audit tool usage with Stop and PostToolUse hooks.,"In this tutorial, you create two governance hooks by using the portal: aStop hookthat enforces data formatting (markdown tables with bold headers) and aPostToolUse hookthat blocks dangerous shell commands. You configure hooks at both theagent level(applies to all threads and subagents) and thesubagent level(applies to one specific subagent). Estimated time: 10 minutes In this tutorial, you learn how to:",2026-03-27T15:55:00.000Z,tutorial,configuration,0.6,True,"Portal-based hook configuration (Stop and PostToolUse) with behavior like blocking dangerous shell commands suggests specific hook settings and options unique to SRE Agent, which are configuration details.",new
https://learn.microsoft.com/en-us/azure/sre-agent/create-python-tool,Create a Python tool,Tutorial: Create a Python Tool in Azure SRE Agent,,Build an SLA calculator tool for your Azure SRE Agent using AI-generated Python code.,"In this tutorial, you build a working Python tool that calculates SLA compliance for your Azure SRE Agent. You describe the tool's purpose in plain English, let AI generate the code, test the result, and deploy the tool for your agent to use. In this tutorial, you learn how to: Estimated time: 10 minutes",2026-03-27T15:55:00.000Z,tutorial,,0.3,False,Python tool tutorial building an SLA calculator; appears to be an example-driven how-to rather than a reference of product-specific configuration or limits.,updated
https://learn.microsoft.com/en-us/azure/sre-agent/create-scheduled-task,Create scheduled tasks,Tutorial: Create and Edit Scheduled Tasks in Azure SRE Agent,,Set up a recurring automated task and learn how to modify it.,"In this tutorial, you set up your agent to run tasks automatically on a schedule (from daily health checks to weekly reports) then modify them as your needs change. Estimated time: 5 minutes In this tutorial, you:",2026-03-27T15:55:00.000Z,tutorial,,0.3,False,Scheduled task tutorial; summary suggests basic scheduling usage without detailed configuration parameter tables or limits.,updated
https://learn.microsoft.com/en-us/azure/sre-agent/create-skill,Create a skill,Tutorial: Create a skill in Azure SRE Agent,,"Build a custom skill with instructions, tools, and supporting files that your agent uses automatically when relevant.","In this tutorial, you create a custom skill that adds domain knowledge and task playbooks to your agent. Skills are modular capabilities your agent loads automatically when relevant, such as troubleshooting a specific service or running a diagnostic procedure. In this tutorial, you learn how to: Estimated time: 10 minutes Tip Skills and knowledge documents work together. Askillteaches your agenthowto do something (procedures, playbooks, step-by-step instructions). Aknowledge documentteaches your",2026-03-27T15:55:00.000Z,tutorial,,0.35,False,"Skill creation tutorial; focuses on building a skill with instructions and tools, but summary does not indicate detailed configuration tables or product-specific limits.",new
https://learn.microsoft.com/en-us/azure/sre-agent/create-subagent,Create a subagent,Tutorial: Create a subagent in Azure SRE Agent,,"Learn how to create a specialized subagent with custom instructions, tools, skills, and hooks in the Azure SRE Agent subagent builder.","In this tutorial, you create a specialized subagent in the subagent builder with its own instructions, tools, and skills. Subagents handle focused tasks like health reporting, alert triage, or notification delivery. For more information about how subagents work, seeSubagents. Estimated time: 5 minutes In this tutorial, you learn how to:",2026-03-27T15:55:00.000Z,tutorial,,0.35,False,"Subagent creation tutorial; summary suggests conceptual and procedural guidance, not detailed configuration matrices or limits.",new
https://learn.microsoft.com/en-us/azure/sre-agent/data-privacy,Data privacy and residency,Data residency and privacy in Azure SRE Agent,Understand data residency and privacy for SRE Agent,Learn how Azure SRE Agent handles your data.,"This article explains how the SRE Agent handles your data, including where it stores your data, how it processes your data, and the privacy measures it uses to protect your information.",2026-03-27T15:55:00.000Z,tutorial,security,0.65,True,"Data handling and residency behavior is product-specific expert knowledge; such pages typically detail where data is stored/processed and specific privacy controls, which are security-relevant configuration and compliance details.",updated
https://learn.microsoft.com/en-us/azure/sre-agent/deep-investigation,Deep investigation,Use deep investigation in Azure SRE Agent,Choose deep investigation vs standard analysis in SRE Agent,Use a hypothesis-driven approach to explore multiple potential root causes before acting on mitigation steps.,"Deep investigation gives you greater transparency and accuracy when diagnosing complex problems in the SRE Agent. Unlike standard queries that provide quick insights, deep investigation uses a hypothesis-driven approach so you can explore multiple potential root causes before you decide on mitigation steps. Use deep investigation when: For simple queries, standard investigation is often all you need. However, when you encounter cases where you suspect you need a structured, multi-path analysis t",2026-03-27T15:55:00.000Z,tutorial,architecture-patterns,0.6,True,"Provides guidance on when to use deep investigation versus standard queries, with scenario-based recommendations; this is a product-specific decision pattern for investigation depth.",updated
https://learn.microsoft.com/en-us/azure/sre-agent/diagnose-azure-observability,Diagnose with Azure observability,Diagnose with Azure Observability in Azure SRE Agent,Use Azure observability sources with Azure SRE Agent,"Learn how your agent queries Application Insights, Log Analytics, Azure Monitor metrics, Activity Logs, Resource Graph, and resource-specific diagnostics automatically without connectors.","Your agent queries Application Insights, Log Analytics, Azure Monitor metrics, Resource Graph, Activity Logs, and resource-specific diagnostics in a single investigation. No connectors are required because everything works through managed identity and Azure RBAC. Your agent decides which sources to query based on the symptom, correlates evidence across them, and explains the findings. Tip Key benefits of Azure observability diagnostics:",2026-03-27T15:55:00.000Z,concept-article,integrations,0.6,True,"Details how the agent queries Application Insights, Log Analytics, metrics, Activity Logs, and Resource Graph automatically via managed identity; likely includes product-specific query and access patterns.",updated
https://learn.microsoft.com/en-us/azure/sre-agent/diagnose-observability,Diagnose with external observability,Diagnose with External Observability in Azure SRE Agent,Integrate external observability tools with Azure SRE Agent,"Query Azure Monitor and external observability tools like Dynatrace, Datadog, and Splunk in a single investigation through MCP.",Tip,2026-03-27T15:55:00.000Z,feature-guide,integrations,0.6,True,"Covers querying Azure Monitor plus external tools like Dynatrace, Datadog, and Splunk via MCP; likely documents integration parameters and patterns unique to these observability connectors.",updated
https://learn.microsoft.com/en-us/azure/sre-agent/docsguide,Learn via Chat,Learn via Chat in Azure SRE Agent,,"Ask your agent about SRE Agent features, setup, and configuration to get accurate, cited answers from official documentation.","Your agent has a built-in documentation capability that answers questions about SRE Agent features, setup, and configuration directly in the conversation. The answers come from live official documentation, so they stay current as features evolve. Tip Quick summary",2026-03-27T15:55:00.000Z,conceptual,,0.2,False,"DocsGuide/learn-via-chat feature overview; no indication of configuration parameters, limits, or decision criteria.",new
