url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/application-network/architecture,Architecture overview,Azure Kubernetes Application Network Architecture (Preview),,"Learn about the architecture of Azure Kubernetes Application Network including management plane, control plane, data plane, and multi-cluster service discovery.","Important AKS preview features are available on a self-service, opt-in basis. Previews are provided ""as is"" and ""as available,"" and they're excluded from the service-level agreements and limited warranty. AKS previews are partially covered by customer support on a best-effort basis. As such, these features aren't meant for production use. For more information, see the following support articles: Azure Kubernetes Application Network architecture is organized into three layers: amanagement plane, ",2026-03-23T04:03:00.000Z,concept-article,,0.3,False,"Architecture article appears to describe management/control/data planes and multi-cluster discovery conceptually; no indication of product-specific thresholds, quantified trade-offs, or detailed configuration parameters.",unchanged
https://learn.microsoft.com/en-us/azure/application-network/get-started,Create an Azure Kubernetes Application Network,Get Started with Azure Kubernetes Application Network for AKS (Preview),,"Learn how to get started with Azure Kubernetes Application Network for AKS, including prerequisites, creating an Application Network resource, connecting an AKS cluster as a member, and managing resou","Important AKS preview features are available on a self-service, opt-in basis. Previews are provided ""as is"" and ""as available,"" and they're excluded from the service-level agreements and limited warranty. AKS previews are partially covered by customer support on a best-effort basis. As such, these features aren't meant for production use. For more information, see the following support articles: This article helps you get started with Azure Kubernetes Application Network for AKS. It provides ste",2026-05-19T06:05:00.000Z,get-started,,0.4,False,"Get started guide is likely step-by-step onboarding (create resource, connect AKS cluster); summary does not show configuration tables, limits, or product-specific gotchas beyond generic tutorial content.",unchanged
https://learn.microsoft.com/en-us/azure/application-network/logs,Configure and view logs,Monitor Data Plane and Control Plane Logs in Azure Kubernetes Application Network (Preview),Enable and analyze Application Network logs in Azure Monitor,Learn how to enable and view data plane and control plane logs for Azure Kubernetes Application Network in Azure Monitor using Container Insights and diagnostic settings.,"Important AKS preview features are available on a self-service, opt-in basis. Previews are provided ""as is"" and ""as available,"" and they're excluded from the service-level agreements and limited warranty. AKS previews are partially covered by customer support on a best-effort basis. As such, these features aren't meant for production use. For more information, see the following support articles: Azure Kubernetes Application Network provides two types of logging that you can configure based on yo",2026-03-23T04:03:00.000Z,how-to,configuration,0.65,True,"Logging article describes data plane and control plane logs, using Container Insights and diagnostic settings. Such pages usually contain specific log categories, diagnostic setting names, and workspace configuration options, which are product-specific configuration details not generally known to an LLM.",unchanged
https://learn.microsoft.com/en-us/azure/application-network/metrics,Configure and view metrics,Configure and View Azure Kubernetes Application Network Metrics (Preview),Configure Azure Monitor metrics for Application Network,"Learn how to configure and view Azure Kubernetes Application Network metrics in Azure Monitor, including data plane metrics from your workloads and Azure Kubernetes Application Network components.","Important AKS preview features are available on a self-service, opt-in basis. Previews are provided ""as is"" and ""as available,"" and they're excluded from the service-level agreements and limited warranty. AKS previews are partially covered by customer support on a best-effort basis. As such, these features aren't meant for production use. For more information, see the following support articles: Azure Kubernetes Application Network provides comprehensive metrics for your workloads and the Azure ",2026-03-23T03:00:00.000Z,how-to,configuration,0.65,True,"Metrics configuration article for a specific service typically includes tables of metric names, dimensions, and configuration options for Azure Monitor, plus workspace and namespace settings. These product-specific metric and configuration details qualify as expert configuration knowledge.",unchanged
https://learn.microsoft.com/en-us/azure/application-network/observability,Overview,Observability Overview of Azure Kubernetes Application Network (Preview),,"Learn about the observability features available for Azure Kubernetes Application Network, including supported metrics, logs, and tracing capabilities, as well as workspace options for monitoring.","Important AKS preview features are available on a self-service, opt-in basis. Previews are provided ""as is"" and ""as available,"" and they're excluded from the service-level agreements and limited warranty. AKS previews are partially covered by customer support on a best-effort basis. As such, these features aren't meant for production use. For more information, see the following support articles: Azure Kubernetes Application Network leveragesAzure Monitorfor comprehensive observability of member ",2026-03-23T04:03:00.000Z,overview,,0.3,False,"Observability overview describes metrics, logs, tracing, and workspace options at a high level; summary suggests conceptual coverage rather than detailed metric definitions, configuration parameters, or log schema references.",unchanged
https://learn.microsoft.com/en-us/azure/application-network/overview,What is Azure Kubernetes Application Network?,Overview of Azure Kubernetes Application Network for AKS (Preview),,"Learn about Azure Kubernetes Application Network, a fully managed, ambient-based service network solution for Azure Kubernetes Service (AKS) that enables secure, policy-driven communication between se","Important AKS preview features are available on a self-service, opt-in basis. Previews are provided ""as is"" and ""as available,"" and they're excluded from the service-level agreements and limited warranty. AKS previews are partially covered by customer support on a best-effort basis. As such, these features aren't meant for production use. For more information, see the following support articles: Azure Kubernetes Application Network provides a fully managed,ambient-basedservice network solution f",2026-04-17T22:07:00.000Z,overview,,0.2,False,"High-level overview of Azure Kubernetes Application Network; summary indicates conceptual description of the service and preview caveats, without specific limits, configuration tables, error codes, or decision matrices.",unchanged
https://learn.microsoft.com/en-us/azure/application-network/planned-maintenance,Use planned maintenance to schedule upgrades,Schedule Upgrades for Azure Kubernetes Application Network Members using Planned Maintenance (Preview),,"Learn how to use planned maintenance to schedule component upgrades for Azure Kubernetes Application Network members, including in-cluster data plane components and control plane components.","Important AKS preview features are available on a self-service, opt-in basis. Previews are provided ""as is"" and ""as available,"" and they're excluded from the service-level agreements and limited warranty. AKS previews are partially covered by customer support on a best-effort basis. As such, these features aren't meant for production use. For more information, see the following support articles: This article shows you how to use planned maintenance to schedule component upgrades for Azure Kubern",2026-03-23T04:03:00.000Z,how-to,,0.5,False,"Planned maintenance scheduling article appears to be a procedural guide for scheduling component upgrades; summary does not show specific maintenance windows, constraints by tier, or configuration tables with allowed values.",unchanged
https://learn.microsoft.com/en-us/azure/application-network/security,Overview,Security Overview for Azure Kubernetes Application Network (Preview),,"Learn about the security features in Azure Kubernetes Application Network, including mTLS, workload identities, certificate management, and authorization policies for secure service-to-service communi","Important AKS preview features are available on a self-service, opt-in basis. Previews are provided ""as is"" and ""as available,"" and they're excluded from the service-level agreements and limited warranty. AKS previews are partially covered by customer support on a best-effort basis. As such, these features aren't meant for production use. For more information, see the following support articles: Azure Kubernetes Application Network secures communication between services in connected Azure Kubern",2026-03-23T03:00:00.000Z,overview,,0.4,False,"Security overview discusses mTLS, workload identities, certificate management, and authorization policies conceptually. Summary does not indicate specific RBAC role names, detailed policy schemas, or configuration parameter tables required for the security sub-skill.",unchanged
https://learn.microsoft.com/en-us/azure/application-network/supported-versions,Supported versions,Azure Kubernetes Application Network Supported Versions (Preview),Select compatible versions for AKS Application Network,"Learn about the supported versions of Azure Kubernetes Application Network, their compatible AKS versions, and how to check available versions in your region.","Important AKS preview features are available on a self-service, opt-in basis. Previews are provided ""as is"" and ""as available,"" and they're excluded from the service-level agreements and limited warranty. AKS previews are partially covered by customer support on a best-effort basis. As such, these features aren't meant for production use. For more information, see the following support articles: Azure Kubernetes Application Network releases minor versions roughly once a quarter. Minor version re",2026-04-17T22:07:00.000Z,concept-article,decision-making,0.7,True,"Supported versions page for a preview service typically includes tables mapping Application Network minor versions to specific AKS versions and regions, plus guidance on checking available versions. This is product-specific decision guidance with version compatibility matrices that an LLM would not know from training.",unchanged
https://learn.microsoft.com/en-us/azure/application-network/traffic-management-use-cases,Traffic management use cases,Traffic Management Use Cases for Azure Kubernetes Application Network (Preview),,"Learn how to use Azure Kubernetes Application Network for traffic management with Istio ambient mode and Kubernetes Gateway API, including L4/L7 authorization policies, JWT claim-based routing, traffi","Important AKS preview features are available on a self-service, opt-in basis. Previews are provided ""as is"" and ""as available,"" and they're excluded from the service-level agreements and limited warranty. AKS previews are partially covered by customer support on a best-effort basis. As such, these features aren't meant for production use. For more information, see the following support articles: Azure Kubernetes Application Network traffic management uses Istioambient modeand theKubernetes Gatew",2026-03-23T04:03:00.000Z,how-to,,0.4,False,"Traffic management use cases describe scenarios (JWT claim-based routing, traffic shifting, fault injection) conceptually; summary lacks concrete configuration values, limits, or detailed error/symptom mappings.",unchanged
https://learn.microsoft.com/en-us/azure/application-network/upgrades,Manage upgrades,Configure Upgrades for Azure Kubernetes Application Network (Preview),,"Learn how to configure minor version upgrades for Azure Kubernetes Application Network members using self-managed and fully-managed upgrade modes, including how to select versions, initiate upgrades, ","Important AKS preview features are available on a self-service, opt-in basis. Previews are provided ""as is"" and ""as available,"" and they're excluded from the service-level agreements and limited warranty. AKS previews are partially covered by customer support on a best-effort basis. As such, these features aren't meant for production use. For more information, see the following support articles: Azure Kubernetes Application Network provides flexible control over how minor version upgrades are ap",2026-03-23T04:03:00.000Z,how-to,,0.5,False,"Upgrade configuration article likely explains self-managed vs fully-managed modes and how to initiate/rollback upgrades, but summary does not indicate presence of numeric limits, detailed config parameter tables, or tier-specific constraints beyond generic workflow guidance.",unchanged
