url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/frontdoor/apex-domain,Apex domains,Apex domains in Azure Front Door,Design and configure apex domains with Azure Front Door,Learn about apex domains when using Azure Front Door.,"Applies to:✔️ Front Door Standard ✔️ Front Door Premium Apex domains, also calledroot domains, ornaked domains, are at the root of a Domain Name System (DNS) zone and don't contain subdomains. For example,contoso.comis an apex domain. Azure Front Door supports apex domains, but requires special considerations. This article describes how apex domains work in Azure Front Door. To add a root or apex domain to your Azure Front Door profile, seeOnboard a root or apex domain on your Azure Front Door p",2024-03-31T08:00:00.000Z,concept-article,architecture-patterns,0.6,True,Describes special considerations and patterns for using apex domains with Front Door; product-specific DNS/architecture behavior.,unchanged
https://learn.microsoft.com/en-us/azure/frontdoor/apex-domain-onboard,Add a root or apex domain,Onboard a Root or Apex Domain to Azure Front Door,,Learn how to onboard a root or apex domain to an Azure Front Door Standard or Premium profile by using the Azure portal.,"Applies to:✔️ Front Door Standard ✔️ Front Door Premium Important Azure Front Door (classic) no longer supports new domain onboarding. To add an apex domain,migrate to Azure Front Door Standard or Premium, and then follow the Standard/Premium instructions in this article. Apex domains are at the root of a DNS zone and don't contain subdomains. For example,contoso.comis an apex domain. Azure Front Door supports adding apex domains when you use Azure DNS. For more information about apex domains, s",2026-07-30T22:15:00.000Z,how-to,,0.3,False,"This is a how-to/tutorial for onboarding an apex domain via the portal. It describes steps and general behavior but doesn’t clearly indicate configuration tables, limits, or specialized patterns beyond standard product usage. It reads as procedural guidance rather than expert-knowledge configuration, limits, or troubleshooting content.",unchanged
https://learn.microsoft.com/en-us/azure/frontdoor/best-practices,Front Door best practices,Best Practices - Azure Front Door,Apply Azure Front Door configuration best practices,"Learn best practices for configuring and using Azure Front Door, including TLS security, domain management, WAF, health probes, and traffic routing optimization.",This article provides best practices for configuring and using Azure Front Door.,2026-07-29T18:02:00.000Z,concept-article,best-practices,0.78,True,"The page is explicitly a best practices guide for Azure Front Door, covering concrete, product-specific recommendations around TLS, domain management, WAF, health probes, and routing. These are actionable DO/DON'T patterns tied to this service’s behavior rather than generic theory, so it fits the best-practices sub-skill.",unchanged
https://learn.microsoft.com/en-us/azure/frontdoor/billing,Understanding billing,Azure Front Door billing,Estimate and optimize Azure Front Door billing,"Understand Azure Front Door's billing model, including base fees, request processing charges, data transfer costs, and how pricing varies by region and tier.","Applies to:✔️ Front Door Standard ✔️ Front Door Premium Azure Front Door provides a rich set of features for your internet-facing workloads. Front Door helps you accelerate your application's performance, improves your security, and provides you with tools to inspect and modify your HTTP traffic. Front Door's billing model includes several components. Front Door charges a base fee for each profile that you deploy. You're also charged for requests and data transfer based on your usage.Billing met",2026-07-14T08:00:00.000Z,concept-article,decision-making,0.7,True,"Billing model pages for a specific Azure service typically include detailed, product-specific cost components (base fees per profile, per-request charges, regional data transfer rates, and tier-based differences). These quantified trade-offs and tier/region-specific pricing considerations help users choose tiers and plan usage, fitting the decision-making category more than generic pricing info.",unchanged
https://learn.microsoft.com/en-us/azure/frontdoor/blue-green-deployment,Blue/Green deployment with Front Door,Blue/Green Deployments Using Azure Front Door,,Learn how to use Azure Front Door to implement a blue/green deployment strategy for your web applications.,"Applies to:✔️ Front Door Standard ✔️ Front Door Premium Blue/green deploymentis a software release strategy that gradually introduces application updates to a small group of users. If the updates are successful, you gradually increase the number of users accessing the new deployment until all users are on the new version. If problems arise, you can redirect traffic to the old version, ensuring minimal disruption. This approach is safer than deploying updates to all users at once. Azure Front Doo",2026-07-24T08:00:00.000Z,how-to,,0.3,False,"Appears to be a conceptual/strategy guide for blue/green deployments using Azure Front Door without clear evidence of numeric limits, configuration parameter tables, deployment matrices, or detailed troubleshooting mappings.",unchanged
https://learn.microsoft.com/en-us/azure/frontdoor/cache-purge,Purge cache,Purge Cache for Azure Front Door,,"Learn how to purge cache on an Azure Front Door Standard or Premium profile by using the Azure portal, Azure PowerShell, or Azure CLI.","Applies to:✔️ Front Door Standard ✔️ Front Door Premium Azure Front Door caches assets until their time-to-live (TTL) expires. When a client requests an asset with an expired TTL, Azure Front Door retrieves and caches a new copy of the asset to serve the request. To ensure users always get the latest assets, version your assets for each update and publish them with new URLs. Azure Front Door then fetches the new assets on subsequent client requests. When you update your application or need to qu",2026-06-24T22:11:00.000Z,how-to,,0.3,False,"Primarily a procedural tutorial on purging Azure Front Door cache via portal/CLI/PowerShell; does not emphasize unique limits, configuration matrices, or detailed troubleshooting beyond what an LLM likely knows.",unchanged
https://learn.microsoft.com/en-us/azure/frontdoor/classic-overview,What is Azure Front Door (classic)?,Azure Front Door (classic) overview,,This article provides an overview of the Azure Front Door (classic) service.,"Applies to:✔️ Front Door (classic) Important Azure Front Door (classic) doesn't support profile creation, new domain onboarding, or managed certificates and retires onMarch 31, 2027. To avoid service disruption, ⁠migrate to Azure Front Door Standard or Premium. For more information, see ⁠Azure Front Door (classic) retirement. Azure Front Door (classic) is a global, scalable entry point that uses the Microsoft global edge network to deliver fast, secure, and highly scalable web applications. It e",2026-05-05T11:09:00.000Z,overview,,0.1,False,"Described as an overview of Azure Front Door (classic); overviews are conceptual and marketing-oriented and generally lack detailed limits, configuration tables, or decision matrices.",unchanged
https://learn.microsoft.com/en-us/azure/frontdoor/classic-retirement-faq,Front Door (classic) retirement FAQ,Azure Front Door (classic) retirement FAQ,Understand Azure Front Door classic retirement impacts,Common questions about the retirement of Azure Front Door (classic).,"Applies to:✔️ Front Door (classic) On March 29, 2022, Azure Front Door introduced two new tiers named Standard and Premium. These tiers offer improvements over the current product offerings of Azure Front Door (classic). They incorporate capabilities such as Azure Private Link integration, bot management, advanced Web Application Firewall (WAF) enhancements with DRS 2.1, anomaly scoring-based detection and bot management, out-of-the-box reports and enhanced diagnostic logs, a simplified pricing ",2026-07-27T22:17:00.000Z,faq,decision-making,0.6,True,"Retirement FAQ for Front Door classic with a fixed retirement date and implications. Contains concrete timelines and likely guidance on what to move to and by when, which is product-specific decision and migration planning information.",unchanged
https://learn.microsoft.com/en-us/azure/frontdoor/compare-cdn-front-door-price,CDN and Front Door price comparison,Compare the pricing of Azure CDN Standard Microsoft and Azure Front Door,Compare pricing of Azure CDN Standard and Front Door,This article compares the pricing of Azure CDN Standard Microsoft (classic) and Azure Front Door.,"Applies to:✔️ CDN Standard from Microsoft (classic) Important Azure CDN Standard from Microsoft (Classic) doesn't support profile creation, new domain onboarding, or managed certificates and retires onSeptember 30, 2027. To avoid service disruption, ⁠migrate to Azure Front Door Standard or Premium. For more information, see ⁠Azure CDN Standard from Microsoft (classic) retirement. Note The prices presented in this article serve as examples and are intended solely for illustration purposes. For re",2026-05-05T11:09:00.000Z,concept-article,decision-making,0.7,True,"Pricing comparison content between Azure CDN Standard Microsoft (classic) and Azure Front Door typically includes SKU- and region-specific rate tables and cost drivers, which are concrete, product-specific decision criteria not reliably known from training. This helps choose between services based on quantified cost trade-offs, fitting the decision-making category.",unchanged
https://learn.microsoft.com/en-us/azure/frontdoor/create-front-door-bicep,Create a Front Door - Bicep,Quickstart: Create an Azure Front Door using Bicep,Deploy Azure Front Door using Bicep templates,This quickstart describes how to create an Azure Front Door using Bicep.,"This quickstart guides you through using Bicep to create an Azure Front Door with a Web App as the origin. Note For web workloads, we highly recommend utilizingAzure DDoS protectionand aweb application firewallto safeguard against emerging DDoS attacks. Another option is to employAzure Front Dooralong with a web application firewall. Azure Front Door offersplatform-level protectionagainst network-level DDoS attacks. For more information, seesecurity baseline for Azure services. Bicepis a domain-",2024-11-19T18:02:00.000Z,quickstart,deployment,0.6,True,Bicep-based provisioning of Front Door; includes resource definitions and properties specific to Front Door deployment via IaC.,unchanged
