url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason
https://learn.microsoft.com/en-us/azure/notification-hubs/android-sdk,Send push notifications to all registrations,Send push notifications to Android using Azure Notification Hubs and Firebase SDK version 1.0.0-preview1,Integrate Notification Hubs with Android FCM v1 SDK,"In this tutorial, you learn how to use Azure Notification Hubs and Google Firebase Cloud Messaging to send push notifications to Android devices (version 1.0.0-preview1).","This tutorial shows how to use Azure Notification Hubs and the updated version of the Firebase Cloud Messaging (FCM) SDK (version 1.0.0-preview1) to send push notifications to an Android application. In this tutorial, you create a blank Android app that receives push notifications using Firebase Cloud Messaging (FCM). Important As of June 2024, FCM legacy APIs are longer supported and are retired. To avoid any disruption in your push notification service, you mustmigrate to the FCM v1 protocolas",2025-05-01T08:00:00.000Z,tutorial,integrations,0.7,True,"Android + FCM v1 integration tutorial will contain SDK-specific initialization, configuration parameters, and payload formats unique to this integration."
https://learn.microsoft.com/en-us/azure/notification-hubs/change-pricing-tier,Change pricing tier,Change pricing tier of Notification Hubs namespace,Change Azure Notification Hubs pricing tier safely,Learn how to change the pricing tier of an Azure Notification Hubs namespace.,"Notification Hubs is offered in three tiers:free,basic, andstandard. This article shows you how to change the pricing tier for an Azure Notification Hubs namespace.",2020-08-04T17:01:00.000Z,article,deployment,0.65,True,"Pricing-tier change guidance often includes constraints (what can/can’t be changed, effects on features) that are product-specific deployment/operations details, even if not numeric limits."
https://learn.microsoft.com/en-us/azure/notification-hubs/configure-notification-hub-portal-pns-settings,Configure a notification hub,Set up push notifications in Azure Notification Hubs,Configure PNS credentials in Notification Hubs,Learn how to set up Azure Notification Hubs in the Azure portal by using platform notification system (PNS) settings.,"Azure Notification Hubs provides a push engine that's easy to use and that scales out. Use Notification Hubs to send notifications to any platform (iOS, Android, Windows) and from any back end (cloud or on-premises). For more information, seeWhat is Azure Notification Hubs?. In this quickstart, you use the platform notification system (PNS) settings in Notification Hubs to set up push notifications on multiple platforms. The quickstart shows you the steps to take when you use the Azure portal.Go",2025-05-02T17:17:00.000Z,quickstart,configuration,0.7,True,"PNS settings setup typically includes platform-specific configuration fields (keys, IDs, endpoints) and portal options unique to Notification Hubs."
https://learn.microsoft.com/en-us/azure/notification-hubs/create-notification-hub-azure-cli,Create notification hub - Azure CLI,Quickstart - Create an Azure notification hub using the Azure CLI,,"In this tutorial, you learn how to create an Azure notification hub using the Azure CLI.","Azure Notification Hubs provide an easy-to-use and scaled-out push engine that allows you to send notifications to any platform (iOS, Android, Windows, Kindle, Baidu, etc.) from any backend (cloud or on-premises). For more information about the service, seeWhat is Azure Notification Hubs?. In this quickstart, you create a notification hub using the Azure CLI. The first section gives you steps to create a Notification Hubs namespace. The second section gives you steps to create a notification hub",2023-01-13T18:04:00.000Z,quickstart,,0.3,False,"CLI quickstart to create a hub; mostly basic commands, no detailed configuration matrices or limits."
https://learn.microsoft.com/en-us/azure/notification-hubs/create-notification-hub-bicep,Create notification hub - Bicep,Create an Azure notification hub using Bicep,Define Notification Hubs resources using Bicep,Learn how to create an Azure notification hub using Bicep.,"Azure Notification Hubs provides an easy-to-use and scaled-out push engine that enables you to send notifications to any platform (iOS, Android, Windows, Kindle, etc.) from any backend (cloud or on-premises). For more information about the service, seeWhat is Azure Notification Hubs. Bicepis a domain-specific language (DSL) that uses declarative syntax to deploy Azure resources. It provides concise syntax, reliable type safety, and support for code reuse. Bicep offers the best authoring experien",2023-03-10T00:00:00.000Z,quickstart,configuration,0.65,True,Bicep-based resource definition typically includes specific resource properties and parameter names unique to Notification Hubs; these are configuration details beyond generic knowledge.
https://learn.microsoft.com/en-us/azure/notification-hubs/create-notification-hub-portal,Create notification hub - Azure portal,Create an Azure notification hub using the Azure portal,,Learn how to create an Azure notification hub using the Azure portal.,"Azure Notification Hubs provide an easy-to-use and scaled-out push engine that allows you to send notifications to any platform (iOS, Android, Windows, Kindle, Baidu, etc.) from any backend (cloud or on-premises). For more information about the service, seeWhat is Azure Notification Hubs?. In this quickstart, you create a notification hub in the Azure portal. The first section gives you steps to create a Notification Hubs namespace and a hub in that namespace. The second section gives you steps ",2025-05-01T08:00:00.000Z,quickstart,,0.3,False,"Quickstart for creating a hub in the portal; step-by-step UI instructions, no parameter tables, limits, or advanced config."
https://learn.microsoft.com/en-us/azure/notification-hubs/create-notification-hub-template,Create notification hub - Template,Create an Azure notification hub using Azure Resource Manager template,Configure Notification Hubs with ARM templates,Learn how to create an Azure notification hub by using an Azure Resource Manager template (ARM template).,"Azure Notification Hubs provides an easy-to-use and scaled-out push engine that enables you to send notifications to any platform (iOS, Android, Windows, Kindle, etc.) from any backend (cloud or on-premises). For more information about the service, seeWhat is Azure Notification Hubs. AnAzure Resource Manager templateis a JavaScript Object Notation (JSON) file that defines the infrastructure and configuration for your project. The template uses declarative syntax. You describe your intended deplo",2023-03-10T00:00:00.000Z,quickstart,configuration,0.7,True,"ARM template article will list JSON properties, schema, and allowed values for Notification Hubs resources, which are product-specific configuration parameters."
https://learn.microsoft.com/en-us/azure/notification-hubs/create-notification-hub-terraform,Create notification hub - Terraform,Quickstart: Create an Azure notification hub using Terraform,Provision Notification Hubs using Terraform,"In this article, you create an Azure notification hub using Terraform","This article uses Terraform to create an Azure Notification Hubs namespace and a notification hub. The name of each resource is randomly generated to avoid naming conflicts. Azure Notification Hubs provides an easy-to-use and scaled-out push engine that enables you to send notifications to any platform (iOS, Android, Windows, Kindle, etc.) from any backend (cloud or on-premises). For more information about the service, seeWhat is Azure Notification Hubs. Terraformenables the definition, preview,",2024-02-23T05:40:00.000Z,quickstart,deployment,0.6,True,Terraform quickstart defines resource blocks and arguments specific to Notification Hubs; this is infrastructure-as-code deployment configuration for this service.
https://learn.microsoft.com/en-us/azure/notification-hubs/encrypt-at-rest,Data encryption at rest,Azure Notification Hubs encryption for data at rest,Data-at-rest encryption behavior in Notification Hubs,Learn how data is encrypted at rest in Azure Notification Hubs.,"Azure Notification Hubs uses Transparent Data Encryption (TDE) to automatically encrypt customer keys and data stored in databases. Azure
Notification Hubs encryption protects customer's data to help you to meet organizational security and compliance commitments.",2022-04-20T11:06:00.000Z,conceptual,security,0.75,True,"Explains how TDE is applied, what data is encrypted, and possibly key-handling specifics; these are product-specific security configuration/behavior details."
https://learn.microsoft.com/en-us/azure/notification-hubs/eu-data-boundary,EU Data Boundary,EU Data Boundary compliance in Azure Notification Hubs,Understand EU data boundary behavior in Notification Hubs,Learn about the EU data boundary capabilities of Azure Notification Hubs.,,2023-02-02T18:05:00.000Z,conceptual,security,0.7,True,"EU Data Boundary compliance pages typically specify which data types/operations stay in-region and any exceptions, which are product-specific compliance and data-handling details."
