url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/web-application-firewall/afds/afds-overview,Web Application Firewall on Azure Front Door,What Is Azure Web Application Firewall on Azure Front Door?,,"Learn how Azure Web Application Firewall protects Azure Front Door applications and how WAF policies, attachment scopes, rules, modes, and actions work.",Applies to:✔️ Front Door Standard/Premium ✔️ Front Door (classic) ✔️ CDN Standard from Microsoft (classic) Azure Web Application Firewall on Azure Front Door provides centralized protection for your web applications. A web application firewall (WAF) defends your web services against common exploits and vulnerabilities. It keeps your service highly available for your users and helps you meet compliance requirements. Azure Web Application Firewall on Azure Front Door is a global and centralized so,2026-09-01T22:21:00.000Z,concept-article,,0.1,False,"Overview of Azure WAF on Front Door describing concepts (policies, scopes, rules, modes, actions) without detailed limits, configuration tables, error codes, or product-specific numeric thresholds.",updated
https://learn.microsoft.com/en-us/azure/web-application-firewall/afds/asn-match-condition,AS number matching,AS Number Match Condition for Azure Front Door - Azure Web Application Firewall,Use ASN match conditions in Azure Front Door WAF,Learn how to use the AS number (ASN) match condition in Azure Web Application Firewall custom rules to allow or block traffic by the network that originates it.,"Applies to:✔️ Front Door Premium Azure Web Application Firewall (WAF) on Azure Front Door can match requests against the Autonomous System Number (ASN) of the client that sent them. An ASN identifies a network operated by a single organization, such as an internet service provider, a hosting or cloud provider, a university, or a large enterprise. AS number matching lets you allow or block traffic from an entire network without maintaining lists of individual IP addresses or prefixes. You use it ",2026-09-02T22:13:00.000Z,concept-article,configuration,0.74,True,"Details how to configure Autonomous System Number (ASN) match conditions in custom WAF rules, including match variables and operators. These are specific configuration options unique to Azure Front Door WAF.",new
https://learn.microsoft.com/en-us/azure/web-application-firewall/afds/automated-detection-response-with-sentinel,Automated detection and response,Automated detection and response for Azure WAF with Microsoft Sentinel,Automate WAF incident response with Microsoft Sentinel,"Use WAF detection templates in Sentinel, deploy a playbook, and configure the detection and response in Sentinel.","Malicious attackers increasingly target web applications by exploiting commonly known vulnerabilities such as SQL injection and Cross-site scripting. Preventing these attacks in application code poses a challenge, requiring rigorous maintenance, patching, and monitoring at multiple layers of the application topology. A Web Application Firewall (WAF) solution can react to a security threat faster by centrally patching a known vulnerability, instead of securing each individual web application. Azu",2023-09-27T22:04:00.000Z,how-to,integrations,0.75,True,Describes deploying playbooks and detection templates; includes Sentinel rule configurations and automation steps specific to WAF events.,unchanged
https://learn.microsoft.com/en-us/azure/web-application-firewall/afds/captcha-challenge,CAPTCHA challenge,Azure Front Door Web Application Firewall CAPTCHA,Configure CAPTCHA challenges in Azure Front Door WAF,Learn about the CAPTCHA feature in Azure Front Door Web Application Firewall (WAF) and how it helps protect your web applications from automated attacks.,"Azure Web Application Firewall (WAF) offers a CAPTCHA feature designed to differentiate human users from automated bots. This interactive challenge requires suspected traffic to complete a CAPTCHA test, blocking malicious automated requests while allowing legitimate users to proceed seamlessly. As a result, WAF helps protect applications from bot-driven attacks, including brute-force attempts and account takeover risks. CAPTCHA on Azure WAF is useful in login and sign-up flows where human authen",2025-10-28T22:10:00.000Z,concept-article,configuration,0.7,True,Describes CAPTCHA feature behavior and configuration for login/sign-up flows; includes WAF action settings and usage constraints.,unchanged
https://learn.microsoft.com/en-us/azure/web-application-firewall/afds/client-fingerprint-match-condition,Client fingerprint matching,Client Fingerprint Match Condition for Azure Front Door - Azure Web Application Firewall,Configure client fingerprint (JA4) matching in WAF,Learn how to use the client fingerprint (JA4) match condition in Azure Web Application Firewall custom rules to identify and control traffic by TLS client characteristics.,"Applies to:✔️ Front Door Premium Azure Web Application Firewall (WAF) on Azure Front Door can match requests against the client's TLS fingerprint. A TLS fingerprint describeshowa client negotiates its TLS connection, which makes it a useful signal for identifying automated traffic that rotates IP addresses or forges request headers. Azure Front Door WAF uses theJA4fingerprinting standard. You use client fingerprint matching in a custom rule by setting the match variable toJA4and the operator toC",2026-09-02T22:13:00.000Z,concept-article,configuration,0.74,True,Describes using JA4 TLS client fingerprint as a match variable and the required operators in Azure Front Door WAF custom rules. This is product-specific configuration using a particular fingerprinting standard.,new
https://learn.microsoft.com/en-us/azure/web-application-firewall/afds/front-door-exceptions,Exception lists,Azure Front Door WAF Exceptions List (Preview) - Azure Web Application Firewall,Configure WAF exception lists for Azure Front Door,This article provides an overview of Web Application Firewall (WAF) exceptions on Azure Front Door.,"Applies to:✔️ Front Door Premium The Azure Front Door Web Application Firewall (WAF) helps protect your web applications from common threats and attacks. This article describes how to configure WAF exception lists in a WAF policy associated with your Azure Front Door. For an overview of WAF policies, seeAzure Web Application Firewall on Azure Front DoorandWAF policy settings. In some cases, WAF might block requests that are safe and expected for your application. Exception lists allow you to byp",2026-06-29T22:28:00.000Z,concept-article,configuration,0.7,True,"The page describes how to configure WAF exception lists in Azure Front Door WAF policies, including product-specific settings and behavior. This is detailed configuration guidance rather than a conceptual overview, fitting the configuration sub-skill.",unchanged
https://learn.microsoft.com/en-us/azure/web-application-firewall/afds/http-ddos-ruleset,HTTP DDoS protection,HTTP DDoS Ruleset (Preview) - Front Door WAF,,Learn about HTTP DDoS ruleset in Azure Front Door Web Application Firewall (WAF).,"Important The Microsoft HTTP DDoS Ruleset in the Azure Front Door Web Application Firewall (WAF) is currently in PREVIEW.
See theSupplemental Terms of Use for Microsoft Azure Previewsfor legal terms that apply to Azure features that are in beta, preview, or otherwise not yet released into general availability. HTTP‑layer floods remain the most frequent driver of application availability incidents, and static controls (IP/geo filters, fixed rate limits) often can’t keep pace with distributed botn",2026-04-27T22:14:00.000Z,concept-article,,0.3,False,"Appears to be a conceptual/feature overview of the HTTP DDoS ruleset in Front Door WAF. The summary emphasizes motivation and preview status; there’s no clear indication of specific numeric thresholds, configuration tables, or detailed rule parameters in the provided text.",unchanged
https://learn.microsoft.com/en-us/azure/web-application-firewall/afds/protect-api-hosted-apim-by-waf,Protect APIs hosted in APIM,Protect APIs hosted in APIM using Azure WAF with Azure Front Door,Protect APIM-hosted APIs with Front Door WAF,This article guides you through a process of creating an API in APIM and protects it from a web application attack using Azure Web Application Firewall integrated with Azure Front Door.,"There are a growing number of enterprises adhering to API-first approach for their internal applications, and the number and complexity of security attacks against web applications is constantly evolving. This situation requires enterprises to adopt a strong security strategy to protect APIs from various web application attacks. Azure Web Application Firewall (WAF)is an Azure Networking product that protects APIs from variousOWASP top 10web attacks, CVE’s, and malicious bot attacks. This article",2024-04-03T17:09:00.000Z,how-to,integrations,0.65,True,"Integration scenario between APIM and Front Door WAF; typically includes configuration steps, headers, and routing patterns specific to this integration.",unchanged
https://learn.microsoft.com/en-us/azure/web-application-firewall/afds/protect-azure-open-ai,Protect Azure OpenAI,Protect Azure OpenAI using Azure Web Application Firewall on Azure Front Door,Secure Azure OpenAI APIs with Azure Front Door WAF,Learn how to Protect Azure OpenAI using Azure Web Application Firewall on Azure Front Door,"More enterprises are using Azure OpenAI APIs, and security attacks against web applications are becoming more complex. To protect Azure OpenAI APIs from these attacks, you need a strong security strategy. Azure Web Application Firewall (WAF) is an Azure Networking product that protects web applications and APIs from various OWASP top 10 web attacks, Common Vulnerabilities and Exposures (CVEs), and malicious bot attacks. This article describes how to use Azure Web Application Firewall (WAF) on Az",2026-09-01T12:02:00.000Z,how-to,security,0.68,True,"Gives product-specific guidance on using Azure Front Door WAF to protect Azure OpenAI APIs against OWASP, CVEs, and bot attacks. Contains concrete security configuration and usage patterns tailored to this integration scenario.",updated
https://learn.microsoft.com/en-us/azure/web-application-firewall/afds/waf-faq,FAQ,Azure Web Application Firewall on Azure Front Door - Frequently Asked Questions,,"Find answers to common questions about Azure Front Door WAF policies, attachment scopes, managed rules, rate limiting, and supported features.",This article answers common questions about features and functionality for Azure Web Application Firewall on Azure Front Door.,2026-09-01T22:21:00.000Z,faq,,0.2,False,"FAQ-style content about WAF features and functionality; based on the description it likely answers conceptual and usage questions but does not emphasize numeric limits, detailed configuration tables, or error-code-based troubleshooting.",updated
