url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/bot-service/bot-builder-concept-regionalization?view=azure-bot-service-4.0,Regionalization in Azure AI Bot Service,Regionalization support - Bot Service,Configure regionalization for Azure AI Bot Service,Learn about regionalization in Azure AI Bot Service and how to meet your data compliance requirements.,"APPLIES TO:SDK v4 Azure AI Bot Service is a global Azure service that allows bot developers in all regions to register their bot and connect it to different channels. This also lets developers meet compliance obligations, especially following theSchrems II decision. Use an Azure Bot resource to register a bot with a regional Azure AI Bot Service. Adding regional settings to a bot ensures user personal data is preserved, stored, and processed within certain geographic boundaries (like EU boundari",2024-10-09T08:00:00.000Z,article,security,0.6,True,Describes how to ensure user data is stored/processed within specific geographic boundaries using regional Azure Bot resources; this is compliance/security-related configuration specific to the service.,unchanged
https://learn.microsoft.com/en-us/azure/bot-service/bot-service-build-continuous-deployment?view=azure-bot-service-4.0,Set up continuous deployment,Configure continuous deployment - Bot Service,Set up continuous deployment for Azure bots,Learn how to set up continuous deployment from source control for a Bot Service.,"APPLIES TO:SDK v4 This article describes how to configure continuous deployment. You can enable continuous deployment to automatically deploy code changes from your source repository to Azure. This article covers setting up continuous deployment for GitHub. For information on setting up continuous deployment with other source control systems, seecontinuous deployment to Azure App Service. Important The Bot Framework SDK and Bot Framework Emulator have been archived on GitHub. The project is no l",2025-12-16T01:01:00.000Z,how-to,deployment,0.7,True,"Covers Bot Service–specific continuous deployment wiring from GitHub to Azure Bot/App Service, including required settings and constraints for this product.",unchanged
https://learn.microsoft.com/en-us/azure/bot-service/bot-service-channel-additional-channels?view=azure-bot-service-4.0,Additional channels,Additional channels in Bot Framework SDK - Bot Service,Choose between Azure channels and adapters for bots,Learn about the various modalities to access bots via channels; specifically channel adapters and Azure channels.,"APPLIES TO:SDK v4 You can make your bot accessible in channels in two ways: Azure AI Bot Service channels: make your bot available in channels with the Azure AI Bot Service. This works for all supported languages. Channel adapters: make your bot available in channels with an adapter. The channel adapter translates between the Bot Framework activity schema and the native schema of a channel. The SDK, Botkit, and Bot Builder Community repos provide various channel adapters, which are language spec",2024-10-09T08:00:00.000Z,how-to,decision-making,0.65,True,"Explains when to use Azure AI Bot Service channels vs channel adapters, with product-specific trade-offs and modality considerations.",unchanged
https://learn.microsoft.com/en-us/azure/bot-service/bot-service-channel-azure-cli?view=azure-bot-service-4.0,Connect to channels with Azure CLI,Connect your bot to channels with Azure CLI - Bot Service,,"This sample shows Azure CLI commands for connecting your bot to a communication application, such as email or Facebook.","A channel is a connection between a communication application and a bot. A bot, registered with Azure, uses channels to enable communication with users. The commands in this article connect a bot to various channels. For more information, seeConnect a bot to channels.",2026-09-01T01:03:00.000Z,how-to,,0.3,False,"This page shows Azure CLI commands for connecting a bot to various channels. While it likely includes specific CLI commands, that falls under generic integration/tutorial content rather than structured configuration tables, limits, or troubleshooting details as defined in the skill taxonomy.",updated
https://learn.microsoft.com/en-us/azure/bot-service/bot-service-channel-azure-communication?view=azure-bot-service-4.0,Azure Communication Services,Connect a bot to Azure Communication Services - Bot Service,,Learn how to configure Bot Framework bots to use Azure Communication Services to communicate with users.,"Azure Communication Services provides the APIs and SDKs to build multi-participant collaboration applications that can include a bot. This bot can greet users, perform intake tasks to determine the topic, and answer questions. Azure Communication Services allows you to hand off the conversation to a human agent. It also enables a supervisor or additional bot to monitor or participate in the conversation if necessary. Additionally, Azure Communication Services offers aUI libraryto easily build co",2026-09-01T01:03:00.000Z,how-to,,0.2,False,"Appears to be a configuration/tutorial-style page on connecting a bot to Azure Communication Services. The summary is high level and does not indicate presence of detailed configuration tables, limits, or error-code-based troubleshooting; likely just step-by-step connection guidance.",updated
https://learn.microsoft.com/en-us/azure/bot-service/bot-service-channel-connect-actionable-email?view=azure-bot-service-4.0,Outlook (preview),Connect to Outlook for Actionable Messages - Bot Service,Connect bots to Outlook Actionable Messages,Learn how to configure bots to send and receive actionable email messages by using Adaptive Cards to power your Outlook Actionable Messages.,"APPLIES TO:SDK v4 Actionable Messages allow users to take quick actions from within Outlook. When you connect a bot to the Outlook Actionable Messages channel, your bot can use Adaptive Cards to create actionable messages, enhancing user engagement. Note The Outlook channel for Actionable Messages is in public preview. Features included in preview might not be complete, and might undergo changes before becoming available in the public release. They're provided for evaluation and exploration purp",2024-10-09T08:00:00.000Z,how-to,integrations,0.7,True,Uses Adaptive Cards with Outlook Actionable Messages channel; includes preview channel configuration and constraints.,unchanged
https://learn.microsoft.com/en-us/azure/bot-service/bot-service-channel-connect-alexa?view=azure-bot-service-4.0,Alexa,Connect a bot to Alexa - Bot Service,Connect Azure bots to Alexa custom skills,Learn how to configure your bot in Azure to allow communication with Alexa.,"APPLIES TO:SDK v4 You can configure your bot to communicate with people through an Alexa custom skill. This article describes how to create an Alexa skill using the Alexa Developer Console, connect your bot to your Alexa skill in Azure, and test your bot in Alexa.",2024-10-09T08:00:00.000Z,how-to,integrations,0.75,True,"Requires specific Alexa skill configuration, IDs, endpoints, and Azure channel settings—detailed cross-service integration.",unchanged
https://learn.microsoft.com/en-us/azure/bot-service/bot-service-channel-connect-directline?view=azure-bot-service-4.0,Connect to Direct Line,Connect a bot to Direct Line in Bot Framework SDK - Bot Service,Configure Direct Line channel for bot clients,Learn how to configure bots to communicate with client applications using the Direct Line channel.,"This article describes how to connect a bot to theDirect Linechannel. Use this channel to communicate with a bot via your client application. Note Direct Line is a standard channel over HTTPS protocol to allow communication between a client application and a bot. If you require network isolation instead, use theDirect Line App Service ExtensionoverWebSockets.",2024-10-09T08:00:00.000Z,how-to,configuration,0.75,True,"Describes how to configure Direct Line, including secrets, tokens, and endpoint settings specific to this channel.",unchanged
https://learn.microsoft.com/en-us/azure/bot-service/bot-service-channel-connect-email?view=azure-bot-service-4.0,Email,Connect a bot to email - Bot Service,Connect bots to Microsoft 365 email channel,Learn how to configure bots to send and receive email messages by connecting them to Microsoft 365 email. See how to customize messages.,"APPLIES TO:SDK v4 You can configure your bot to communicate with users via Microsoft 365 email. When you configure your bot to access an email account, it receives a message when a new email arrives. The bot can then use email to respond. For example, in response to a user's email message, the bot could send an email reply with the message, ""Hi! Thanks for your order! We will begin processing it immediately."" The Email channel currently works with Office 365 only. Other email services aren't cur",2024-10-09T08:00:00.000Z,how-to,integrations,0.75,True,"Covers configuration of Microsoft 365 email accounts, channel settings, and constraints (Office 365 only) specific to this integration.",unchanged
https://learn.microsoft.com/en-us/azure/bot-service/bot-service-channel-connect-facebook?view=azure-bot-service-4.0,Facebook,Connect a Bot Framework bot to Facebook - Bot Service,Connect bots to Facebook Messenger and Workplace,Learn how to configure bots to connect to Facebook Messenger and Facebook Workplace and communicate with users via Facebook.,"You can configure your bot to communicate with people through Facebook Messenger or Facebook Workplace. This article describes how to create a Facebook app using the Meta for Developers site, connect your bot to your Facebook app in Azure, and test your bot on Facebook. This article shows how to add the Facebook channel to your bot via Azure portal. For information on how to use a custom channel adapter, seeAdditional information.",2024-10-09T08:00:00.000Z,how-to,integrations,0.75,True,"Includes Facebook app setup, tokens, and Azure channel configuration specific to Facebook integration.",unchanged
