url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/storage-actions/overview,What is Azure Storage Actions?,About Azure Storage Actions - Azure Storage Actions,,Learn how to perform operations on blobs in Azure Storage accounts based on a set of conditions that you define.,"Azure Storage Actions is a fully managed platform designed to automate data management tasks for Azure Blob Storage and Azure Data Lake Storage. You can use it to perform common data operations on millions of objects across multiple storage accounts without provisioning extra compute capacity and without requiring you to write code. You can use Azure Storage Actions to automate tasks such as moving data to more cost-effective tiers, manage the retention of versions, snapshots or sensitive data s",2025-08-01T05:11:00.000Z,overview,,0.1,False,"Service overview describing what Azure Storage Actions is and high-level capabilities; no specific limits, roles, or config parameters.",unchanged
https://learn.microsoft.com/en-us/azure/storage-actions/storage-actions-plan-manage-costs,Costs and billing,Plan to manage costs for Azure Storage Actions,Plan and manage Azure Storage Actions cost usage,Learn how to plan for and manage costs for Azure Storage Actions.,"This article describes how you plan for and manage costs for Azure Storage Actions. Costs for Azure Storage Actions are only a portion of the monthly costs in your Azure bill. Although this article explains how to plan for and manage costs for Azure Storage Actions, you're billed for all Azure services and resources used in your Azure subscription, including the third-party services.",2025-05-07T05:16:00.000Z,how-to,decision-making,0.7,True,"Cost-planning article likely includes usage drivers, pricing-related thresholds, and guidance on configuration choices to control cost, supporting decision-making.",unchanged
https://learn.microsoft.com/en-us/azure/storage-actions/storage-tasks/,Azure Storage Actions documentation,Azure Storage Actions documentation,,Azure Storage Actions documentation hub page. Points to service documentation for using the Azure Storage Actions to perform operations on containers and blobs in Azure Storage accounts based on a set,Azure Storage Actions is a serverless framework that you can use to perform common data operations on millions of objects across multiple storage accounts. The current release of Azure Storage Actions enables you to create storage tasks that can perform operations on blobs in Azure Storage accounts based on a set of conditions that you define.,2025-05-07T05:16:00Z,landing-page,,0.0,False,"Hub/landing page that just routes to other docs; no detailed limits, configs, or troubleshooting content.",unchanged
https://learn.microsoft.com/en-us/azure/storage-actions/storage-tasks/monitor-storage-tasks,Monitor storage tasks,Monitor Azure Storage Actions - Azure Storage Actions,Configure monitoring for Azure Storage Actions with Azure Monitor,Start here to learn how to monitor Azure Storage Actions.,"When you have critical applications and business processes relying on Azure resources, you want to monitor those resources for their availability, performance, and operation. This article describes the monitoring data generated by Azure Storage Actions. Azure Storage Actions usesAzure Monitor. If you're unfamiliar with the features of Azure Monitor common to all Azure services that use it, readMonitoring Azure resources with Azure Monitor.",2025-05-05T08:00:00.000Z,concept-article,configuration,0.7,True,"Monitoring article will specify metrics, logs, and diagnostic settings names for Storage Actions, which are product-specific configuration details.",unchanged
https://learn.microsoft.com/en-us/azure/storage-actions/storage-tasks/storage-task-assignment,Storage task assignment,Storage task assignment - Azure Storage Actions,Configure storage task assignments and scheduling,Learn storage task assignments. An assignment applies a storage task to the data in a storage account.,"To use a storage task, you must create astorage task assignment. The assignment is saved as part of the storage account resource instance, and defines among other settings, a subset of objects to target, when and how often a task runs against those objects, and where the execution reports are stored. To create an assignment, your identity must be assigned the appropriate Azure built-in role or a custom role with the appropriate RBAC actions. SeeAzure roles required to assign tasks. To learn how ",2025-05-07T05:16:00.000Z,concept-article,configuration,0.75,True,"Explains assignment object stored on storage account, including targeted objects, schedule, and report locations; contains specific setting names and behaviors.",unchanged
https://learn.microsoft.com/en-us/azure/storage-actions/storage-tasks/storage-task-assignment-create,Create and manage an assignment,Create and manage a storage task assignment - Azure Storage Actions,,"Learn how to create an assignment, and then enable that assignment to run.","Anassignmentidentifies a storage account and a subset of objects in that account that the task will target. An assignment also defines when the task runs and where execution reports are stored. This article helps you create an assignment, and then enable that assignment to run. To learn more about storage task assignments, seeStorage task assignments. Important Before you enable storage task assignment, make sure that you grant access to trusted Azure services in the network settings of each tar",2025-05-07T05:16:00.000Z,how-to,,0.45,False,How-to for creating and enabling assignments; summary doesn’t indicate detailed parameter tables or limits beyond basic usage.,unchanged
https://learn.microsoft.com/en-us/azure/storage-actions/storage-tasks/storage-task-authorization-roles,Azure roles required to edit a task,Azure roles for storage tasks - Azure Storage Actions,Use Azure RBAC roles to manage storage tasks,"Learn about the least privileged built-in Azure roles or RBAC actions required to read, update, delete, and assign a storage task.","This article describes the least privileged built-in Azure roles or RBAC actions required to read, update, or delete a storage task and to view task assignments.",2025-05-07T05:16:00.000Z,conceptual,security,0.9,True,"Describes least-privileged built-in roles and/or RBAC actions required for storage tasks; includes specific role names and permissions, which is product-specific security configuration.",unchanged
https://learn.microsoft.com/en-us/azure/storage-actions/storage-tasks/storage-task-authorization-roles-assign,Azure roles for assignments,Azure roles required to assign storage tasks - Azure Storage Actions,Assign roles and permissions for storage task assignments,Learn about the roles required to create a storage task assignment and the roles required by the managed identity of a storage task to operate on a storage account.,This article describes the least privileged built-in Azure roles or RBAC actions required to manage a storage task assignment.,2025-10-15T17:16:00.000Z,conceptual,security,0.9,True,Details least-privileged roles and RBAC actions for managing assignments and managed identities; clearly product-specific security configuration.,unchanged
https://learn.microsoft.com/en-us/azure/storage-actions/storage-tasks/storage-task-best-practices,Best practices,Storage task best practices - Azure Storage Actions,Apply best practices for Azure storage tasks,Review best practices for using storage tasks.,This article provides you with best practice guidelines for using storage tasks.,2025-09-15T08:00:00.000Z,conceptual,best-practices,0.8,True,"Explicit best-practices article; expected to contain product-specific DOs/DON’Ts, configuration guidance, and edge cases for storage tasks.",unchanged
https://learn.microsoft.com/en-us/azure/storage-actions/storage-tasks/storage-task-conditions,Conditions,Storage task conditions - Azure Storage Actions,Configure JSON conditions for Azure storage tasks,Learn about the elements of a storage task condition.,"A storage task contains a set of conditions and operations. This article describes the JSON format of a condition.  Understanding that format is important if you plan to create a storage task by using a tool other than the Azure portal (For example: Azure PowerShell, or Azure CLI). This article also lists the properties and operators that you can use to compose the clauses of a condition. This article focuses onconditions. To learn more aboutoperations, seeStorage task operations.",2025-05-07T05:16:00.000Z,concept-article,configuration,0.85,True,"Defines JSON format of conditions, lists properties, operators, and allowable values; this is detailed configuration schema unique to Storage Actions.",unchanged
