url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/enclave/1-1-create-community,Create a community,Tutorial 1-1: Deploy an Azure Enclave community,,"Learn how to plan, deploy, validate, and clean up an Azure Enclave community in the Azure portal.",,2026-07-01T12:55:00.000Z,tutorial,,0.4,False,Tutorial for deploying a community; summary doesn’t indicate detailed configuration matrices or numeric constraints.,unchanged
https://learn.microsoft.com/en-us/azure/enclave/1-2-create-enclaves-inside-community,Create enclaves inside a community,Tutorial 1-2: Create enclaves in an Azure Enclave community,,Create two isolated enclaves in an Azure Enclave community by using the Azure portal.,"An enclave is an isolated Azure Virtual Network that's part of a community and hosts one or more workloads. In this tutorial, part two of eight, you create two enclaves in the community that you deployed in the previous tutorial. The enclaves become spokes in the community hub-and-spoke network topology. In this tutorial, you:",2026-07-01T12:55:00.000Z,tutorial,,0.4,False,Tutorial for creating enclaves; appears procedural without expert-only configuration or limits in summary.,unchanged
https://learn.microsoft.com/en-us/azure/enclave/1-3-create-workloads-inside-enclave,Create workloads inside an enclave,Tutorial 1-3: Create workloads in an enclave on Azure Enclave,,Create frontend and backend workloads in an Azure Enclave enclave by using the Azure portal.,"Workloads are logical groupings that help you organize Azure resources inside an Azure Enclave enclave. Each workload is associated with one or more workload resource groups where you deploy resources in later tutorials. In this tutorial, part three of eight, you create workloads inside an enclave. You learn how to:",2026-07-01T12:55:00.000Z,tutorial,,0.4,False,Tutorial for creating workloads; summary doesn’t show detailed configuration parameters or constraints.,unchanged
https://learn.microsoft.com/en-us/azure/enclave/1-4-use-service-catalog-create-azure-resources-workloads,Use the service catalog to create Azure resources inside a workload,Create Azure resources from the service catalog in an Azure Enclave workload,,Create Azure resources from the service catalog in an Azure Enclave workload.,"The service catalog enables you to deploy Azure services and streaming applications into Azure Enclave quickly while being compliant with Policy Guardrails and enclave isolation requirements. In this tutorial, part four of eight, you create Azure resources using service catalog in workloads. You learn how to: Note The sample deployment is just for demonstration purposes and doesn't represent all the best practices for network, systems, or applications administration.",2026-08-10T22:12:00.000Z,overview,,0.4,False,"Tutorial for creating Azure resources from the service catalog. The summary explicitly notes it is a sample deployment and not a best-practices reference. It appears as a step-by-step tutorial rather than a parameter reference, limits table, or configuration catalog, so it does not meet the expert-knowledge criteria.",updated
https://learn.microsoft.com/en-us/azure/enclave/1-5-create-enclave-endpoint-connections,Create an enclave endpoint and connection,Create enclave or community endpoint resources in Azure Enclave,,Create enclave or community endpoint resources in Azure Enclave.,"Community endpoints enable enclaves in a community to establish connections to resources outside of the community boundary to include public websites, public IP addresses, and external private networks through Site-to-Site (S2S) VPN or ExpressRoute connections. Enclave endpoints enable others to connect to your service by defining the means by which inbound traffic is allowed to flow into a given enclave once a connection is made. In this tutorial, part six of eight, you create community and enc",2026-07-14T15:48:00.000Z,tutorial,,0.5,False,Tutorial for creating endpoint resources; summary is scenario-focused and doesn’t clearly expose detailed configuration parameters or numeric constraints.,unchanged
https://learn.microsoft.com/en-us/azure/enclave/1-6-monitor-your-enclaves,Monitor your enclaves,Monitor your enclaves in Azure Enclave,,Monitor your enclaves in Azure Enclave.,"Many Azure services offer comprehensive monitoring solutions for collecting, analyzing, and responding to monitoring data. With Azure Enclave, you can use the monitoring capabilities of each underlying Azure service deployed with each Azure Enclave resource. Many of these services are integrated withAzure Monitor, which helps maximize the availability and performance of your workloads. In this tutorial, part six of six, you learn how to monitor the state of your enclave. You learn how to:",2026-08-12T22:14:00.000Z,tutorial,,0.4,False,"Tutorial on monitoring enclaves using existing Azure Monitor and service monitoring capabilities. The summary suggests high-level guidance on using standard monitoring features, not detailed product-specific configuration tables, limits, or troubleshooting mappings, so it does not clearly qualify as expert knowledge.",updated
https://learn.microsoft.com/en-us/azure/enclave/1-7-host-publicly-accessible-application-azure-enclave,Host a publicly accessible application in an Azure Enclave,Host a publicly accessible application in an enclave,Design DMZ-based public access for Azure Enclave apps,Host a publicly accessible application in an enclave.,"You can host a web application inside an enclave and make it publicly accessible by routing traffic through a separate Demilitarized Zone (DMZ) enclave. This design uses an Application Gateway, Web Application Firewall (WAF), and public IP address, creates an enclave endpoint for the web app, and establishes an enclave connection between the web app and DMZ enclaves.",2026-08-12T22:14:00.000Z,tutorial,architecture-patterns,0.6,True,"Describes a specific enclave architecture pattern: hosting a web app inside an enclave and exposing it via a separate DMZ enclave using Application Gateway, WAF, public IP, enclave endpoints, and enclave connections. This is a product-specific design pattern for secure public exposure of enclave workloads, which is expert architectural guidance beyond generic web app patterns.",updated
https://learn.microsoft.com/en-us/azure/enclave/2-1-plan-architecture-workloads,Plan your architecture for Azure Virtual Desktop and AKS workloads,Plan your architecture for Azure Virtual Desktop and AKS workloads in Azure Enclave,Plan Azure Enclave architecture for AVD and AKS,Plan and design your Azure Enclave architecture for deploying Azure Virtual Desktop and Azure Kubernetes Service workloads.,"This tutorial helps you plan your Azure Enclave architecture for deploying Azure Virtual Desktop and Azure Kubernetes Service (AKS) workloads. Proper planning ensures optimal security, network isolation, and resource organization. In this tutorial, you learn how to:",2026-07-01T12:55:00.000Z,tutorial,architecture-patterns,0.65,True,"Planning tutorial for specific workloads (AVD, AKS) likely includes product-specific architectural guidance and trade-offs for enclave design beyond generic patterns.",unchanged
https://learn.microsoft.com/en-us/azure/enclave/2-2-create-azure-enclave-environment,Create Azure Enclave environment for workloads,Create Azure Enclave environment for workloads,,Set up the Azure Enclave environment for complex workloads.,"This tutorial guides you through creating the Azure Enclave environment for Azure Virtual Desktop and Azure Kubernetes Service (AKS) workloads. You set up common dependencies, create separate enclaves with properly sized subnets, deploy private DNS zones, and configure community and enclave endpoints for network connectivity. In this tutorial, you learn how to:",2026-07-01T12:55:00.000Z,tutorial,,0.5,False,Environment creation tutorial; summary mentions properly sized subnets and DNS zones but doesn’t clearly indicate numeric thresholds or configuration tables.,unchanged
https://learn.microsoft.com/en-us/azure/enclave/2-3-deploy-virtual-desktop-workload,Deploy Azure Virtual Desktop workload,Deploy Azure Virtual Desktop workload in Azure Enclave,,"Deploy Azure Virtual Desktop with session hosts, host pools, and FSLogix storage in Azure Enclave using the service catalog.","This tutorial guides you through deploying Azure Virtual Desktop in Azure Enclave. You create Azure Virtual Desktop infrastructure including host pools, session hosts, application groups, and FSLogix storage, all secured within your enclave boundary. In this tutorial, you learn how to:",2026-07-01T12:55:00.000Z,tutorial,,0.5,False,Tutorial for deploying AVD workload; summary is procedural and doesn’t explicitly show expert-only configuration parameters or limits.,unchanged
https://learn.microsoft.com/en-us/azure/enclave/2-4-deploy-kubernetes-workload,Deploy Azure Kubernetes Service (AKS) workload,Deploy Azure Kubernetes Service (AKS) workload in Azure Enclave,,"Deploy a private AKS cluster with encryption, monitoring, and network integration in Azure Enclave using the service catalog.","This tutorial guides you through deploying a private Azure Kubernetes Service (AKS) cluster in Azure Enclave. You create a fully private AKS cluster with customer-managed encryption, network integration, and secure access patterns. In this tutorial, you learn how to:",2026-07-01T12:55:00.000Z,tutorial,,0.4,False,"Tutorial-style deployment of AKS in an enclave; likely step-by-step portal/template usage without detailed config tables, limits, or product-specific gotchas beyond generic AKS knowledge.",unchanged
https://learn.microsoft.com/en-us/azure/enclave/3-1-approvals-azure-enclave,Require approvals with Azure Enclave resources,Tutorial 3-1: Require approvals with Azure Enclave resources,,Learn how to use Azure Enclave approvals to improve governance of Azure Enclave resources.,"In this tutorial, you use approvals to control a realistic workflow: onboarding a new enclave for an application team, then enabling and refining external connectivity through a community endpoint and enclave connection. This tutorial mirrors the core resources from theTutorial 1-1path (community, enclave, endpoint, and connection) but focuses on the approvals experience to improve governance and oversight of critical changes.",2026-07-14T15:48:00.000Z,tutorial,,0.5,False,Approvals tutorial; summary focuses on workflow rather than detailed approval configuration parameters or RBAC roles.,unchanged
https://learn.microsoft.com/en-us/azure/enclave/access-controls-enclaves,Access controls in enclaves,Access Control Overview - Azure Enclave,Implement access control model for Azure Enclave,Access Control Overview.,"Azure Enclave provides robust identity and access management (IAM) controls to safeguard your environments while ensuring operational flexibility. Azure Enclave supports native Azure RBAC controls and/or isolated access controls at the Community, Enclave, and workload levels through a combination of RBAC role assignments, deny assignments, and deny assignment exclusions that block standard RBAC inheritance and allow for more granular access controls.",2026-07-01T12:55:00.000Z,overview,security,0.8,True,"Access control overview for Enclave with isolated RBAC, deny assignments, and exclusions at community/enclave/workload levels; contains product-specific IAM patterns and role scope behavior not generally known.",unchanged
https://learn.microsoft.com/en-us/azure/enclave/aks-initiative,Azure Kubernetes Service (AKS) Guardrail Initiative,Azure Kubernetes Service Initiative,Apply AKS security policy guardrails in Azure Enclave,Azure Kubernetes Service Initiative.,This article describes the Policy guardrails in place to ensure Azure Kubernetes Service is deployed securely.,2026-07-01T12:55:00.000Z,overview,security,0.8,True,"Describes policy initiatives for secure AKS deployment in Enclave; likely lists specific policies, required configurations, and guardrails unique to this environment.",unchanged
https://learn.microsoft.com/en-us/azure/enclave/app-service-initiative,App Service Enclaves Guardrail Initiative,App Service Initiative,Apply App Service security policy guardrails in Azure Enclave,App Service Initiative.,This article describes the Policy guardrails in place to ensure Azure App Service is deployed securely.,2026-07-01T12:55:00.000Z,overview,security,0.8,True,Describes policy guardrails for secure App Service deployment; includes specific policy definitions and required settings tailored to Enclave.,unchanged
https://learn.microsoft.com/en-us/azure/enclave/application-deployment-using-remote-app-vm,Install application on a Remote App Virtual Machine,Application Installation on RemoteApp Virtual Machine - Azure Enclave,Install applications on RemoteApp VMs in Azure Enclave,Application Installation on RemoteApp Virtual Machine.,"Install an application via Virtual Machine service catalog template. The application installation scripting supports the following scenarios: Note This sample deployment is just for demo purposes and doesn't represent all the best practices for network, systems, or applications administration.",2026-07-01T12:55:00.000Z,overview,deployment,0.6,True,Describes application installation scripting scenarios for RemoteApp VM template; includes product-specific deployment scripting patterns for Azure Virtual Desktop in Enclave.,unchanged
https://learn.microsoft.com/en-us/azure/enclave/azure-enclave-faq,Azure Enclave FAQs,Azure Enclave FAQ,Resolve common issues and questions for Azure Enclave,See answers to frequently asked questions about Azure Enclave.,"This article answers common questions about Azure Enclave, including planning, usage, billing, configuration, and connections.",2026-08-11T08:00:00.000Z,concept-article,troubleshooting,0.65,True,"FAQ pages for a niche service typically include product-specific behaviors, constraints, and Q&A about billing, configuration, and connectivity that go beyond generic concepts. These often map symptoms or questions to specific answers and mitigations, which aligns closest with troubleshooting. Content is not just conceptual marketing but operational guidance.",updated
https://learn.microsoft.com/en-us/azure/enclave/azure-enclave-learn,Learn Azure Enclave,Learn Azure Enclave,,Understand Azure Enclave core concepts.,"If you're new to Azure Enclave, this article helps introduce core concepts to understand, communicate, and plan Azure Enclave environments.",2026-07-23T08:00:00.000Z,tutorial,,0.2,False,Introductory learning page for core concepts; primarily conceptual orientation content.,unchanged
https://learn.microsoft.com/en-us/azure/enclave/azure-enclave-pricing,Azure Enclave Pricing,Azure Enclave Pricing,Understand Azure Enclave pricing and resource charges,"Learn how pricing works for Azure Enclave, including enclave charges, Azure Enclave-managed resources, and workload resources.","Azure Enclave uses Azure resources to create and operate community and enclave boundaries. You also pay for any workload resources that you deploy inside your enclaves. Important Pricing information in this article is for planning guidance only. Pricing can change and you can review thelatest pricing. For an estimate, use theAzure Enclave pricing calculator.",2026-08-06T22:11:00.000Z,concept-article,limits-quotas,0.7,True,"Pricing pages typically contain SKU-specific rates, units, and possibly tier constraints that aren’t known from training; summary references enclave charges and managed resources, implying detailed numeric guidance.",unchanged
https://learn.microsoft.com/en-us/azure/enclave/azure-enclave-resource-groups,Understand resource groups,Azure Enclave resource groups,,"Learn how Azure Enclave uses community, enclave, and workload resource groups.","Azure Enclave uses a small set of resource groups to organize community, enclave, and workload resources. This article explains what each resource group is for and how Azure Enclave manages it.",2026-08-04T22:41:00.000Z,overview,,0.5,False,Explains how resource groups are used; summary doesn’t indicate detailed configuration tables or limits for each group type.,unchanged
https://learn.microsoft.com/en-us/azure/enclave/azure-enclave-templates,Azure Enclave templates,Azure Enclave Deployment Templates,Use Azure Enclave Bicep and ARM deployment templates,Get started faster with these Azure Enclave deployment templates.,Example templates to deploy multiple Azure Enclave resources for a sample scenario. The current templates are maintained using aBicepfile but are converted toAzure Resource Manager (ARM)templates for deployment from the portal. Both bicep and ARM formats can be published as atemplate specfor your workload admins too.,2026-07-01T12:55:00.000Z,overview,deployment,0.7,True,"Describes example templates maintained in Bicep and converted to ARM, and publishing as template specs; includes Enclave-specific deployment patterns and template structures.",unchanged
https://learn.microsoft.com/en-us/azure/enclave/best-practices,Best practices,Azure Enclave best practices,Apply Azure Enclave design and security best practices,"Learn best practices for designing, securing, and operating Azure Enclave environments.","This article describes key concepts and best practices for Azure Enclave. Azure Enclave accelerates and streamlines the deployment and management of secure, isolated, and compliant cloud environments. These environments are designed to handle the most sensitive missions and workloads across Commercial and air-gapped environments. Building and running workloads successfully in Azure Enclave requires understanding and implementation of some key concepts, including: The Azure Enclave product group,",2026-07-01T12:55:00.000Z,overview,best-practices,0.7,True,"Explicitly labeled best practices for designing, securing, and operating Azure Enclave; likely includes product-specific recommendations and gotchas beyond generic guidance.",unchanged
https://learn.microsoft.com/en-us/azure/enclave/built-in-rbac-roles,Built in RBAC roles,Built-in RBAC roles in Azure Enclave,Use built-in RBAC roles to control access in Azure Enclave,"Learn how built-in role-based access control (RBAC) roles in Azure Enclave control access across communities, enclaves, and workloads.",Access to Azure Enclave resources is controlled by built-in Azure role-based access control (RBAC) role assignments. You can further reduce standing access by using Microsoft Entra Privileged Identity Management (PIM) for just-in-time access.,2026-07-01T12:55:00.000Z,overview,security,0.85,True,"The page describes built-in RBAC roles specific to Azure Enclave, including role names, scopes (communities, enclaves, workloads), and how they control access. These are concrete, product-specific security and identity configuration details.",unchanged
https://learn.microsoft.com/en-us/azure/enclave/configure-approvals,Configure approvals,Configure Approvals in Azure Enclave,Configure Azure Enclave approvals for critical operations,Learn how to configure the Approvals feature in Azure Enclave to enforce governance and oversight for critical infrastructure changes.,This article explains how to configure the Approvals feature in Azure Enclave to enforce governance and oversight for critical infrastructure operations. Important The Approvals feature is currently inPreview. This feature is encouraged for testing but shouldn't be used for production workloads while in preview.,2026-07-01T12:55:00.000Z,how-to,configuration,0.8,True,"How-to article for configuring Approvals; likely includes specific settings, scopes, and preview constraints unique to Enclave.",unchanged
https://learn.microsoft.com/en-us/azure/enclave/configure-community-governance,Configure community governance,Configure community governance - Azure Enclave,Configure community-level governance in Azure Enclave,Configure community governance.,"These governance options are applied to all of the workloads that are part of either the community or enclave, overriding the default governance configuration for workloads.",2026-07-01T12:55:00.000Z,overview,configuration,0.8,True,"Explains governance options applied at community/enclave scope overriding defaults; likely includes specific policy initiatives, settings, and inheritance behavior unique to Enclave.",unchanged
https://learn.microsoft.com/en-us/azure/enclave/configure-customer-managed-key-encryption-within-enclave,Configure customer managed key encryption,Setup Customer Managed Key (CMK) Encryption within an enclave - Azure Enclave,Set up customer-managed key encryption in Azure Enclave,Setup Customer Managed Key (CMK) Encryption within an enclave.,"The fastest way to deploy customer managed keys to be compliant with the Azure Enclave policy requiring CMK is through theCommon Dependenciesservice catalog template. Several types ofencryptionare available for securing your data on managed disks and other Azure PaaS services, including Azure Disk Encryption (ADE), Server-Side Encryption (SSE), and encryption at host. In accordance with Azure Enclave defaultgovernance and cybersecurity posturerequires customer-managed-key encryption for all reso",2026-07-01T12:55:00.000Z,overview,security,0.8,True,"Details CMK setup to satisfy Enclave governance requirements; likely includes specific policy requirements, key vault integration, and encryption options tailored to Enclave workloads.",unchanged
https://learn.microsoft.com/en-us/azure/enclave/container-registry-initiative,Azure Container Registry Guardrail Initiative,Container Registry Initiative - Azure Enclave,Apply secure policy guardrails to Azure Container Registry,Container Registry Initiative.,This article describes the Policy guardrails in place to ensure Azure Container Registry is deployed securely.,2026-08-06T22:11:00.000Z,overview,security,0.7,True,"An initiative page for Azure Enclave typically lists specific Azure Policy definitions, required configurations, and enforcement details for securing Azure Container Registry. These are product-specific security settings and guardrails rather than generic concepts.",unchanged
https://learn.microsoft.com/en-us/azure/enclave/cosmosdb-initiative,Azure Cosmos DB Guardrail Initiative,Cosmos DB Initiative,Enforce secure deployment policies for Azure Cosmos DB,Cosmos DB Initiative.,This article describes the Policy guardrails in place to ensure Cosmos DB is deployed securely.,2026-07-01T12:55:00.000Z,overview,security,0.7,True,"Cosmos DB initiative documentation in Azure Enclave is expected to enumerate concrete Azure Policy rules, required configuration states, and security guardrails for Cosmos DB resources, which are product-specific security configurations.",unchanged
https://learn.microsoft.com/en-us/azure/enclave/create-and-delete-logic,Understand creation and deletion logic,Understand creation and deletion - Azure Enclave,Understand creation and deletion rules for Azure Enclave resources,"Learn the conditions that must be met before you can create or delete Azure Enclave resources, including dependency and lock requirements.","As an administrator, you candelete Azure Enclave resources and resource groups that hold Azure Enclave resources. However, similar to other special Azure resources, Azure Enclave resources have protections and conditions surrounding create and delete operations. These outlined conditions must be met before creating or deleting Azure Enclave resources.",2026-07-14T15:48:00.000Z,concept-article,configuration,0.7,True,"The page explains conditions, dependencies, and locks that must be satisfied before creating or deleting enclave resources and resource groups. These are detailed, product-specific operational and configuration rules not covered by generic Azure knowledge.",unchanged
https://learn.microsoft.com/en-us/azure/enclave/create-azure-virtual-desktop-workloads,Create Azure Virtual Desktop workloads,Create Azure Virtual Desktop workloads,Configure Azure Virtual Desktop workloads within an enclave,Create Azure Virtual Desktop workloads within Azure Enclave.,"When you create anAdmin VMin your enclave all resources and hosts within your enclave are reachable through the Admin VM. For certain enclave owners, the default access pattern surrounding the Admin VM might not satisfy your requirements for various reasons. For example, enclave owners might have requirements that disallow the Azure Bastion service. Currently,Azure Bastionis the Azure service for secure remote connections using private IP addresses. This is expected behavior for Azure Enclave. H",2026-07-01T12:55:00.000Z,overview,configuration,0.65,True,"The page discusses non-default access patterns, constraints around Azure Bastion, and how to set up AVD workloads in an enclave. This implies specific configuration steps and patterns unique to Azure Enclave and AVD rather than generic remote access guidance.",unchanged
https://learn.microsoft.com/en-us/azure/enclave/create-community-endpoint-portal,Create a community endpoint,Create a community endpoint in the Azure portal,,Create a community endpoint in the Azure portal.,"In this how-to article, you create acommunity endpointand add a rule that defines an allowed destination for enclave connections.",2026-07-01T12:55:00.000Z,how-to,,0.4,False,Creating a community endpoint via portal; summary mentions adding a rule but not specific parameter tables or ranges.,unchanged
https://learn.microsoft.com/en-us/azure/enclave/create-community-portal,Create a community,Create a community,,Create a community.,"Communitiesare isolated hub networks that securely and logically group multiple enclaves for governance, management, and security. A community owner can enable connectivity to other communities or on-premises networks through transit hubs or endpoints.",2026-07-01T12:55:00.000Z,how-to,,0.3,False,How-to create a community via portal; summary is procedural without showing specific configuration tables or limits.,unchanged
https://learn.microsoft.com/en-us/azure/enclave/create-domain-name-service-forwarder,Create Domain Name Service forwarder,Create a Domain Name Service Forwarder - Azure Enclave,Set up a DNS forwarder VM in an Azure Enclave,Create a Domain Name Service forwarder within an Azure Enclave.,"This example of setting up a DNS Forwarder Virtual Machine (VM) is for thecontoso5.comdomain with three domain controllers on IPs10.0.2.4,10.0.2.5, and10.0.2.6.",2026-07-01T12:55:00.000Z,overview,configuration,0.8,True,"The page provides a concrete example DNS forwarder configuration, including specific IP addresses for domain controllers and enclave-specific setup steps. This is detailed, product-specific configuration guidance rather than conceptual DNS content.",unchanged
https://learn.microsoft.com/en-us/azure/enclave/create-enclave-connection-portal,Create an enclave connection,Create an enclave connection from the Azure portal,,Create an enclave connection from the Azure portal.,"Enclave connectionsenable network traffic to flow into, out of, and between Azure Enclave communities and enclaves. In this how-to guide, you create an enclave connection in the Azure portal.",2026-07-01T12:55:00.000Z,how-to,,0.4,False,Tutorial for creating enclave connections; summary is conceptual and procedural without specific numeric limits or config tables.,unchanged
https://learn.microsoft.com/en-us/azure/enclave/create-enclave-endpoint-portal,Create an enclave endpoint,Create an enclave endpoint in the Azure portal,,Create an enclave endpoint in the Azure portal,"In this how-to guide, you create anenclave endpointin the Azure portal. Enclave endpoints define destination rules that other enclaves or transit hubs can use when creating enclave connections.",2026-07-01T12:55:00.000Z,how-to,,0.4,False,"Portal how-to for enclave endpoints; summary describes conceptually what endpoints do, not detailed configuration options.",unchanged
https://learn.microsoft.com/en-us/azure/enclave/create-enclave-portal,Create an enclave,Create an enclave in the Azure portal,,Learn how to create an enclave in Azure Enclave using the Azure portal.,"Anenclaveis an isolated Azure Virtual Network that belongs to a community and hosts one or more workloads. Workloads in an enclave are isolated from other enclaves in the same community unless you explicitly enable connectivity by creating endpoints and connections. In this how-to guide, you create an enclave in the Azure portal.",2026-07-01T12:55:00.000Z,how-to,,0.3,False,Portal tutorial for creating an enclave; summary doesn’t mention product-specific configuration parameters or constraints.,unchanged
