url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/networking/architecture-guides,Architecture guides,Azure Networking architecture documentation,,Learn about the reference architecture documentation available for Azure networking services.,This article provides information about architecture guides that can help you explore the different networking services in Azure available to you for building your applications.,2026-04-22T19:06:00.000Z,concept-article,,0.05,False,"Navigation page pointing to architecture guides; does not itself contain patterns, thresholds, or decision matrices.",unchanged
https://learn.microsoft.com/en-us/azure/networking/azure-for-network-engineers,Azure for network engineers,Azure for Network Engineers,,This page explains to traditional network engineers how networks work in Azure.,"As a conventional network engineer you have dealt with physical assets such as routers, switches, cables, firewalls to build infrastructure. At a logical layer you have configured virtual LAN (VLAN), Spanning Tree Protocol (STP), routing protocols (RIP, OSPF, BGP). You have managed your network using management tools and CLI. Networking in the cloud is different where network endpoints are logical and use of routing protocols is minimum. You will work with Azure Resource Manager API, Azure CLI, ",2021-08-16T17:04:00.000Z,article,,0.1,False,"Conceptual explanation of how networking in Azure differs from traditional networking; no concrete configs, limits, or troubleshooting content.",unchanged
https://learn.microsoft.com/en-us/azure/networking/azure-network-latency,Azure network latency,Azure network round-trip latency statistics,Use Azure region latency stats for deployment planning,View P50 round-trip latency measurements between Azure regions to help you plan multi-region deployments and select regions that minimize latency.,This article provides round-trip latency statistics between Azure regions to help you optimize your cloud architecture and deployment decisions. The data comes from continuous network monitoring across Azure's global infrastructure and represents real-world performance measurements. Use these statistics to:,2026-08-20T17:12:00.000Z,concept-article,decision-making,0.7,True,Provides specific P50 round-trip latency measurements between regions to inform multi-region deployment and region selection decisions.,unchanged
https://learn.microsoft.com/en-us/azure/networking/check-usage-against-limits,Check resource usage against limits,Check Azure resource usage against limits,,Learn how to check your Azure resource usage against Azure subscription limits.,"In this article, you learn how to see the number of each network resource type that you've deployed in your subscription and what yoursubscription limitsare. The ability to view resource usage against limits is helpful to track current usage, and plan for future use. You can use theAzure portal,PowerShell, or theAzure CLIto track usage.",2023-04-13T11:17:00.000Z,how-to,,0.0,False,"Focuses on how to view usage versus limits via portal/CLI/PowerShell; does not list specific numeric limits or quotas, so it lacks the expert numeric details required.",unchanged
https://learn.microsoft.com/en-us/azure/networking/create-zero-trust-network-web-apps,Zero Trust network for web applications,Deploy a Zero Trust Virtual Network for Web Applications,Deploy a Zero Trust virtual network for Azure web apps,"Deploy a Zero Trust virtual network configuration for web applications in Azure using Azure Firewall, Azure Application Gateway, Web Application Firewall, and other virtual network services.",,2026-08-05T08:00:00.000Z,how-to,architecture-patterns,0.7,True,"The page focuses on a specific Zero Trust virtual network configuration pattern for web applications using Azure Firewall, Application Gateway, WAF, and other Azure networking services. It provides product-specific architectural guidance on how to structure the network for Zero Trust, which aligns with architecture-patterns rather than generic concepts.",unchanged
https://learn.microsoft.com/en-us/azure/networking/cross-service-scenarios/design-secure-hub-spoke-network,Design a secure hub-spoke network,Design a secure hub-spoke network for regional web applications in Azure,Design a secure hub-spoke network for Azure web apps,"Learn how to build a secure-by-default network foundation for regional web applications using a minimal hub-spoke topology with Application Gateway, WAF, DDoS Protection, Bastion, NSGs, and virtual ne","When you host a web application in Azure, the network design you choose determines how much of your infrastructure is exposed to attack. Without an intentional design, teams commonly leave default configurations in place, expose management ports to the internet, or skip application-layer inspection—all of which increase the attack surface. This article explains a repeatable architecture pattern that uses a minimalhub-spoke topologyto build a secure-by-default foundation for single-region web app",2026-08-05T08:00:00.000Z,concept-article,architecture-patterns,0.78,True,"The article describes a repeatable, product-specific network architecture pattern (minimal hub-spoke topology) for regional web applications, including when to use this pattern and how to combine Application Gateway, WAF, DDoS Protection, Bastion, NSGs, and peering. This is concrete design guidance for Azure networking rather than a generic overview, matching architecture-patterns.",unchanged
https://learn.microsoft.com/en-us/azure/networking/design-guide/app-delivery,Load balancing options,Application delivery and performance - Azure Virtual Network,Choose the right Azure load balancing service,"Choose the right Azure load balancing service. Compare Azure Load Balancer, Application Gateway, and Front Door for regional and global traffic distribution.","This article helps you select the right Azure load balancing service for your workload. It compares Azure Load Balancer, Application Gateway, and Azure Front Door for regional and global traffic distribution. It also explains when to combine them. For a shorter, service-by-service overview, seeWhat is load balancing and content delivery?",2026-08-28T08:00:00.000Z,concept-article,decision-making,0.78,True,"The article focuses on selecting between Azure Load Balancer, Application Gateway, and Front Door for different scenarios, including when to combine them. This is product-specific decision guidance comparing services and helping choose based on workload and traffic distribution needs, which fits the decision-making sub-skill. It goes beyond a generic overview by providing selection guidance, though likely without many hard numeric thresholds.",updated
https://learn.microsoft.com/en-us/azure/networking/design-guide/azure-firewall,Azure Firewall,Azure Firewall and traffic inspection,Design Azure Firewall tiers and traffic inspection,"Design your network security with Azure Firewall. Compare Basic, Standard, and Premium tiers for centralized traffic inspection and threat protection.","Azure Firewall is a managed, cloud-native network security service that provides centralized traffic inspection and filtering for your Azure virtual networks. Unlike network security groups that operate at Layer 4, Azure Firewall inspects traffic at Layers 3 through 7. This capability enables fully qualified domain name (FQDN) filtering, threat intelligence, intrusion detection and prevention (IDPS), and TLS inspection. You deploy Azure Firewall in a dedicated subnet within your hub virtual netw",2026-07-01T13:16:00.000Z,concept-article,security,0.8,True,"Explains Azure Firewall capabilities and compares Basic, Standard, and Premium tiers with product-specific security and inspection features.",unchanged
https://learn.microsoft.com/en-us/azure/networking/design-guide/azure-virtual-network-manager,Centralized network management,Centralized management with Azure Virtual Network Manager,Manage Azure VNets centrally with Virtual Network Manager,"Manage Azure virtual networks at scale with Azure Virtual Network Manager. Learn about network groups, connectivity, security admin rules, and IPAM.","Azure Virtual Network Manager groups, configures, deploys, and manages virtual networks at scale across subscriptions. Instead of configuring each virtual network individually, define management intent centrally, and Azure Virtual Network Manager applies it consistently across your environment. Scope an Azure Virtual Network Manager instance to a management group or subscription, and manage all virtual networks within that scope through a single control plane. This article explains the four core",2026-07-01T13:16:00.000Z,concept-article,configuration,0.7,True,"Describes Azure Virtual Network Manager constructs (network groups, connectivity, security admin rules, IPAM) and centralized configuration patterns across subscriptions.",unchanged
https://learn.microsoft.com/en-us/azure/networking/design-guide/cross-cloud,Cross-cloud,Azure Networking Design Guide - Cross-cloud,Plan cross-cloud connectivity with Azure networking,"A guided reading path through the Azure Networking Design Guide for customers connecting Azure to AWS, Google Cloud, or migrating from another cloud.","This guide provides a sequenced reading path through the Azure Networking Design Guide for customers connecting Azure to Amazon Web Services (AWS), Google Cloud, or migrating workloads from another cloud provider. Follow the numbered steps to design secure, monitored connectivity between Azure and your existing cloud infrastructure.",2026-07-01T13:16:00.000Z,concept-article,decision-making,0.65,True,"Provides a guided path for connecting Azure to AWS/Google Cloud or migrating from other clouds, including scenario-based connectivity choices.",unchanged
