url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/chaos-studio/azure-container-instance-details,Accessing container image details,Container image details and instructions on how to pull the image for Azure Chaos Studio - Relay Bridge Host - Azure Chaos Studio,Pull and allowlist Chaos Studio Relay Bridge container image,Learn how to pull the container image used by Azure Chaos Studio during virtual network injection,"The following container image is the Relay Bridge Host for Azure Chaos Studio, available from the Microsoft Container Registry. This image is used to facilitate communication between Azure Chaos Studio and target resources when those resources are within private networks. Typically customers look for this image when doing a security review and allow listing the image Chaos Studio uses during virtual network injection. This image is a Bastion host that we use for running an experiment in a custom",2024-10-04T11:05:00.000Z,reference,security,0.8,True,"Provides exact container image details used for private networking; typically includes image name, registry path, and usage in security reviews and allowlisting.",new
https://learn.microsoft.com/en-us/azure/chaos-studio/chaos-agent-arm-template,Enable and install agent via ARM template,Resource Manager template samples for agents in Chaos Studio - Azure Chaos Studio,Deploy and configure Chaos Agent via ARM templates,Sample Azure Resource Manager templates to deploy and configure virtual machine agents in Chaos Studio.,This article includes a sampleAzure Resource Manager templateto deploy and configure theChaos Agenton Azure virtual machine scale sets using a user-assigned managed identity. The sample deploys the Chaos Agent extension with all capabilities enabled on a VM scale set.,2025-03-20T05:32:00.000Z,sample,configuration,0.85,True,ARM template sample for deploying the Chaos Agent with capabilities and managed identity; exposes detailed configuration properties and allowed values.,new
https://learn.microsoft.com/en-us/azure/chaos-studio/chaos-agent-concepts,Concepts,Agent Concepts - Azure Chaos Studio,"Understand Chaos Agent networking, identities, and dependencies","Agent Concepts – In-depth concepts for the Chaos Agent, including how it works, network access requirements, identities, and dependencies.","This document provides a deep dive into theChaos Agentwithin Azure Chaos Studio. It explains how the agent works, its network access requirements, dependencies, and security considerations, ensuring that you have the information needed to properly deploy and maintain the agent in your environment.",2025-04-16T11:13:00.000Z,concept-article,security,0.7,True,"Deep dive into agent network access requirements, identities, and security considerations; this is product-specific security and connectivity configuration.",new
https://learn.microsoft.com/en-us/azure/chaos-studio/chaos-agent-known-issues,Known issues,Chaos Agent Known Issues - Azure Chaos Studio,Review known issues and workarounds for Chaos Agent,"A list of known issues affecting the Chaos Agent and agent-based faults in Azure Chaos Studio, along with workarounds or mitigation steps.","This document provides a list of known issues encountered with the Chaos Agent in Azure Chaos Studio, along with recommended workarounds or solutions. This list is updated regularly as new issues are identified.",2025-03-18T05:33:00.000Z,troubleshooting-known-issue,troubleshooting,0.8,True,Lists known issues and mitigation steps for the Chaos Agent; these are product-specific edge cases and resolutions.,new
https://learn.microsoft.com/en-us/azure/chaos-studio/chaos-agent-os-support,Supported operating systems,Chaos Agent Version Compatibility - Azure Chaos Studio,Check OS and fault compatibility for Chaos Agent,"Compatibility reference for the Azure Chaos Studio Agent across operating systems, fault differences, and package dependencies.","The following compatibility matrix outlines the officially supported operating systems for the Azure Chaos Studio Agent, along with the minimum supported version and the fault support from our agent fault library. In the fault columns, a check (✓) indicates full support, ""✓ (outbound)"" denotes that only outbound support is provided, and an ""✗"" means the fault isn't supported on that operating system.",2025-12-10T13:05:00.000Z,reference,limits-quotas,0.9,True,Provides a compatibility matrix of OS versions vs supported faults; this is effectively a limits/constraints table with specific support indicators.,new
https://learn.microsoft.com/en-us/azure/chaos-studio/chaos-agent-overview,Overview,Chaos Agent Overview - Azure Chaos Studio,,"Introduction to the Chaos Agent, its purpose, and how it enables agent-based chaos experiments in Azure Chaos Studio.",,2025-03-10T05:32:00.000Z,concept-article,,0.3,False,Overview of the Chaos Agent and its purpose; conceptual introduction without explicit configuration matrices or troubleshooting mappings in the description.,new
https://learn.microsoft.com/en-us/azure/chaos-studio/chaos-agent-troubleshooting,Troubleshooting,Troubleshooting Chaos Agent - Azure Chaos Studio,Troubleshoot installation and health of Chaos Agent,"Learn how to diagnose and resolve common issues with the Chaos Agent, including installation, network connectivity, and agent health issues.","This page provides a consolidated guide to troubleshooting issues related to the Chaos Agent used in Azure Chaos Studio. Use this guide to diagnose problems during installation, verify network connectivity, interpret agent status messages, and resolve common errors. Note For detailed setup instructions, refer to theInstall and Configure Chaos Agentpage. For network and security details, seePrivate Link and Network Security.",2025-08-19T22:12:00.000Z,troubleshooting-general,troubleshooting,0.95,True,"Explicit troubleshooting guide with diagnosis and resolution for installation, network connectivity, and health issues—symptom-to-solution mappings.",new
https://learn.microsoft.com/en-us/azure/chaos-studio/chaos-agent-uninstall,Uninstall the agent,Uninstalling the Chaos Agent - Azure Chaos Studio,,Instructions for uninstalling the Chaos Agent via the Azure portal and Azure CLI.,This article describes how to remove the Chaos Agent from your virtual machine (VM) or virtual machine scale set.,2025-03-14T22:02:00.000Z,how-to,,0.4,False,How-to for uninstalling the Chaos Agent via portal/CLI; operational steps without detailed configuration matrices or error mappings.,new
https://learn.microsoft.com/en-us/azure/chaos-studio/chaos-agent-verify-status,Verify agent status,Verify Azure Chaos Studio Agent Status - Azure Chaos Studio,Verify and interpret Azure Chaos Agent status states,Learn how to verify the status of the Azure Chaos Studio agent on a virtual machine after installation.,"After installing the Chaos Agent on a virtual machine, verify that it's running correctly. This guide walks you through checking the agent's status in the Azure portal, understanding possible states, and troubleshooting potential issues.",2025-03-12T08:00:00.000Z,how-to,troubleshooting,0.8,True,"Covers checking agent status and understanding possible states, plus troubleshooting issues—symptom-to-cause guidance specific to the agent.",new
https://learn.microsoft.com/en-us/azure/chaos-studio/chaos-studio-aks-authentication,Use Microsoft Entra authentication with Chaos Mesh,Use Microsoft Entra authentication with Chaos Studio AKS faults - Azure Chaos Studio,Configure Entra authentication for Chaos Studio AKS faults,Learn about the different ways for Chaos Studio to authenticate with your AKS cluster.,,2025-02-05T08:00:00.000Z,how-to,security,0.8,True,"Describes authentication methods between Chaos Studio and AKS, likely including specific Entra app roles, permissions, and auth flows—product-specific security configuration.",new
