url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/foundry/agents/concepts/agent-365-integration,Microsoft Agent 365 integration,Microsoft Agent 365 integration with Foundry - Microsoft Foundry,Integrate Foundry agents with Microsoft Agent 365,"Learn how Microsoft Foundry integrates with Microsoft Agent 365 to provide enterprise-grade agent governance, observability, security, and lifecycle management.","Microsoft Agent 365is Microsoft's enterprise control plane for AI agents. It treats agents as first-class Microsoft Entra identities through Entra Agent ID. This identity model lets organizations apply authentication, authorization, and lifecycle governance directly to agent identity objects. Agent 365 gives IT teams a single place to observe, govern, and secure every agent across an organization, regardless of where that agent was built or acquired. Microsoft Foundry agents integrate with Agent",2026-08-26T22:14:00.000Z,concept-article,security,0.65,True,"Describes how Foundry agents integrate with Agent 365 and Entra Agent ID for governance, authorization, and lifecycle management. This is specific security and control-plane integration guidance.",updated
https://learn.microsoft.com/en-us/azure/foundry/agents/concepts/agent-identity,Agent identity,Agent identity concepts in Microsoft Foundry - Microsoft Foundry,Configure agent identities and RBAC in Foundry,"Learn how agent identities and agent identity blueprints work in Microsoft Foundry, including RBAC, authentication for tools, and governance.","Anagent identityis a specialized identity type inMicrosoft Entra IDthat's designed specifically for AI agents. It provides a standardized framework for governing, authenticating, and authorizing AI agents across Microsoft services. This framework enables agents to securely access resources, interact with users, and communicate with other systems. Microsoft Foundry automatically provisions and manages agent identities throughout the agent lifecycle. This integration simplifies permission manageme",2026-08-25T06:03:00.000Z,concept-article,security,0.7,True,"Covers Microsoft Entra-based agent identities, RBAC, authentication for tools, and governance. This is product-specific security and identity configuration beyond generic security concepts.",updated
https://learn.microsoft.com/en-us/azure/foundry/agents/concepts/agent-optimizer-costs,Understand optimizer costs and token usage,Agent optimizer cost and token usage overview - Microsoft Foundry,Evaluate agent optimizer cost and token usage,Understand how the agent optimizer estimates cost before a run and reports measured token usage after the run.,"The agent optimizer in Foundry Agent Service provides a modeled cost estimate before you submit an optimization job. After the job finishes, its result can include measured token usage. Use the estimate for planning and the measured usage to understand the model activity that occurred during the run. The pre-run estimate and post-run token usage serve different purposes. Neither value is a spending limit or a replacement for your Azure invoice. Note In the Foundry portal, the pre-run cost estima",2026-08-19T22:12:00.000Z,concept-article,limits-quotas,0.7,True,"Focuses on modeled cost estimates and measured token usage for optimization jobs, with product-specific behavior around estimates vs actual usage. While exact numbers aren’t in the summary, the page is clearly about quantitative limits and usage reporting.",new
https://learn.microsoft.com/en-us/azure/foundry/agents/concepts/agent-optimizer-overview,Agent optimizer overview,Agent optimizer in Foundry Agent Service overview (preview) - Microsoft Foundry,Understand and use Foundry agent optimizer,"Improve prompt and hosted agents by evaluating behavior and generating better instructions, skills, tools, and model configurations.","Important Agent Optimizer is currently in preview. This preview is provided without a service-level agreement, and we don't recommend it for production workloads. Certain features might not be supported or might have constrained capabilities. For more information, seeSupplemental Terms of Use for Microsoft Azure Previews. The agent optimizer in Foundry Agent Service automatically improves prompt agents and hosted agents by evaluating their behavior and generating better configurations. Depending",2026-08-07T08:00:00.000Z,overview,decision-making,0.65,True,"Explains when and how to use the agent optimizer, including preview constraints and behavior differences. This is specific guidance on choosing optimization approaches for Foundry agents.",updated
https://learn.microsoft.com/en-us/azure/foundry/agents/concepts/agent-to-agent-authentication,Authentication,Agent2Agent (A2A) authentication - Microsoft Foundry,Configure Agent2Agent authentication in Foundry,"Learn about the authentication methods available for the Agent2Agent tool in Foundry Agent Service, including key-based, Microsoft Entra ID, and OAuth passthrough.",The Agent2Agent (A2A) protocol enables your agents to invoke other agents. Most A2A endpoints require authentication to access the endpoint and its underlying service. Configuring authentication ensures that only authorized users can invoke your A2A tools in Foundry Agent Service. This article explains the authentication methods available for A2A connections and helps you choose the right approach for your scenario.,2026-08-26T08:00:00.000Z,how-to,security,0.85,True,"Covers authentication methods for Agent2Agent tools, including key-based, Entra ID, and OAuth passthrough, and helps choose the right approach. This is product-specific security configuration with method-specific parameters and scopes.",updated
https://learn.microsoft.com/en-us/azure/foundry/agents/concepts/agent-yaml-reference,agent.yaml schema (legacy),agent.yaml schema reference - Microsoft Foundry,Define Foundry hosted agents with agent.yaml schema,"Reference for the AgentSchema YAML used to define hosted agents: AgentDefinition, AgentManifest, ContainerAgent, fields, resources, and variable substitution.","Important Items marked (preview) in this article are currently in public preview. This preview is provided without a service-level agreement, and we don't recommend it for production workloads. Certain features might not be supported or might have constrained capabilities. For more information, seeSupplemental Terms of Use for Microsoft Azure Previews. Note Agent manifests (agent.manifest.yaml) and standalone agent definitions (agent.yaml) are deprecated. As of the Foundryazdextensions (azure.ai",2026-07-07T11:03:00.000Z,reference,configuration,0.9,True,"Schema reference for AgentSchema YAML, including AgentDefinition, AgentManifest, ContainerAgent fields, resources, and variable substitution. This is detailed config schema with field names and constraints that an LLM wouldn’t know from training.",unchanged
https://learn.microsoft.com/en-us/azure/foundry/agents/concepts/agents-networking-deep-dive,Networking deep dive,Deep dive into Foundry Agent Service networking - Microsoft Foundry,Design networking for Foundry Agent Service with BYO VNet,"Understand the network architecture, subnet sizing, IP allocation, and traffic flow for hosted and prompt agents in Microsoft Foundry Agent Service with bring-your-own VNet.","When you run Microsoft Foundry Agent Service with a bring-your-own virtual network (VNet), you're responsible for sizing the delegated subnet, planning IP allocation, and understanding how agent traffic flows through the platform. This article explains the network architecture behind hosted and prompt agents, the IP-allocation model, and the signals that indicate capacity issues. It's intended for cloud and network architects who already chose bring-your-own VNet for Foundry Agent Service. To co",2026-07-29T08:00:00.000Z,concept-article,architecture-patterns,0.7,True,"Deep dive into network architecture, subnet sizing, and IP allocation for Foundry Agent Service with bring-your-own VNet; includes product-specific architectural guidance and capacity signals that go beyond generic networking concepts.",unchanged
https://learn.microsoft.com/en-us/azure/foundry/agents/concepts/autopilot-lifecycle,Autopilot lifecycle,Autopilot lifecycle in Microsoft Foundry - Microsoft Foundry,,"Learn the stages of the autopilot lifecycle in Microsoft Foundry, from provisioning and publishing a blueprint to hiring, operating, and offboarding an instance.","An autopilot moves through a defined lifecycle. An Azure administrator provisions the platform, a developer builds and publishes a blueprint, a tenant administrator approves it, and a manager hires and runs each instance. This article describes each stage, the role that owns it, and the points where responsibility passes from one role to the next. Because you build a blueprint rather than an autopilot, the lifecycle runs at three layers: the blueprint you publish once, the instances that teams h",2026-08-26T22:14:00.000Z,concept-article,,0.3,False,Lifecycle description for autopilots focusing on roles and stages. Appears conceptual/process-oriented without product-specific configuration values or limits.,new
https://learn.microsoft.com/en-us/azure/foundry/agents/concepts/autopilot-overview,What is an autopilot?,What is an autopilot in Microsoft Foundry? - Microsoft Foundry,,"Learn what an autopilot is in Microsoft Foundry, how its identity model differs from other agents, and why you build a blueprint rather than an autopilot.","An autopilot is a type of agent that works under its own identity as a persistent, named member of your organization. It holds a standing role rather than answering one request at a time. It has its own security profile in your tenant and a manager who's responsible for it. Every Foundry agent has a Microsoft Entraagent identityfrom the moment you create it. What makes an autopilot different is that it also has an Entraagent user account. That account gives the autopilot its own email, calendar,",2026-08-26T22:14:00.000Z,concept-article,,0.3,False,"Conceptual overview of autopilot identity model and behavior. Likely high-level explanation without detailed configuration tables, limits, or error mappings.",new
https://learn.microsoft.com/en-us/azure/foundry/agents/concepts/azure-government,Feature availability in Azure Government,Foundry Agent Service feature availability in Azure Government - Microsoft Foundry,Foundry Agent Service features in Azure Government,"Agent types, tools, and publishing options supported by Microsoft Foundry Agent Service in Azure Government (USGov Virginia and USGov Arizona).","This article shows which Microsoft Foundry Agent Service agent types, tools, and publishing options are available in Azure Government — and which aren't. For platform-level features, endpoints, and portal URLs, seeMicrosoft Foundry in Azure Government. For an introduction to Agent Service, see theFoundry Agent Service overview.",2026-08-27T06:04:00.000Z,concept-article,deployment,0.7,True,"Describes which agent types, tools, and publishing options are supported in USGov regions. This is a feature availability matrix by environment, a deployment/availability constraint set that is product-specific.",updated
