url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/copilot/agents,Overview,Agents in Azure Copilot,,"Azure Copilot agents help you migrate, operate, deploy, troubleshoot, and optimize your workloads.","Agents extend the capabilities of Azure Copilot to provide an agentic, multimodal cloud experience. By integrating agents into your daily workflows, Azure Copilot can help you migrate, operate, and optimize your workloads to help streamline your cloud adoption and deployment journey. Unlike a patchwork of disconnected AI and automation tools, Azure Copilot is natively built into the Azure platform, bringing together agents, context, and governance. Currently, Azure Copilot includes the following",2026-08-10T21:58:00.000Z,overview,,0.1,False,"Describes what agents in Azure Copilot are and their general purpose; no detailed configuration parameters, limits, or troubleshooting mappings.",new
https://learn.microsoft.com/en-us/azure/copilot/analyze-cost-management,Analyze costs,"Analyze, estimate and optimize cloud costs using Azure Copilot",Use Azure Copilot to analyze and optimize cloud costs,Learn about scenarios where Azure Copilot can use Microsoft Cost Management to help you manage your costs.,"Azure Copilot can help you analyze, estimate and optimize cloud costs. Ask questions using natural language to get information and recommendations based onMicrosoft Cost Management. When you ask Azure Copilot  questions about your costs, it automatically pulls context based on the last scope that you accessed using Cost Management. If the context isn't clear, you'll be prompted to select a scope or provide more context. For OpenAI token-based models, Azure Copilot can provide simulations that es",2025-11-18T16:11:00.000Z,how-to,decision-making,0.65,True,"Uses Cost Management and mentions simulations for token-based models; likely includes product-specific cost estimation behavior and guidance for cost decisions, fitting decision-making.",unchanged
https://learn.microsoft.com/en-us/azure/copilot/author-api-management-policies,Author API Management policies,Author API Management policies using Azure Copilot,Author Azure API Management policies using Copilot,Learn about how Azure Copilot can generate Azure API Management policies based on your requirements.,"Azure Copilot can authorAzure API Management policiesbased on your requirements. By using Azure Copilot, you can create policies quickly, even if you're not sure what code you need. This can be especially helpful when creating complex policies with many requirements. To get help authoring API Management policies, start from theDesigntab of an API you previously imported to your API Management instance. Be sure to use thecode editor view. Ask Azure Copilot to generate policy definitions for you, ",2025-11-25T23:09:00.000Z,how-to,integrations,0.7,True,Shows how to generate APIM policies from requirements; involves product-specific policy syntax and configuration patterns.,unchanged
https://learn.microsoft.com/en-us/azure/copilot/bring-your-own-storage,Manage conversation storage,Bring your own storage for conversation history in Azure Copilot,Configure Cosmos DB storage for Copilot conversations,Azure Copilot gives tenant administrators the option to store conversation history in their own Cosmos DB instance.,"By default, Microsoft manages Azure Copilotconversation data. However, organizations can choose to store Azure Copilot conversation history in their ownAzure Cosmos DBinstance. TheBring your own storageoption lets tenant administrators retain all Azure Copilot conversations in a Cosmos DB instance selected and managed by the tenant. Organizations maintain an audit trail of all Azure Copilot conversations across all tenant users, including the user-submitted prompts and all Azure Copilot response",2026-08-10T21:58:00.000Z,concept-article,configuration,0.7,True,"Explains the 'bring your own storage' option for conversation history, including selecting and managing a Cosmos DB instance; this is product-specific configuration of storage behavior and audit trails.",updated
https://learn.microsoft.com/en-us/azure/copilot/capabilities,Capabilities,Azure Copilot capabilities,,Learn about the things you can do with Azure Copilot.,"Azure Copilot amplifies your impact by using AI-enhanced operations. You can ask Azure Copilot for help with designing, operating, optimizing, and troubleshooting your Azure apps and infrastructure. Azure Copilot helps you gain new insights, discover more benefits of the cloud, and orchestrate data across both the cloud and the edge. To access Azure Copilot, sign in to the Microsoft Azure portal. Select theCopiloticon in the page header to open the Copilot pane. You can then enter your prompts i",2026-06-19T08:00:00.000Z,concept-article,,0.1,False,"Capabilities page is a general feature overview and entry point; no detailed limits, configuration parameters, or decision matrices are indicated.",updated
https://learn.microsoft.com/en-us/azure/copilot/copilot-networking,"Design, troubleshoot, and secure networks","Design, troubleshoot, and secure networks with Azure Copilot",Design and troubleshoot Azure networks with Copilot,"Learn how Azure Copilot can assist you in planning, designing, operating, and troubleshooting your Azure network with ease and efficiency.","The networking capabilities in Azure Copilot help you design, migrate, monitor, optimize, and troubleshoot your Azure network infrastructure. Azure Copilot provides intelligent assistance for Azure networking services, offering contextual responses and actionable insights based on Microsoft's extensive networking knowledge and your specific Azure environment. Tip The tasks and sample prompts listed here show a few of the areas where Azure Copilot can be especially helpful. However, this isn't a ",2025-11-25T18:14:00.000Z,how-to,architecture-patterns,0.6,True,"Covers design, migration, monitoring, optimization, and troubleshooting of Azure networking; likely includes product-specific networking patterns and guidance.",unchanged
https://learn.microsoft.com/en-us/azure/copilot/deploy-vms-effectively,Deploy and manage VMs,Deploy and manage virtual machines effectively using Azure Copilot,Choose and deploy cost-efficient Azure VMs with Copilot,Learn how Azure Copilot can help you deploy cost-efficient VMs.,"Azure Copilot can help you deployvirtual machines in Azurethat are efficient and effective. You can get suggestions for different options to save costs and choose the right size for your VMs. When you ask Azure Copilot for help with a VM, it automatically pulls context when possible, based on the current conversation or on the page you're viewing in the Azure portal. For example, if you start from theCreate a virtual machinepage, Azure Copilot will provide suggestions for the new VM you're creat",2025-11-18T16:11:00.000Z,how-to,decision-making,0.7,True,Focuses on selecting right VM sizes and cost-saving options; likely includes product-specific recommendations and trade-offs for VM deployment decisions.,unchanged
https://learn.microsoft.com/en-us/azure/copilot/deploy-workload-templates,Discover workloads,Discover and deploy workload templates from Azure Copilot,Find and deploy workload templates using Azure Copilot,Learn how Azure Copilot can provide workload templates for your scenario.,"Azure Copilot can help you find workload deployment templates that suit your needs by quickly searching through extensive repositories to identify the best matches. It provides recommendations based on the latest best practices and industry standards, helping you effectively deploy your workloads. Tip The tasks and sample prompts listed here show a few of the areas where Azure Copilot can be especially helpful. However, this isn't a complete list of all the things you can do. We encourage you to",2025-11-18T16:11:00.000Z,how-to,decision-making,0.65,True,Helps select appropriate workload templates based on best practices; supports deployment choice and trade-off decisions.,unchanged
https://learn.microsoft.com/en-us/azure/copilot/deployment-agent,Deployment,Azure Copilot Deployment Agent (preview),,"The Azure Copilot Deployment Agent helps you plan and execute deployments and get help with templates, configurations, and rollout strategies.","The Azure Copilot Deployment Agent acts as a virtual cloud solution architect, guiding you through the entire infrastructure planning and deployment process with simplicity and precision. To invoke Azure Deployment Agent outside of the Azure portal, use theazure-skills repositoryor learn more about theenterprise infrastructure planner. Important The Azure Copilot Deployment Agent is currently in PREVIEW.
See theSupplemental Terms of Use for Microsoft Azure Previewsfor legal terms that apply to A",2026-08-10T21:58:00.000Z,concept-article,,0.2,False,"Describes the Deployment Agent conceptually and how to invoke it; summary does not show concrete configuration tables, limits, or decision matrices.",updated
https://learn.microsoft.com/en-us/azure/copilot/discover-marketplace,Discover Azure Marketplace solutions,Discover Azure Marketplace solutions,Find suitable Azure Marketplace solutions with Copilot,Learn how Azure Copilot helps you find the right Azure Marketplace solutions using natural language queries.,"Azure Copilot enables you to find the right Azure Marketplace solutions using natural language queries. Instead of relying on filters or knowing specific product names, you can describe your needs in your own words and get tailored suggestions. When you ask a question about tools and offers, Azure Copilot determines your intent, then enriches your query with context and inferred filters. Next, it searches the Azure Marketplace using intelligent APIs and returns a list of the top relevant offers,",2025-11-21T05:55:00.000Z,how-to,decision-making,0.7,True,Guides users to select Marketplace offers based on described needs; supports technology selection decisions using product-specific search behavior.,unchanged
