url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/horizondb/ai/ai-agents,Overview,Build AI Agents with Azure HorizonDB - Azure HorizonDB,,"Learn what AI agents are, why databases and PostgreSQL are essential for agent memory and knowledge, and how to build intelligent agents with Azure HorizonDB.","AI agents are transforming how applications interact with data. Unlike traditional applications that follow fixed logic, agents combine large language models (LLMs) with external tools, memory, and planning to autonomously reason through complex tasks. Azure HorizonDB provides the unified data layer that agents need: persistent memory, knowledge retrieval, and scalable storage, all inside a single PostgreSQL database.",2026-07-07T08:00:00.000Z,concept-article,,0.3,False,"High-level explanation of AI agents and why databases/PostgreSQL matter. The summary suggests conceptual content rather than detailed configuration, error codes, or decision matrices.",unchanged
https://learn.microsoft.com/en-us/azure/horizondb/ai/ai-data-preparation,Data preparation for AI,Data Preparation for AI App and Agent Development in Azure HorizonDB - Azure HorizonDB,Prepare data in HorizonDB for AI apps and agents,"Learn the key data preparation steps (cleaning, chunking, embedding, enrichment, and indexing) required before building AI apps and agents with Azure HorizonDB.","Before you can build AI-powered search, RAG applications, or intelligent agents, you need to prepare your source data. This preparation pipeline transforms raw content into a queryable format. This article introduces the key steps: cleaning, chunking, embedding, enrichment, and indexing. It also explains how Azure HorizonDB supports each step.",2026-07-07T08:00:00.000Z,concept-article,best-practices,0.7,True,"Guides cleaning, chunking, embedding, enrichment, and indexing with HorizonDB-supported mechanisms, providing product-specific patterns for AI workloads.",unchanged
https://learn.microsoft.com/en-us/azure/horizondb/ai/ai-frameworks,Integrate with LLM orchestration frameworks,AI Frameworks for Building Apps and Agents with Azure HorizonDB - Azure HorizonDB,Integrate AI frameworks with Azure HorizonDB,"Integrate Azure HorizonDB with AI and LLM orchestration frameworks like Microsoft Agent Framework, Semantic Kernel, LangChain, LlamaIndex, and CrewAI to build AI applications and agents.","Azure HorizonDB integrates with leading LLM orchestration frameworks for building both AI applications and autonomous agents. These frameworks provide the scaffolding for managing LLMs, embedding models, agent memory, multi-agent workflows, and database connectivity.",2026-07-07T08:00:00.000Z,concept-article,integrations,0.65,True,"Describes integration with Microsoft Agent Framework, Semantic Kernel, LangChain, LlamaIndex, and CrewAI. The full article likely includes HorizonDB-specific connection patterns, configuration parameters, and SDK usage details.",unchanged
https://learn.microsoft.com/en-us/azure/horizondb/ai/ai-functions,AI functions (azure_ai),AI Functions in the azure_ai Extension in Azure HorizonDB - Azure HorizonDB,Use azure_ai SQL functions for GenAI in HorizonDB,"Overview of AI functions in the azure_ai extension in Azure HorizonDB. These functions bring advanced Generative AI (GenAI) functionality directly into SQL workflows, bringing intelligent, model-drive","Theazure_aiextension introducesAI functions, a feature that integrates advanced Generative AI (GenAI) capabilities directly into PostgreSQL SQL. By using these functions with models like chat-completion, embeddings, reranking, and otherMicrosoft Foundry model deployments, you can build GenAI-driven applications directly within your database. This integration unlocks new capabilities for generating vector embeddings, reranking vector search results, understanding text, reasoning, and generating s",2026-07-07T08:00:00.000Z,concept-article,integrations,0.7,True,"Overview of AI functions in the azure_ai extension; likely includes specific function names, parameters, and integration patterns with Foundry models unique to HorizonDB.",unchanged
https://learn.microsoft.com/en-us/azure/horizondb/ai/ai-model-management,AI model management,AI Model Management in Azure HorizonDB - Azure HorizonDB,Configure AI Model Management (AIMM) in HorizonDB,"Automatically provision and manage embedding, generation, and reranking models in Azure HorizonDB with AI Model Management (AIMM), currently available as a limited preview.","Important AI Model Management (AIMM) is currently available as alimited previewfor Azure HorizonDB. Access is limited and requires approval. To request access, complete theAI Model Management limited preview participation form. AI Model Management (AIMM) is a premium feature in Azure HorizonDB that provides a fully managed experience for provisioning, configuring, and using AI models directly within your database. Instead of navigating to multiple Azure services to deploy models, copy endpoints,",2026-07-07T08:00:00.000Z,how-to,configuration,0.75,True,"Describes provisioning and managing AI models as a premium feature, with HorizonDB-specific configuration options, constraints, and possibly tier requirements.",unchanged
https://learn.microsoft.com/en-us/azure/horizondb/ai/ai-overview,Overview,Overview of AI Capabilities in Azure HorizonDB - Azure HorizonDB,,"Learn about what are the AI capabilities in Azure HorizonDB, including AI functions, pipelines, vector search, semantic reranking, knowledge graphs, and agent integrations.","Generative AI is transforming how applications interact with data. As organizations move beyond basic chatbots toward retrieval-augmented generation (RAG), autonomous agents, and intelligent search, one thing is clear:data is the foundation of intelligence. Raw data becomes knowledge when it's structured, embedded, and made searchable, and knowledge becomes intelligence when AI models can reason over it, retrieve what's relevant, and take action. Azure HorizonDB brings this full stack into Postg",2026-07-07T08:00:00.000Z,overview,,0.4,False,"AI capabilities overview; primarily conceptual description of features like pipelines, vector search, and agents without detailed configuration or limits.",unchanged
https://learn.microsoft.com/en-us/azure/horizondb/ai/ai-pipelines,AI pipelines,Implement AI Pipelines in Azure HorizonDB - Azure HorizonDB,Define and run AI pipelines in HorizonDB,"Define and run AI data pipelines directly in Azure HorizonDB with built-in support for chunking, embeddings, extraction, retrieval, and reranking, backed by reliable execution with state, retries, and","AI pipelines in Azure HorizonDB let you describe an AI workflow (chunking, embedding, extraction, generation, ranking, human approval) declaratively in SQL, and run it as a fault-tolerant pipeline that lives inside the database. The pipeline definition is just a row in a system catalog. The execution is durable: it survives crashes, retries failed steps, checkpoints incremental work, and resumes long-running jobs from the last completed step. AI pipelines are part of theazure_aiextension. Theai.",2026-07-08T11:04:00.000Z,concept-article,configuration,0.7,True,"AI pipelines are defined declaratively in SQL with durable execution semantics. The page likely documents specific pipeline catalog schema, state fields, retry/scheduling parameters, and configuration options for crash recovery and checkpoints—product-specific configuration details not known from general training.",unchanged
https://learn.microsoft.com/en-us/azure/horizondb/ai/ai-samples,Samples,AI and Agentic Use Cases and Sample Applications - Azure HorizonDB,,"Explore AI and agentic use cases across industries, with solution accelerators and sample applications for Azure HorizonDB.","Azure HorizonDB combines relational, vector, graph, and document storage in a single engine, making it a natural foundation for AI-powered applications. Whether you're building semantic search, RAG copilots, multi-agent systems, or intelligent analytics, Azure HorizonDB provides the capabilities you need: vector search withpgvectorand DiskANN, graph reasoning with Apache AGE, in-database AI functions through theazure_aiextension,Build AI apps and agents with orchestration frameworks (Preview), a",2026-07-07T08:00:00.000Z,concept-article,,0.3,False,Catalog of use cases and sample applications. Primarily marketing/overview content listing scenarios rather than detailed technical configuration or decision guidance.,unchanged
https://learn.microsoft.com/en-us/azure/horizondb/ai/ai-search-overview,Overview,"Retrieval Foundations - Vector, Full-Text, and Hybrid Search in Azure HorizonDB - Azure HorizonDB",Choose vector vs full-text vs hybrid search,"Explore vector, full-text, and hybrid search in Azure HorizonDB, and learn how to optimize search performance and enhance relevance with semantic reranking and knowledge graphs.","Modern applications demand search that goes beyond simple keyword matching. Users expect search to understand intent, handle synonyms, work across languages, and return the most relevant results - even when the query doesn't share exact words with the content. This article introduces the core retrieval techniques available in Azure HorizonDB, explains when and why to use each one, and shows how they fit together into a complete search strategy. For implementation details, each section links to t",2026-07-07T08:00:00.000Z,concept-article,decision-making,0.65,True,"The article explains when and why to use vector, full-text, and hybrid search in HorizonDB and how they fit into a retrieval strategy. This is product-specific decision guidance with scenario-based recommendations for search mode selection.",unchanged
https://learn.microsoft.com/en-us/azure/horizondb/ai/build-knowledge-graph,Build a knowledge graph from unstructured text,Tutorial - Build a Knowledge Graph from Unstructured Text Using AI Functions and Apache AGE in Azure HorizonDB - Azure HorizonDB,Build knowledge graphs from text with HorizonDB AI,"Convert raw text into a knowledge graph using AI Functions and Apache AGE. This tutorial shows how to extract key entities and relationships and organize them into a graph for better search, explorati","The hardest part of working with graphs isbuilding the graph in the first place. Manually curating entities and relationships from thousands of documents is prohibitively expensive. AI Functions in Azure HorizonDB solve this issue by bringing LLM-powered intelligence directly into SQL, so you can extract, structure, and query knowledge graphs without leaving the database. azure_ai.extract()discovers hidden relationships and entities from unstructured text, right inside a SQL query. Feed it contr",2026-07-07T08:00:00.000Z,tutorial,integrations,0.7,True,"Tutorial uses azure_ai.extract() and Apache AGE to convert text into a graph. It likely documents function usage, parameters, and graph schema patterns specific to HorizonDB’s AI and graph extensions.",unchanged
