url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/ai-services/face/concept-face-detection,"Face detection, attributes, and input data","Face detection, attributes, and input data - Face - Foundry Tools",,Learn more about face detection; face detection is the action of locating human faces in an image and optionally returning different kinds of face-related data.,"Caution Face service access is limited based on eligibility and usage criteria in order to support our Responsible AI principles. Face service is only available to Microsoft managed customers and partners. Use theFace Recognition intake formto apply for access. For more information, see theFace limited accesspage. Important Face attributes are predicted by statistical algorithms. They might not always be accurate. Use caution when you make decisions based on attribute data. Refrain from using th",2026-03-19T17:26:00.000Z,concept-article,,0.3,False,Conceptual explanation of face detection and attributes; no indication of numeric limits or detailed configs.,unchanged
https://learn.microsoft.com/en-us/azure/ai-services/face/concept-face-liveness-detection,Face liveness detection,Face liveness detection - Face - Foundry Tools,,"This article explains the concept of Face liveness detection, its input and output schema, and related concepts.","This article explains the concept of Face liveness detection, its input and output schema, and related concepts.",2026-03-19T17:26:00.000Z,concept-article,,0.3,False,"Conceptual guide to liveness detection, input/output schema; summary doesn’t indicate detailed limits or configs.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/face/concept-face-recognition,Face recognition,Face recognition - Face - Foundry Tools,,"Learn the concept of Face recognition, its operations, and data structures, including PersonGroup creation, identification, and verification.","This article explains the concept of Face recognition, its related operations, and the underlying data structures. Broadly, face recognition is the process of verifying or identifying individuals by their faces. Face recognition is important in implementing the identification scenario, which enterprises and apps can use to verify that a (remote) user is who they claim to be.",2026-03-19T17:26:00.000Z,concept-article,,0.3,False,Conceptual description of face recognition operations and data structures; lacks specific limits or config parameters.,unchanged
https://learn.microsoft.com/en-us/azure/ai-services/face/concept-face-recognition-data-structures,Face recognition data structures,Face recognition data structures - Face - Foundry Tools,,"Learn about the Face recognition data structures, which store data on faces and persons.","This article explains the data structures used in the Face service for face recognition operations. These data structures hold data on faces and persons. Caution Face service access is limited based on eligibility and usage criteria in order to support our Responsible AI principles. Face service is only available to Microsoft managed customers and partners. Use theFace Recognition intake formto apply for access. For more information, see theFace limited accesspage.",2026-03-19T17:26:00.000Z,concept-article,,0.3,False,Conceptual overview of recognition data structures; no numeric thresholds or configuration tables mentioned.,unchanged
https://learn.microsoft.com/en-us/azure/ai-services/face/concept-liveness-abuse-monitoring,Face liveness abuse monitoring,Abuse monitoring in Face liveness detection - Face - Foundry Tools,Configure abuse monitoring for Face liveness detection,Learn about abuse-monitoring methods in Azure Face service.,"Azure Face liveness detection lets you detect and mitigate instances of recurring content and/or behaviors that indicate a violation of theCode of Conductor other applicable product terms. This guide shows you how to work with these features to ensure your application is compliant with Azure policy. Details on how data is handled can be found on theData, Privacy, and Securitypage. Important The Face client SDKs for liveness are a gated feature. You must request access to the liveness feature by ",2026-03-19T17:26:00.000Z,concept-article,security,0.7,True,Describes abuse-monitoring methods and policy-compliance features specific to Face liveness; likely includes product-specific security controls and data-handling behaviors.,unchanged
https://learn.microsoft.com/en-us/azure/ai-services/face/enrollment-overview,Best practices for enrolling users,Best practices for adding users to a Face service - Foundry Tools,Apply best practices for Azure Face enrollment,Learn about the process of Face enrollment to register users in a face recognition service.,"In order to use the Azure Face API for face verification or identification, you need to enroll faces into aLargePersonGroupor similardata structure. This deep-dive demonstrates best practices for gathering meaningful consent from users and example logic to create high-quality enrollments that optimize recognition accuracy.",2026-03-19T17:26:00.000Z,best-practice,best-practices,0.8,True,Explicitly a deep-dive on best practices for consent and high-quality enrollments; contains product-specific recommendations to optimize recognition accuracy.,unchanged
https://learn.microsoft.com/en-us/azure/ai-services/face/face-index,Azure Face documentation,"Azure Face documentation - Quickstarts, Tutorials, API Reference - Foundry Tools",,"The cloud-based Azure Face service The Azure Face service provides AI algorithms that detect, recognize, and analyze human faces in images. Facial recognition software is important in many scenarios, ",Overview,2026-06-05T22:11:00Z,hub-page,,0.0,False,"Documentation index/overview page; no detailed limits, configs, or error mappings.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/face/how-to/add-faces,Add faces to a PersonGroup,Example: Add faces to a PersonGroup - Face - Foundry Tools,Add many faces to PersonGroup efficiently,This guide demonstrates how to add a large number of persons and faces to a PersonGroup object with the Azure Face service.,"Caution Face service access is limited based on eligibility and usage criteria in order to support our Responsible AI principles. Face service is only available to Microsoft managed customers and partners. Use theFace Recognition intake formto apply for access. For more information, see theFace limited accesspage. This guide shows how to add a large number of persons and faces to aPersonGroupobject. The same strategy applies toLargePersonGroup,FaceList, andLargeFaceListobjects. The code samples ",2026-03-19T17:26:00.000Z,how-to,best-practices,0.7,True,"Described as a guide for adding a large number of persons/faces; likely includes product-specific patterns, batching strategies, and edge cases for Face data structures.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/face/how-to/find-similar-faces,Find similar faces,Find similar faces using Foundry Tools - Foundry Tools,,"Learn how to use the Azure Face service to find similar faces in a set of images, performing face search by image for various applications.","Caution Face service access is limited based on eligibility and usage criteria in order to support our Responsible AI principles. Face service is only available to Microsoft managed customers and partners. Use theFace Recognition intake formto apply for access. For more information, see theFace limited accesspage. TheFind Similaroperation does face matching between a target face and a set of candidate faces, finding a smaller set of faces that look similar to the target face. This is useful for ",2026-03-19T17:26:00.000Z,how-to,,0.4,False,"How-to for Find Similar operation; summary doesn’t indicate detailed limits, config tables, or error mappings.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/face/how-to/identity-access-token,Use limited access tokens,Use limited access tokens - Face - Foundry Tools,Manage Face API access with limited tokens,Learn how ISVs can manage the Face API usage of their clients by issuing access tokens that grant access to Face features which are normally gated.,"Independent software vendors (ISVs) can manage the Face API usage of their clients by issuing access tokens that grant access to Face features which are normally gated. This allows their client companies to use the Face API without having to go through the formal approval process. This guide shows you how to generate the access tokens, if you're an approved ISV, and how to use the tokens if you're a client. The limited access token feature is a part of the existing Foundry Tools token service. W",2026-03-19T17:26:00.000Z,how-to,security,0.8,True,Describes issuing and using limited access tokens via Foundry Tools token service; includes product-specific security configuration and token usage patterns.,unchanged
https://learn.microsoft.com/en-us/azure/ai-services/face/how-to/identity-detect-faces,Detect and analyze faces,Call the Detect API - Face - Foundry Tools,,"This guide demonstrates how to use face detection to extract attributes like age, emotion, or head pose from a given image.","Caution Face service access is limited based on eligibility and usage criteria in order to support our Responsible AI principles. Face service is only available to Microsoft managed customers and partners. Use theFace Recognition intake formto apply for access. For more information, see theFace limited accesspage. Caution Microsoft has retired or limited facial recognition capabilities that can be used to try to infer emotional states and identity attributes, which, if misused, can subject peopl",2026-03-19T17:26:00.000Z,how-to,,0.4,False,"How-to for Detect API; summary focuses on usage and cautions, not on detailed configuration tables or limits.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/face/how-to/liveness-use-network-isolation,Use liveness detection with network isolation (preview),Use liveness detection with network isolation - Face - Foundry Tools,Use Face liveness detection with network isolation,Learn how to use the face liveness detection feature when your resource has public network access disabled. This guide shows how you can support end users on public networks while keeping your Foundry,"Disabling public network access to internal resources is often part of your network security posture design. By routing liveness detection requests through a verified reverse proxy under your control, you can maintain a private network setup and still allow end-user devices to complete liveness checks. The proxy forwards the necessary liveness detection API calls from the client to your Face or Foundry Tool. With this setup, you gain strict network control but also take on more responsibility. Y",2026-03-19T17:26:00.000Z,how-to,security,0.8,True,Explains routing liveness requests through a reverse proxy with public network disabled; includes product-specific network security configuration patterns.,unchanged
https://learn.microsoft.com/en-us/azure/ai-services/face/how-to/mitigate-latency,Mitigate latency and improve performance,Mitigate latency and improve Face service performance - Foundry Tools,Optimize Azure Face performance and reduce latency,Learn how to mitigate network latency and improve service performance when using the Azure Face service to enhance user experience.,"This guide describes how to mitigate network latency and improve service performance when using Azure Face service. The speed and performance of your application will affect the experience of your end-users, such as people who enroll in and use the face identification system.",2026-03-19T17:26:00.000Z,how-to,best-practices,0.75,True,"Performance/latency mitigation guide; likely includes product-specific recommendations (regions, request patterns, configuration choices) to improve Face service performance.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/face/how-to/specify-detection-model,Specify a face detection model version,How to specify a detection model - Face - Foundry Tools,Choose and specify Azure Face detection models,This article shows you how to choose which face detection model to use with your Azure Face application.,"This article shows you how to specify a face detection model for the Azure Face service. The Face service uses machine learning models to perform operations on human faces in images. We continue to improve the accuracy of our models based on customer feedback and advances in research, and we deliver these improvements as model updates. You can specify which version of the face detection model you'd like to use. Choose the model that best fits your use case. Read on to learn how to specify the fa",2026-03-19T17:26:00.000Z,how-to,decision-making,0.65,True,Guides choosing between detection model versions for different use cases; likely includes scenario-based recommendations and trade-offs unique to Face models.,unchanged
