url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/ai-services/document-intelligence/authentication/create-sas-tokens?view=doc-intel-4.0.0,Create SAS tokens for storage containers,Create shared access signature (SAS) tokens for your storage containers and blobs - Foundry Tools,Create SAS tokens for Document Intelligence storage,How to create Shared Access Signature (SAS) tokens for containers and blobs with Microsoft Storage Explorer and the Azure portal.,"This content applies to:v4.0 (GA)v3.1 (GA)v3.0 (GA)v2.1 (GA) In this article, learn how to create user delegation, shared access signature (SAS) tokens, using either the Azure portal or Azure Storage Explorer. User delegation SAS tokens are secured with Microsoft Entra credentials. SAS tokens provide secure, delegated access to resources in your Azure storage account. At a high level, here's how SAS tokens work: First, your application submits the SAS token to Azure Storage as part of a REST API",2025-11-18T08:00:00.000Z,how-to,security,0.8,True,"How-to for SAS tokens with Azure Storage; includes specific token parameters, scopes, and configuration steps relevant to secure access.",new
https://learn.microsoft.com/en-us/azure/ai-services/document-intelligence/authentication/encrypt-data-at-rest?view=doc-intel-4.0.0,Use customer-managed keys,Service encryption of data at rest - Document Intelligence - Foundry Tools,Configure data-at-rest encryption and CMK for Document Intelligence,"Microsoft offers Microsoft-managed encryption keys, and also lets you manage your Foundry Tools subscriptions with your own keys, called customer-managed keys (CMK). This article covers data encryptio",This content applies to:v4.0 (GA)v3.1 (GA)v3.0 (GA)v2.1 (GA) Important Azure Document Intelligence in Foundry Tools automatically encrypts your data when persisting it to the cloud. Document Intelligence encryption protects your data to help you to meet your organizational security and compliance commitments.,2025-11-18T15:37:00.000Z,how-to,security,0.8,True,Explains CMK support and how to enable/manage it for this service—product-specific encryption configuration and compliance details.,new
https://learn.microsoft.com/en-us/azure/ai-services/document-intelligence/authentication/managed-identities-secured-access?view=doc-intel-4.0.0,Configure managed identities with private endpoints,Configure secure access with managed identities and virtual networks - Foundry Tools,Secure Document Intelligence with managed identities and VNets,Learn how to configure secure communications between Document Intelligence and other Azure Services.,This content applies to:v4.0 (GA)v3.1 (GA)v3.0 (GA)v2.1 (GA) This how-to guide walks you through the process of enabling secure connections for your Document Intelligence resource. You can secure the following connections: Communication between a client application within a Virtual Network (VNET) and your Document Intelligence Resource. Communication between Document Intelligence Studio and your Document Intelligence resource.F Communication between your Document Intelligence resource and a stor,2025-11-18T08:00:00.000Z,how-to,security,0.85,True,"Covers secure connections between VNets, Studio, storage, and the service; includes network/security configuration patterns unique to this product.",new
https://learn.microsoft.com/en-us/azure/ai-services/document-intelligence/authentication/managed-identities?view=doc-intel-4.0.0,Create and use managed identities,Create and use managed identities with Document Intelligence - Foundry Tools,Use managed identities with Document Intelligence securely,Understand how to create and  use managed identity with Document Intelligence.,"This content applies to:v4.0 (GA)v3.1 (GA)v3.0 (GA)v2.1 (GA) Managed identities for Azure resources are service principals that create a Microsoft Entra identity and specific permissions for Azure managed resources: Managed identities grant access to any resource that supports Microsoft Entra authentication, including your own applications. Unlike security keys and authentication tokens, managed identities eliminate the need for developers to manage credentials. You can grant access to an Azure ",2025-11-18T08:00:00.000Z,how-to,security,0.85,True,"Details how to create and use managed identities with this service, including specific permissions and scopes—product-specific security configuration.",new
https://learn.microsoft.com/en-us/azure/ai-services/document-intelligence/concept/accuracy-confidence?view=doc-intel-4.0.0,Accuracy and confidence scores,Interpret and improve model accuracy and confidence scores - Foundry Tools,Improve Document Intelligence accuracy and confidence scores,Best practices to interpret and improve Azure Document Intelligence in Foundry Tools accuracy scores from train model operations and confidence scores from analysis operations.,"A confidence score indicates probability by measuring the degree of statistical certainty that the extracted result is detected correctly. The estimated accuracy is calculated by running a few different combinations of the training data to predict the labeled values. In this article, learn to interpret accuracy and confidence scores and best practices for using those scores to improve accuracy and confidence results.",2025-11-18T08:00:00.000Z,concept-article,best-practices,0.75,True,Explicitly framed as best practices for interpreting and improving accuracy/confidence with product-specific guidance and likely concrete thresholds and usage patterns.,new
https://learn.microsoft.com/en-us/azure/ai-services/document-intelligence/concept/add-on-capabilities?view=doc-intel-4.0.0,Enhanced capabilities,Add-on capabilities - Document Intelligence - Foundry Tools,Increase Document Intelligence capacity with add-ons,How to increase service limit capacity with add-on capabilities.,This content applies to:v4.0 (GA)|Previous versions:v3.1 (GA):::moniker-end This content applies to:v3.1 (GA)|Latest version:v4.0 (GA) Note Add-on capabilities are available within all models except for theBusiness card model.,2025-11-18T08:00:00.000Z,concept-article,limits-quotas,0.7,True,Describes add-on capabilities to increase service limits; this page typically includes concrete per-SKU capacity increments and constraints that are not general knowledge.,new
https://learn.microsoft.com/en-us/azure/ai-services/document-intelligence/concept/analyze-document-response?view=doc-intel-4.0.0,Analyze document API response,Document Intelligence APIs analyze document response - Foundry Tools,Use AnalyzeDocument API response objects effectively,Description of the different objects returned as part of the AnalyzeDocument response and how to use the document analysis response in your applications.,"In this article, let's examine the different objects returned as part of theAnalyzeDocumentresponse and how to use the document analysis API response in your applications.",2025-11-18T08:00:00.000Z,concept-article,integrations,0.65,True,"Response-shape reference for AnalyzeDocument typically includes field names, types, and constraints—SDK/REST response schema details that are product-specific integration knowledge.",new
https://learn.microsoft.com/en-us/azure/ai-services/document-intelligence/concept/choose-model-feature?view=doc-intel-4.0.0,Which model should I choose?,Choose the best Document Intelligence model for your applications and workflows. - Foundry Tools,Choose the right Document Intelligence model,Choose the best Document Intelligence model for your applications and workflows.,"Azure Document Intelligence in Foundry Tools supports a wide variety of models that enable you to add intelligent document processing to your applications and optimize your workflows. Selecting the right model is essential to ensure the success of your enterprise. In this article, we explore the available Document Intelligence models and provide guidance for how to choose the best solution for your projects. The following decision charts highlight the features of each supported model to help you",2025-11-18T08:00:00.000Z,overview,decision-making,0.7,True,Explicitly guides selection among multiple Document Intelligence models using decision charts and feature comparisons; this is product-specific decision guidance.,new
https://learn.microsoft.com/en-us/azure/ai-services/document-intelligence/concept/incremental-classifier?view=doc-intel-4.0.0,Incremental classifier,Use Document Intelligence incremental classifiers - Foundry Tools,Use incremental classifiers for custom documents,Incrementally train custom classifiers by adding new samples to existing classes or adding new classes.,"This content applies to:v4.0 (GA) Azure Document Intelligence in Foundry Tools is a cloud-based Foundry Tools service that enables you to build intelligent document processing solutions. Document Intelligence APIs analyze images, PDFs, and other document files to extract and detect various content, layout, style, and semantic elements. Document Intelligence custom classification modelsare deep-learning-model types that combine layout and language features to accurately detect and identify docume",2025-11-18T08:00:00.000Z,concept-article,configuration,0.6,True,Explains incremental training of classifiers with classes and samples; contains product-specific model configuration and training patterns.,new
https://learn.microsoft.com/en-us/azure/ai-services/document-intelligence/concept/markdown-elements?view=doc-intel-4.0.0,Layout API markdown output elements,Document Intelligence supported Markdown elements - Foundry Tools,Work with Markdown output from Layout API,Description of the supported Markdown elements returned as part of the Layout API response and how to use the response in your applications.,"Azure Document Intelligence in Foundry Tools Layout API can transform your documents into rich Markdown, preserving their original structure and formatting. Just specifyoutputContentFormat=markdownin your request to receive semantically structured content that maintains paragraphs, headings, tables, and other document elements in their proper hierarchy. This Markdown output elegantly captures the document's original organization while providing standardized, easily consumable content for downstr",2025-11-18T08:00:00.000Z,concept-article,integrations,0.65,True,"Describes supported Markdown elements and how they are emitted by the Layout API, including specific element mappings and parameters like outputContentFormat=markdown.",new
