url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/iot/concept-certificate-issuance,Issuance of device certificates,Certificate Issuance in Azure IoT Hub Certificate Management (Preview) - Azure IoT Hub,Understand certificate issuance flow in ADR and IoT Hub,"Learn how Azure Device Registry issues X.509 certificates to IoT devices during provisioning, including the certificate hierarchy, issuance flow, and how IoT Hub trusts issued certificates.","Device certificate issuance is the process by which devices request and receive a certificate as part of provisioning. Azure Device Registry (ADR) generates and issues a new X.509 certificate to your IoT devices during provisioning. This article explains the responsibility of a device to send a Certificate Signing Request (CSR), how ADR and Device Provisioning Service (DPS) work together to issue certificates at scale, and how IoT Hub trusts the issued certificates. Important Azure IoT Hub with ",2026-07-31T22:11:00.000Z,concept-article,architecture-patterns,0.6,True,"Explains detailed issuance flow, CSR responsibilities, and how ADR and DPS issue certificates at scale and are trusted by IoT Hub; contains product-specific flow and trust-chain behavior that go beyond generic PKI concepts.",unchanged
https://learn.microsoft.com/en-us/azure/iot/concept-certificate-renewal,Renewal of device certificates,Certificate Renewal in Azure IoT Hub Certificate Management (Preview) - Azure IoT Hub,Plan and execute certificate renewal for IoT devices,"Learn how certificate renewal works in Azure IoT Hub certificate management, including when to renew, how the renewal flow works, and how devices can track certificate expiration.","Certificate renewal is the process where an already provisioned device requests and receives a new operational certificate for its existing device identity. Renewal is used to replace certificates that are nearing expiration or have expired. The device remains provisioned with the same identity; only the operational certificate is updated. Each IoT device must track certificate expiration and initiate a renewal before expiration. This article explains when to renew, the available renewal paths, ",2026-07-31T22:11:00.000Z,concept-article,architecture-patterns,0.6,True,"Describes when to renew, renewal paths, and how devices track expiration in ADR-based certificate management; provides product-specific lifecycle and flow patterns for renewal beyond generic PKI theory.",unchanged
https://learn.microsoft.com/en-us/azure/iot/concepts-certificate-policy-management,Certificate revocation and policy management,Certificate Revocation and Policy Management (Preview) - Azure IoT Hub,,"This article discusses the concepts of revoking leaf certificates, revoking policies, deleting policies, and deleting credential resources in Azure IoT Hub certificate management.","Certificate management in Azure IoT Hub enables you to issue, manage, and revoke X.509 certificates throughout their lifecycle. This article introduces the key concepts related to revoking device certificates, revoking policies, deleting policies, and deleting credential resources. These operations are part of a coordinated lifecycle management strategy that helps you maintain your security posture when certificates expire, devices are decommissioned, or business requirements change. Important A",2026-07-31T22:11:00.000Z,concept-article,,0.4,False,Conceptual discussion of revoking certificates and policies and deleting resources; summary suggests high-level lifecycle concepts without detailed configuration parameters or error/diagnostic mappings.,unchanged
https://learn.microsoft.com/en-us/azure/iot/how-to-configure-credential,Configure a credential,Configure a credential in Azure Device Registry - Azure IoT Hub,Configure Azure Device Registry credential for X.509 PKI,Configure a credential in your Azure Device Registry namespace to enable Microsoft-backed X.509 certificate management for IoT devices.,"When you enableMicrosoft-backed X.509 certificate managementin yourAzure Device Registry (ADR)namespace, you create a single credential resource within that ADR namespace. A credential manages one unique root CA within your own cloud PKI. Important Azure IoT Hub with Azure Device Registry integration and Microsoft-backed X.509 certificate management is inpublic previewand isn't recommended for production workloads. For more information, seeFAQ: What is new in IoT Hub?. Microsoft manages the PKI ",2026-07-31T22:11:00.000Z,how-to,configuration,0.7,True,"How-to for configuring a credential resource that manages a unique root CA in ADR; likely includes specific configuration fields, parameter names, and constraints for enabling Microsoft-backed X.509 certificate management.",unchanged
https://learn.microsoft.com/en-us/azure/iot/how-to-create-policy,Create a policy with a Microsoft root CA,Create or Edit a Policy with Microsoft Root CA in Azure Device Registry - Azure IoT Hub,Create policy with Microsoft root CA in ADR,Create or edit a policy in your Azure Device Registry namespace to issue Microsoft-backed X.509 certificates for IoT devices.,"This article explains how to create or edit a policy within yourAzure Device Registry (ADR)namespace to manage anissuing CAsigned by your namespace's uniqueroot CA. Use this workflow if you want ADR to provide a fully managed public key infrastructure (PKI) for your namespace. When a device requests a certificate, the platform returns a full certificate chain consisting of: The device certificate:Unique to the specific IoT device. The issuing CA (ICA):The CA managed by ADR that signs the device ",2026-07-31T22:11:00.000Z,how-to,configuration,0.7,True,"Describes creating/editing a policy to manage an issuing CA signed by a unique Microsoft-managed root CA; likely includes policy configuration parameters, certificate chain details, and product-specific settings.",unchanged
https://learn.microsoft.com/en-us/azure/iot/how-to-create-policy-external-certificate,Create a policy with an external root CA,Create or Edit a Policy with an External Root CA in Azure Device Registry - Azure IoT Hub,Configure ADR policy with external root CA,Create or edit an external CA policy in Azure Device Registry so you can use your external CA to issue IoT device certificates.,"This article explains how to create or edit a policy within yourAzure Device Registrynamespace to manage an issuing CA that anexternal root CAsigns. Use this workflow if your organization maintains a private Public Key Infrastructure (PKI) and requires all IoT devices to chain up to a common trusted root.  When a device requests a certificate via Device Registry, the platform returns a fullcertificate chainconsisting of: The device certificate:Unique to the specific IoT device. The Microsoft iss",2026-07-31T22:11:00.000Z,how-to,configuration,0.7,True,"Covers creating/editing an external CA policy so devices chain to an organization’s private PKI; likely documents specific policy fields, certificate chain behavior, and integration settings unique to ADR.",unchanged
https://learn.microsoft.com/en-us/azure/iot/how-to-revoke-certificate-delete-policy,Revoke certificates and delete policies,Revoke Certificates and Delete Policies in Azure Device Registry - Azure IoT Hub,Revoke certificates and delete ADR policies for IoT Hub,"Learn how to revoke device and policy certificates, and delete policies and credential resources in Azure Device Registry for IoT Hub.","This article shows you how to run certificate lifecycle operations for Azure Device Registry in Azure IoT Hub: Use these procedures when you need to respond to a security event, retire certificate resources, or clean up certificate paths in production. Important Azure IoT Hub with Azure Device Registry integration and Microsoft-backed X.509 certificate management is inpublic previewand isn't recommended for production workloads. For more information, seeFAQ: What is new in IoT Hub?.",2026-07-31T22:11:00.000Z,how-to,configuration,0.65,True,"Procedural guide for revoking device and policy certificates and deleting policies/credential resources; likely includes specific operations, API/portal steps, and constraints for certificate lifecycle management in ADR.",unchanged
https://learn.microsoft.com/en-us/azure/iot/iot-certificate-management-concepts,Key concepts for certificate management,Key Concepts for Certificate Management (Preview) - Azure IoT Hub,,This article discusses the basic concepts of certificate management in Azure IoT Hub.,"Certificate management in Azure IoT Hub simplifies the management of X.509 certificates for IoT devices. This article introduces the fundamental concepts related to certificate management and certificate-based authentication in IoT Hub. For more information, seeWhat is certificate management (preview)? Important Azure IoT Hub with Azure Device Registry integration and Microsoft-backed X.509 certificate management is inpublic previewand isn't recommended for production workloads. For more informa",2026-08-03T17:13:00.000Z,overview,,0.1,False,"Introduces key concepts for certificate management and certificate-based authentication in IoT Hub; content is conceptual and preview-status oriented, lacking concrete limits, configuration tables, or troubleshooting details.",unchanged
https://learn.microsoft.com/en-us/azure/iot/iot-certificate-management-overview,Certificate management (preview) in Azure Device Registry,What is Microsoft-backed X.509 Certificate Management (Preview)? - Azure IoT Hub,,This article discusses the basic concepts of how certificate management in Azure IoT Hub helps users manage device certificates.,"Certificate managementis an optional feature ofAzure Device Registry (ADR)that simplifies the issuance and lifecycle management of X.509 certificates for IoT devices. This feature configures a unique, cloud Public Key Infrastructure (PKI) for each ADR namespace, eliminating the need for on-prem servers, complex connectors, or dedicated hardware. By automating certificate issuance and renewal, ADR ensures that provisioned devices maintain a secure, seamless connection when authenticating withAzur",2026-08-03T17:13:00.000Z,overview,,0.1,False,"Overview of Microsoft-backed X.509 certificate management and ADR integration; appears conceptual without specific configuration parameters, limits, error codes, or detailed settings unique to the product.",unchanged
https://learn.microsoft.com/en-us/azure/iot/iot-device-registry-namespace-guidance,Best practices for namespaces,Best practices for Azure Device Registry namespaces - Azure Device Registry,Design and choose Azure Device Registry namespaces,"Learn how to design Azure Device Registry namespaces for your IoT solution, including when to create new namespaces and when to reuse existing ones.","Azure Device Registryusesnamespacesto organize devices and assets. Because namespaces act as long-lived organizational boundaries, it's important to plan them before you deploy. This article helps you decide:",2026-04-21T17:17:00.000Z,best-practice,decision-making,0.72,True,"The article is explicitly about how to design namespaces and decide when to create new ones versus reuse existing ones. This is service-specific decision guidance about organizational boundaries and solution design, not just conceptual overview. It helps users choose between options for namespace layout in real deployments, which aligns with the decision-making sub-skill. While the summary doesn't show numeric thresholds, the focus on concrete 'when to' guidance for this specific service indicates expert, product-specific decision criteria.",unchanged
